world_id,corpus,year,variant,world_kind,episode_observations,unique_episode_identities,source_archive,source_member
W2078_001,follow_2025_1h,2025,real,real,29,19,2070_role_family_followworlds.zip,kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv
W2078_002,follow_2025_1h,2025,real,real,23,13,2070_role_family_followworlds.zip,kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv
W2078_003,follow_2025_1h,2025,real,real,27,20,2070_role_family_followworlds.zip,kontrolliert_2070_btc_2025_1h_start7000_rows1000.csv
W2078_004,follow_2025_1h,2025,real,real,23,14,2070_role_family_followworlds.zip,kontrolliert_2070_doge_2025_1h_start5000_rows1000.csv
W2078_005,follow_2025_1h,2025,real,real,41,27,2070_role_family_followworlds.zip,kontrolliert_2070_doge_2025_1h_start6000_rows1000.csv
W2078_006,follow_2025_1h,2025,real,real,31,22,2070_role_family_followworlds.zip,kontrolliert_2070_doge_2025_1h_start7000_rows1000.csv
W2078_007,follow_2025_1h,2025,real,real,25,17,2070_role_family_followworlds.zip,kontrolliert_2070_paxg_2025_1h_start5000_rows1000.csv
W2078_008,follow_2025_1h,2025,real,real,31,22,2070_role_family_followworlds.zip,kontrolliert_2070_paxg_2025_1h_start6000_rows1000.csv
W2078_009,follow_2025_1h,2025,real,real,31,17,2070_role_family_followworlds.zip,kontrolliert_2070_paxg_2025_1h_start7000_rows1000.csv
W2078_010,follow_2025_1h,2025,real,real,23,14,2070_role_family_followworlds.zip,kontrolliert_2070_sol_2025_1h_start5000_rows1000.csv
W2078_011,follow_2025_1h,2025,real,real,23,15,2070_role_family_followworlds.zip,kontrolliert_2070_sol_2025_1h_start6000_rows1000.csv
W2078_012,follow_2025_1h,2025,real,real,31,19,2070_role_family_followworlds.zip,kontrolliert_2070_sol_2025_1h_start7000_rows1000.csv
W2078_013,follow_2025_1h,2025,real,real,33,18,2070_role_family_followworlds.zip,kontrolliert_2070_xrp_2025_1h_start5000_rows1000.csv
W2078_014,follow_2025_1h,2025,real,real,25,19,2070_role_family_followworlds.zip,kontrolliert_2070_xrp_2025_1h_start6000_rows1000.csv
W2078_015,follow_2025_1h,2025,real,real,19,16,2070_role_family_followworlds.zip,kontrolliert_2070_xrp_2025_1h_start7000_rows1000.csv
W2078_016,null_2025_1h,unknown,random_sign,null,29,15,2073_role_family_null_controls.zip,kontrolliert_2073_btc_start5000_random_sign_1000.csv
W2078_017,null_2025_1h,unknown,shuffle,null,27,16,2073_role_family_null_controls.zip,kontrolliert_2073_btc_start5000_shuffle_order_1000.csv
W2078_018,null_2025_1h,unknown,random_sign,null,21,11,2073_role_family_null_controls.zip,kontrolliert_2073_btc_start6000_random_sign_1000.csv
W2078_019,null_2025_1h,unknown,shuffle,null,25,16,2073_role_family_null_controls.zip,kontrolliert_2073_btc_start6000_shuffle_order_1000.csv
W2078_020,null_2025_1h,unknown,random_sign,null,23,14,2073_role_family_null_controls.zip,kontrolliert_2073_btc_start7000_random_sign_1000.csv
W2078_021,null_2025_1h,unknown,shuffle,null,29,16,2073_role_family_null_controls.zip,kontrolliert_2073_btc_start7000_shuffle_order_1000.csv
W2078_022,null_2025_1h,unknown,random_sign,null,25,17,2073_role_family_null_controls.zip,kontrolliert_2073_doge_start5000_random_sign_1000.csv
W2078_023,null_2025_1h,unknown,shuffle,null,27,16,2073_role_family_null_controls.zip,kontrolliert_2073_doge_start5000_shuffle_order_1000.csv
W2078_024,null_2025_1h,unknown,random_sign,null,25,17,2073_role_family_null_controls.zip,kontrolliert_2073_doge_start6000_random_sign_1000.csv
W2078_025,null_2025_1h,unknown,shuffle,null,27,13,2073_role_family_null_controls.zip,kontrolliert_2073_doge_start6000_shuffle_order_1000.csv
W2078_026,null_2025_1h,unknown,random_sign,null,29,18,2073_role_family_null_controls.zip,kontrolliert_2073_doge_start7000_random_sign_1000.csv
W2078_027,null_2025_1h,unknown,shuffle,null,19,11,2073_role_family_null_controls.zip,kontrolliert_2073_doge_start7000_shuffle_order_1000.csv
W2078_028,null_2025_1h,unknown,random_sign,null,27,15,2073_role_family_null_controls.zip,kontrolliert_2073_paxg_start5000_random_sign_1000.csv
W2078_029,null_2025_1h,unknown,shuffle,null,19,14,2073_role_family_null_controls.zip,kontrolliert_2073_paxg_start5000_shuffle_order_1000.csv
W2078_030,null_2025_1h,unknown,random_sign,null,29,21,2073_role_family_null_controls.zip,kontrolliert_2073_paxg_start6000_random_sign_1000.csv
W2078_031,null_2025_1h,unknown,shuffle,null,31,16,2073_role_family_null_controls.zip,kontrolliert_2073_paxg_start6000_shuffle_order_1000.csv
W2078_032,null_2025_1h,unknown,random_sign,null,17,13,2073_role_family_null_controls.zip,kontrolliert_2073_paxg_start7000_random_sign_1000.csv
W2078_033,null_2025_1h,unknown,shuffle,null,27,15,2073_role_family_null_controls.zip,kontrolliert_2073_paxg_start7000_shuffle_order_1000.csv
W2078_034,null_2025_1h,unknown,random_sign,null,21,12,2073_role_family_null_controls.zip,kontrolliert_2073_sol_start5000_random_sign_1000.csv
W2078_035,null_2025_1h,unknown,shuffle,null,25,14,2073_role_family_null_controls.zip,kontrolliert_2073_sol_start5000_shuffle_order_1000.csv
W2078_036,null_2025_1h,unknown,random_sign,null,31,18,2073_role_family_null_controls.zip,kontrolliert_2073_sol_start6000_random_sign_1000.csv
W2078_037,null_2025_1h,unknown,shuffle,null,21,13,2073_role_family_null_controls.zip,kontrolliert_2073_sol_start6000_shuffle_order_1000.csv
W2078_038,null_2025_1h,unknown,random_sign,null,17,11,2073_role_family_null_controls.zip,kontrolliert_2073_sol_start7000_random_sign_1000.csv
W2078_039,null_2025_1h,unknown,shuffle,null,37,20,2073_role_family_null_controls.zip,kontrolliert_2073_sol_start7000_shuffle_order_1000.csv
W2078_040,null_2025_1h,unknown,random_sign,null,31,19,2073_role_family_null_controls.zip,kontrolliert_2073_xrp_start5000_random_sign_1000.csv
W2078_041,null_2025_1h,unknown,shuffle,null,35,20,2073_role_family_null_controls.zip,kontrolliert_2073_xrp_start5000_shuffle_order_1000.csv
W2078_042,null_2025_1h,unknown,random_sign,null,17,12,2073_role_family_null_controls.zip,kontrolliert_2073_xrp_start6000_random_sign_1000.csv
W2078_043,null_2025_1h,unknown,shuffle,null,25,12,2073_role_family_null_controls.zip,kontrolliert_2073_xrp_start6000_shuffle_order_1000.csv
W2078_044,null_2025_1h,unknown,random_sign,null,19,9,2073_role_family_null_controls.zip,kontrolliert_2073_xrp_start7000_random_sign_1000.csv
W2078_045,null_2025_1h,unknown,shuffle,null,19,10,2073_role_family_null_controls.zip,kontrolliert_2073_xrp_start7000_shuffle_order_1000.csv
W2078_046,holdout_2024,2024,random_sign,null,25,21,2074_rf05_crossyear_timeframe_holdout.zip,holdout_2074_btc_2024_15m_start0_random_sign_1000.csv
W2078_047,holdout_2024,2024,real,real,39,24,2074_rf05_crossyear_timeframe_holdout.zip,holdout_2074_btc_2024_15m_start0_rows1000.csv
W2078_048,holdout_2024,2024,shuffle,null,29,17,2074_rf05_crossyear_timeframe_holdout.zip,holdout_2074_btc_2024_15m_start0_shuffle_order_1000.csv
W2078_049,holdout_2024,2024,random_sign,null,17,14,2074_rf05_crossyear_timeframe_holdout.zip,holdout_2074_btc_2024_15m_start12000_random_sign_1000.csv
W2078_050,holdout_2024,2024,real,real,21,13,2074_rf05_crossyear_timeframe_holdout.zip,holdout_2074_btc_2024_15m_start12000_rows1000.csv
W2078_051,holdout_2024,2024,shuffle,null,23,15,2074_rf05_crossyear_timeframe_holdout.zip,holdout_2074_btc_2024_15m_start12000_shuffle_order_1000.csv
W2078_052,holdout_2024,2024,random_sign,null,19,12,2074_rf05_crossyear_timeframe_holdout.zip,holdout_2074_btc_2024_15m_start24000_random_sign_1000.csv
W2078_053,holdout_2024,2024,real,real,23,14,2074_rf05_crossyear_timeframe_holdout.zip,holdout_2074_btc_2024_15m_start24000_rows1000.csv
