relation_age,eligible_nodes,eligible_current_edges,carried_edges,carried_continued,carried_continuation_rate,new_edges,new_continued,new_continuation_rate,continuation_rate_difference,continuation_rate_ratio,future_edges,future_current_edges,label_null_expected_carried_continuations,label_null_sd,label_null_z_score,informative
3,605,11862,6439,2228,0.34601646218356885,5423,1783,0.32878480545823346,0.017231656725335387,1.0524101370844048,7996,4011,2177.274405665149,25.66842738531162,1.9761862919532778,1
4,504,4125,2137,835,0.3907346747777258,1988,752,0.3782696177062374,0.012465057071488372,1.0329528370453709,3653,1587,822.1621818181818,15.615699467666571,0.8221097113452919,1
5,420,1933,847,351,0.41440377804014167,1086,324,0.2983425414364641,0.11606123660367756,1.3890200708382525,1341,675,295.77082255561305,10.401917613303066,5.309518830811933,1
6,372,988,462,171,0.37012987012987014,526,177,0.3365019011406844,0.03362796898918574,1.099933964340744,703,348,162.72874493927125,7.49510891029639,1.1035536854395978,1
7,335,564,270,107,0.3962962962962963,294,124,0.4217687074829932,-0.02547241118669691,0.939605734767025,454,231,110.58510638297872,5.8391596903690886,-0.613976423506943,1
8,299,333,154,67,0.43506493506493504,179,65,0.36312849162011174,0.0719364434448233,1.198101898101898,260,132,61.04504504504504,4.457163802425562,1.3360413076392448,1
9,265,190,95,47,0.49473684210526314,95,41,0.43157894736842106,0.06315789473684208,1.146341463414634,222,88,44.0,3.4457242885953416,0.8706442386958818,1
10,243,164,69,30,0.43478260869565216,95,35,0.3684210526315789,0.06636155606407323,1.1801242236024845,150,65,27.347560975609756,3.101865578152331,0.8551108865169476,1
11,211,126,53,28,0.5283018867924528,73,26,0.3561643835616438,0.172137503230809,1.4833091436865022,130,54,22.714285714285715,2.75319480470472,1.9198475446350327,1
12,194,101,39,10,0.2564102564102564,62,13,0.20967741935483872,0.04673283705541767,1.2228796844181458,78,23,8.881188118811881,2.062139275207639,0.542549135569645,1
13,181,61,18,6,0.3333333333333333,43,17,0.3953488372093023,-0.06201550387596899,0.8431372549019608,72,23,6.786885245901639,1.7406872027021882,-0.45205436374789415,1
14,159,58,18,7,0.3888888888888889,40,18,0.45,-0.061111111111111116,0.8641975308641975,68,25,7.758620689655173,1.7600613294277256,-0.43101946333985647,1
15,150,61,25,12,0.48,36,12,0.3333333333333333,0.14666666666666667,1.44,67,24,9.836065573770492,1.8920049896725912,1.14372553880208,1
16,130,49,16,8,0.5,33,7,0.21212121212121213,0.28787878787878785,2.357142857142857,47,15,4.8979591836734695,1.5285700662101227,2.0293743053713005,1
17,116,40,13,8,0.6153846153846154,27,7,0.25925925925925924,0.3561253561253562,2.373626373626374,47,15,4.875,1.4523687548277813,2.151657414559676,1
18,102,42,15,9,0.6,27,7,0.25925925925925924,0.34074074074074073,2.3142857142857145,42,16,5.714285714285714,1.526275588720054,2.1527660600728797,1
19,96,39,14,8,0.5714285714285714,25,10,0.4,0.17142857142857137,1.4285714285714284,42,18,6.461538461538462,1.5129463110165826,1.0168645954315534,1
20,88,36,14,9,0.6428571428571429,22,7,0.3181818181818182,0.32467532467532473,2.0204081632653064,39,16,6.222222222222222,1.4740554623801776,1.8844459036110228,1
21,83,37,16,11,0.6875,21,6,0.2857142857142857,0.4017857142857143,2.40625,32,17,7.351351351351352,1.5224958684164043,2.396491658426451,1
22,78,31,17,7,0.4117647058823529,14,3,0.21428571428571427,0.19747899159663865,1.9215686274509804,33,10,5.483870967741935,1.3166665569005518,1.1514905002425595,1
23,73,30,9,8,0.8888888888888888,21,6,0.2857142857142857,0.6031746031746031,3.111111111111111,34,14,4.2,1.2736047132125576,2.9836573000855413,1
24,72,34,14,5,0.35714285714285715,20,6,0.3,0.05714285714285716,1.1904761904761905,27,11,4.529411764705882,1.3627098316779651,0.34533267784137256,1
25,63,21,9,5,0.5555555555555556,12,4,0.3333333333333333,0.22222222222222227,1.6666666666666667,22,9,3.857142857142857,1.149977816999892,0.9938079899999064,1
26,58,20,9,6,0.6666666666666666,11,5,0.45454545454545453,0.2121212121212121,1.4666666666666666,23,11,4.95,1.1356078826592808,0.9246149274177184,1
27,52,17,10,7,0.7,7,3,0.42857142857142855,0.2714285714285714,1.6333333333333333,17,10,5.882352941176471,1.0294117647058822,1.0857142857142854,1
28,50,16,10,5,0.5,6,3,0.5,0.0,1.0,26,8,5.0,1.0,0.0,1
29,44,20,7,3,0.42857142857142855,13,5,0.38461538461538464,0.04395604395604391,1.114285714285714,19,8,2.8,1.0721351053904198,0.1865436538682966,1
30,40,17,8,4,0.5,9,3,0.3333333333333333,0.16666666666666669,1.5,18,7,3.2941176470588234,1.0440140793705206,0.6761234037828133,1
31,37,17,7,2,0.2857142857142857,10,6,0.6,-0.3142857142857143,0.47619047619047616,13,8,3.2941176470588234,1.0440140793705206,-1.2395595736018241,1
32,34,9,7,4,0.5714285714285714,2,2,1.0,-0.4285714285714286,0.5714285714285714,11,6,4.666666666666667,0.6236095644623235,-1.069044967649698,1
33,32,9,6,4,0.6666666666666666,3,2,0.6666666666666666,0.0,1.0,9,6,4.0,0.7071067811865476,0.0,1
34,28,7,5,3,0.6,2,1,0.5,0.09999999999999998,1.2,7,4,2.857142857142857,0.6388765649999399,0.22360679774997885,1
35,25,4,3,2,0.6666666666666666,1,1,1.0,-0.33333333333333337,0.6666666666666666,6,3,2.25,0.4330127018922193,-0.5773502691896258,1
36,23,5,3,3,1.0,2,2,1.0,0.0,1.0,7,5,3.0,0.0,0.0,1
37,21,6,4,2,0.5,2,0,0.0,0.5,500000000000.0,4,2,1.3333333333333333,0.5962847939999439,1.118033988749895,1
38,20,4,2,1,0.5,2,2,1.0,-0.5,0.5,4,3,1.5,0.5,-1.0,1
39,17,3,2,1,0.5,1,1,1.0,-0.5,0.5,6,2,1.3333333333333333,0.4714045207910317,-0.7071067811865474,1
40,15,5,2,2,1.0,3,2,0.6666666666666666,0.33333333333333337,1.5,4,4,1.6,0.4898979485566356,0.8164965809277259,1
41,15,4,4,2,0.5,0,0,0.0,0.5,500000000000.0,6,2,2.0,0.0,0.0,0
