sequence,worlds,checkpoints,final_relations,history_entries,all_checkpoints_exact_2081,all_sources_unchanged,all_history_prefixes_preserved,memory_size_bytes,2081_baseline_memory_size_bytes,consolidation_overhead_bytes,consolidation_overhead_percent,passive_only,offline_only,read_by_mini_dio,influences_field,influences_action,deletes_memory,dampens_memory
forward,81,5,2046,5311,1,1,1,16009722,12057026,3952696,32.78334143096316,1,1,0,0,0,0,0
reverse,81,5,2085,5165,1,1,1,16040293,12119957,3920336,32.346121360001526,1,1,0,0,0,0,0
