dataset,partition_index,direction,cohort_a_targets,cohort_b_targets,source_identities,asset_year_groups,minimum_candidate_pool,maximum_candidate_pool,median_identity_rank,mean_identity_rank,mean_identity_auc,identity_unique_nearest,identity_in_nearest_tie,profile_mode,comparison_scope,source_label_read_by_field,field_learning_used,memory_read,memory_written,influences_action
2091_basis,1,a_to_b,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|1000;2091_basis|BTC|2025|2000,2091_basis|SOL|2024|2000;2091_basis|BTC|2025|7000;2091_basis|BTC|2024|1000;2091_basis|SOL|2025|8000,56,4,13,15,5.0,5.857142857142857,0.6274447278911565,12,12,shape,within_asset_year,0,0,0,0,0
2091_basis,1,b_to_a,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|1000;2091_basis|BTC|2025|2000,2091_basis|SOL|2024|2000;2091_basis|BTC|2025|7000;2091_basis|BTC|2024|1000;2091_basis|SOL|2025|8000,56,4,13,15,3.0,4.035714285714286,0.7535076530612245,14,17,shape,within_asset_year,0,0,0,0,0
2091_basis,2,a_to_b,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|1000;2091_basis|SOL|2024|2000,2091_basis|BTC|2025|2000;2091_basis|BTC|2025|7000;2091_basis|BTC|2024|1000;2091_basis|SOL|2025|8000,56,4,13,15,3.0,4.142857142857143,0.7606292517006803,10,11,shape,within_asset_year,0,0,0,0,0
2091_basis,2,b_to_a,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|1000;2091_basis|SOL|2024|2000,2091_basis|BTC|2025|2000;2091_basis|BTC|2025|7000;2091_basis|BTC|2024|1000;2091_basis|SOL|2025|8000,56,4,13,15,3.0,3.5892857142857144,0.7959183673469388,10,12,shape,within_asset_year,0,0,0,0,0
2091_basis,3,a_to_b,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|1000;2091_basis|BTC|2025|7000,2091_basis|BTC|2025|2000;2091_basis|SOL|2024|2000;2091_basis|BTC|2024|1000;2091_basis|SOL|2025|8000,56,4,13,15,3.0,3.7142857142857144,0.7899659863945578,17,17,shape,within_asset_year,0,0,0,0,0
2091_basis,3,b_to_a,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|1000;2091_basis|BTC|2025|7000,2091_basis|BTC|2025|2000;2091_basis|SOL|2024|2000;2091_basis|BTC|2024|1000;2091_basis|SOL|2025|8000,56,4,13,15,5.0,4.964285714285714,0.6918579931972789,10,12,shape,within_asset_year,0,0,0,0,0
2091_basis,4,a_to_b,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|1000;2091_basis|BTC|2024|1000,2091_basis|BTC|2025|2000;2091_basis|SOL|2024|2000;2091_basis|BTC|2025|7000;2091_basis|SOL|2025|8000,56,4,13,15,2.0,2.392857142857143,0.8894557823129252,22,27,shape,within_asset_year,0,0,0,0,0
2091_basis,4,b_to_a,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|1000;2091_basis|BTC|2024|1000,2091_basis|BTC|2025|2000;2091_basis|SOL|2024|2000;2091_basis|BTC|2025|7000;2091_basis|SOL|2025|8000,56,4,13,15,3.0,4.428571428571429,0.7411777210884354,14,15,shape,within_asset_year,0,0,0,0,0
2091_basis,5,a_to_b,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|1000;2091_basis|SOL|2025|8000,2091_basis|BTC|2025|2000;2091_basis|SOL|2024|2000;2091_basis|BTC|2025|7000;2091_basis|BTC|2024|1000,56,4,13,15,2.5,4.107142857142857,0.7641369047619048,14,14,shape,within_asset_year,0,0,0,0,0
2091_basis,5,b_to_a,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|1000;2091_basis|SOL|2025|8000,2091_basis|BTC|2025|2000;2091_basis|SOL|2024|2000;2091_basis|BTC|2025|7000;2091_basis|BTC|2024|1000,56,4,13,15,2.0,2.517857142857143,0.872874149659864,17,26,shape,within_asset_year,0,0,0,0,0
2091_basis,6,a_to_b,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|2000;2091_basis|SOL|2024|2000,2091_basis|BTC|2025|1000;2091_basis|BTC|2025|7000;2091_basis|BTC|2024|1000;2091_basis|SOL|2025|8000,56,4,13,15,3.0,4.357142857142857,0.7454294217687075,15,15,shape,within_asset_year,0,0,0,0,0
2091_basis,6,b_to_a,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|2000;2091_basis|SOL|2024|2000,2091_basis|BTC|2025|1000;2091_basis|BTC|2025|7000;2091_basis|BTC|2024|1000;2091_basis|SOL|2025|8000,56,4,13,15,3.0,3.392857142857143,0.8176020408163265,15,15,shape,within_asset_year,0,0,0,0,0
2091_basis,7,a_to_b,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|2000;2091_basis|BTC|2025|7000,2091_basis|BTC|2025|1000;2091_basis|SOL|2024|2000;2091_basis|BTC|2024|1000;2091_basis|SOL|2025|8000,56,4,13,15,3.0,4.071428571428571,0.7659438775510204,14,16,shape,within_asset_year,0,0,0,0,0
2091_basis,7,b_to_a,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|2000;2091_basis|BTC|2025|7000,2091_basis|BTC|2025|1000;2091_basis|SOL|2024|2000;2091_basis|BTC|2024|1000;2091_basis|SOL|2025|8000,56,4,13,15,2.0,3.0535714285714284,0.841624149659864,23,25,shape,within_asset_year,0,0,0,0,0
2091_basis,8,a_to_b,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|2000;2091_basis|BTC|2024|1000,2091_basis|BTC|2025|1000;2091_basis|SOL|2024|2000;2091_basis|BTC|2025|7000;2091_basis|SOL|2025|8000,56,4,13,15,3.0,3.732142857142857,0.7918792517006803,19,21,shape,within_asset_year,0,0,0,0,0
2091_basis,8,b_to_a,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|2000;2091_basis|BTC|2024|1000,2091_basis|BTC|2025|1000;2091_basis|SOL|2024|2000;2091_basis|BTC|2025|7000;2091_basis|SOL|2025|8000,56,4,13,15,2.0,2.357142857142857,0.8913690476190477,25,26,shape,within_asset_year,0,0,0,0,0
2091_basis,9,a_to_b,2091_basis|SOL|2024|10000;2091_basis|SOL|2024|13000;2091_basis|BTC|2025|2000;2091_basis|SOL|2025|8000,2091_basis|BTC|2025|1000;2091_basis|SOL|2024|2000;2091_basis|BTC|2025|7000;2091_basis|BTC|2024|1000,56,4,13,15,4.0,5.053571428571429,0.6916454081632653,10,10,shape,within_asset_year,0,0,0,0,0
