dataset,relation_age,common_relations,synchrony_pairs,movement_selected_pairs,movement_selected_retained,movement_selected_retention_rate,not_selected_pairs,not_selected_retained,not_selected_retention_rate,retention_rate_difference,retention_rate_ratio,future_synchrony_pairs,retained_current_pairs,label_null_expected_selected_retained,label_null_sd,informative
2091_basis,2,815,79596,51300,28596,0.5574269005847953,28296,14338,0.5067147299971727,0.05071217058762256,1.100080316567678,77035,42934,27671.166892808684,67.31251564638714,1
2091_basis,3,605,32324,11862,6590,0.5555555555555556,20462,9941,0.48582738735216496,0.06972816820339062,1.1435245727570444,30866,16531,6066.412634574929,43.31655917877954,1
2091_basis,4,504,18795,4125,2291,0.5553939393939394,14670,7835,0.5340831629175188,0.021310776476420656,1.0399016070081801,20821,10126,2222.386272944932,28.28645709368794,1
2091_basis,5,420,12829,1933,903,0.4671495085359545,10896,5177,0.47512848751835535,-0.007978978982400853,0.9832066921011706,11786,6080,916.0994621560527,20.232460316155834,1
2091_basis,6,372,9368,988,459,0.4645748987854251,8380,4158,0.49618138424821,-0.03160648546278488,0.9363005415636996,8980,4617,486.9338172502135,14.863661008129176,1
2091_basis,7,335,7387,564,308,0.5460992907801419,6823,3411,0.4999267184522937,0.04617257232784816,1.0923586810298762,7059,3719,283.94693380262623,11.412538079597349,1
2091_basis,8,299,5318,333,163,0.4894894894894895,4985,2437,0.48886659979939817,0.0006228896900913328,1.0012741506381229,5020,2600,162.80556600225648,8.832516046390278,1
2091_basis,9,265,3601,190,105,0.5526315789473685,3411,1751,0.5133391967165054,0.039292382230863065,1.0765427274640056,3280,1856,97.92835323521244,6.705481829736106,1
2091_basis,10,243,2570,164,99,0.6036585365853658,2406,1406,0.5843724023275145,0.019286134257851306,1.0330031572008465,3000,1505,96.03891050583658,6.105167925436932,1
2091_basis,11,211,2075,126,61,0.48412698412698413,1949,982,0.5038481272447409,-0.0197211431177568,0.9608589532214786,1931,1043,63.33397590361446,5.44064911680279,1
2091_basis,12,194,1636,101,47,0.46534653465346537,1535,815,0.5309446254071661,-0.06559809075370077,0.8764502217092875,1695,862,53.21638141809291,4.861796898255346,1
