dataset,universe_scope,source_target_streams,paths_with_pairs,minimum_pairs_per_path,median_pairs_per_path,maximum_pairs_per_path,all_unequal_age_pairs,older_wins,ties,older_losses,older_age_auc,sources_above_half,sources_below_half,sources_tied_half,source_sign_lower_p,source_sign_upper_p,both_already_carried_pairs,carried_older_wins,carried_ties,carried_older_losses,carried_older_age_auc,carried_sources_above_half,carried_sources_below_half,carried_sources_tied_half,carried_source_sign_lower_p,carried_source_sign_upper_p,carried_source_sign_two_sided_p,maximum_observed_run_length,matching_uses_same_neuron_pair,matching_uses_historical_frequency_through_current,age_uses_consecutive_active_episodes_through_current,fixed_age_bins_used,fixed_threshold_used_by_primary_comparison,predictor_reads_next_episode,outcome_is_next_episode,source_labels_used_by_predictor,asset_or_year_used_by_predictor,field_learning_used,memory_read,memory_written,influences_action
2091_basis,all,768,768,2,38.0,82,30105,1922,25166,3017,0.48181365221723965,0,48,0,3.552713678800501e-15,1.0,17457,1186,15228,1043,0.5040957781978576,36,3,9,0.9999999985793693,1.8044374883174896e-08,3.608874976634979e-08,26,1,1,1,0,0,0,1,0,0,0,0,0,0
2091_basis,universe_a,384,384,2,42.0,62,15793,945,13380,1468,0.4834420312796809,0,48,0,3.552713678800501e-15,1.0,9076,580,7887,609,0.498402379903041,15,25,8,0.07692997208141605,0.9596547661240038,0.1538599441628321,26,1,1,1,0,0,0,1,0,0,0,0,0,0
2091_basis,universe_b,384,384,9,34.0,82,14312,977,11786,1549,0.4800167691447736,0,48,0,3.552713678800501e-15,1.0,8381,606,7341,434,0.5102613053334925,43,3,2,0.9999999999846239,2.3109691937861498e-10,4.6219383875722997e-10,19,1,1,1,0,0,0,1,0,0,0,0,0,0
2092_holdout,all,704,704,6,46.0,98,32308,1661,27280,3367,0.47359787049647145,0,44,0,5.684341886080802e-14,1.0,20096,1237,17059,1800,0.4859922372611465,0,44,0,5.684341886080802e-14,1.0,1.1368683772161603e-13,19,1,1,1,0,0,0,1,0,0,0,0,0,0
2092_holdout,universe_a,352,352,14,47.0,94,16804,808,14066,1930,0.4666150916448465,0,44,0,5.684341886080802e-14,1.0,10226,624,8598,1004,0.4814199100332486,1,43,0,2.5579538487363607e-12,0.9999999999999432,5.115907697472721e-12,16,1,1,1,0,0,0,1,0,0,0,0,0,0
2092_holdout,universe_b,352,352,6,41.0,98,15504,853,13214,1437,0.48116615067079466,0,44,0,5.684341886080802e-14,1.0,9870,613,8461,796,0.4907294832826748,0,43,1,1.1368683772161603e-13,1.0,2.2737367544323206e-13,19,1,1,1,0,0,0,1,0,0,0,0,0,0
