sequence,worlds,relations,events,multi_event_relations,maximum_events,format,field_exact_2081,event_integrity_exact,memory_size_bytes,event_document_bytes,2081_baseline_memory_size_bytes,event_memory_overhead_bytes,event_memory_overhead_percent,event_archive_bytes,read_by_mini_dio,influences_field,influences_action,legacy_unobserved_events,total_growth_events
forward,81,2046,11780,1215,79,compact_relation_event_delta_v1,1,1,14186286,1768301,12057026,2129260,17.65991049534106,274993,0,0,0,0,11780
reverse,81,2085,11712,1155,78,compact_relation_event_delta_v1,1,1,14249293,1769379,12119957,2129336,17.56884120958515,274993,0,0,0,0,11712
