preview_symbol,befund,total_count,world_count,depth_score,quiet_count,stress_count,shift_count,btc_quiet_count,btc_stress_shift_count,stress_shift_worlds,top_worlds
dio_mcm_episode_1i3ov0z,memory_after_stress_shift_probe,2073,11,0.755995,1822,0,3,1822,3,BTC_SHIFT_2025_1H_4000_5000:3,BTC_FIELD_QUIET_03:927;BTC_FIELD_QUIET_05:384;QUIET_NEAR_BTC_FIELD_01:350;BTC_LONG_2024_5M_QUIET:147;BTC_10K_A:99;DOGE_1H_B:91;PAXG_1H_A:54;BTC_FIELD_QUIET_02:14;BTC_1H_C:3;BTC_SHIFT_2025_1H_4000_5000:3;REAL_FOLLOW_PAXG_6000:1
dio_mcm_episode_12fuh1y,memory_after_stress_shift_probe,20,12,0.729659,8,2,0,6,2,BTC_STRESS_2025_5M:2,SOL_10K_A:3;BTC_FIELD_QUIET_02:2;BTC_LONG_2024_5M_QUIET:2;BTC_STRESS_2025_5M:2;PAXG_1846_A:2;QUIET_NEAR_PAXG2025_1H:2;REAL_FOLLOW_PAXG_6000:2;BTC_10K_A:1;BTC_LONG_2025_5M_QUIET:1;QUIET_NEAR_BTC_1869:1;REAL_FOLLOW_BTC_6000:1;REAL_TIME_2024_PAXG:1
