holdout_label,symbol_family,field_contact_class,events,distinct_symbols,runs,top_symbols,avg_carry,avg_strain,avg_rekopplung
paxg_random,dio_1fll,tragende_rekopplung,341,1,dio_mini_lauf_1:341,dio_1fllaqz:341,0.6108910909090909,0.12987608211143695,0.7539657272727273
paxg_random,dio_155c,tragende_rekopplung,338,1,dio_mini_lauf_1:338,dio_155c3g6:338,0.5794713017751479,0.17375638461538462,0.7204480739644971
xrp_shuffle,dio_0h9h,tragende_rekopplung,335,1,dio_mini_lauf_47:335,dio_0h9h06p:335,0.5903515582089552,0.15619880895522387,0.7296514149253731
paxg_shuffle,dio_06er,tragende_rekopplung,333,1,dio_mini_lauf_46:333,dio_06er2zu:333,0.6027005255255256,0.14236904504504505,0.7420227717717718
btc_shuffle,dio_0h9h,tragende_rekopplung,332,1,dio_mini_lauf_44:332,dio_0h9h06p:332,0.5896861174698795,0.15751971686746988,0.7290771445783133
doge_shuffle,dio_0h9h,tragende_rekopplung,328,1,dio_mini_lauf_45:328,dio_0h9h06p:328,0.5896545701219512,0.15686643292682928,0.7300975
doge_shuffle,dio_0m9z,tragende_rekopplung,327,1,dio_mini_lauf_45:327,dio_0m9zys3:327,0.5741651314984709,0.18205644648318042,0.7124677675840979
paxg_random,dio_0dd2,tragende_rekopplung,320,1,dio_mini_lauf_1:320,dio_0dd2ogm:320,0.594158384375,0.15585224375,0.73584541875
xrp_shuffle,dio_155c,tragende_rekopplung,314,1,dio_mini_lauf_47:314,dio_155c3g6:314,0.5798478503184713,0.17097909554140128,0.7196863694267516
doge_shuffle,dio_155c,tragende_rekopplung,313,1,dio_mini_lauf_45:313,dio_155c3g6:313,0.5794467827476039,0.17155669968051118,0.7198297444089456
btc_random,dio_17ct,tragende_rekopplung,304,1,dio_mini_lauf_1:304,dio_17ctp0f:304,0.5863799309210527,0.1689949342105263,0.7254309703947368
paxg_random,dio_1u5i,tragende_rekopplung,294,1,dio_mini_lauf_1:294,dio_1u5il5a:294,0.5915905136054421,0.15318048639455784,0.7310435952380953
btc_random,dio_00ly,tragende_rekopplung,287,1,dio_mini_lauf_1:287,dio_00lyjkf:287,0.5892805993031359,0.1584017630662021,0.7302412299651568
btc_random,dio_0pz6,tragende_rekopplung,283,1,dio_mini_lauf_1:283,dio_0pz659c:283,0.5957583886925795,0.15390558657243816,0.7362078374558304
doge_random,dio_0pz6,tragende_rekopplung,280,1,dio_mini_lauf_1:280,dio_0pz659c:280,0.5962619607142857,0.15368691071428572,0.7350462357142857
btc_shuffle,dio_0pz6,tragende_rekopplung,279,1,dio_mini_lauf_44:279,dio_0pz659c:279,0.5955859247311828,0.1520559318996416,0.734282853046595
xrp_random,dio_17ct,tragende_rekopplung,279,1,dio_mini_lauf_1:279,dio_17ctp0f:279,0.5861408100358423,0.169585770609319,0.7247584265232975
doge_random,dio_06er,tragende_rekopplung,274,1,dio_mini_lauf_1:274,dio_06er2zu:274,0.5990281788321168,0.1443387299270073,0.7449302116788321
paxg_shuffle,dio_0m9z,tragende_rekopplung,274,1,dio_mini_lauf_46:274,dio_0m9zys3:274,0.5736619452554744,0.18239410583941607,0.7111063357664233
doge_shuffle,dio_06s7,tragende_rekopplung,273,1,dio_mini_lauf_45:273,dio_06s7dt1:273,0.5969889816849817,0.14495882051282052,0.7377814871794872
paxg_random,dio_1492,tragende_rekopplung,272,1,dio_mini_lauf_1:272,dio_1492fc4:272,0.6044010110294118,0.1407544044117647,0.7441909632352941
doge_random,dio_1lsu,tragende_rekopplung,271,1,dio_mini_lauf_1:271,dio_1lsuk2g:271,0.5779883394833948,0.17429551291512915,0.7194612066420665
doge_random,dio_00ly,tragende_rekopplung,270,1,dio_mini_lauf_1:270,dio_00lyjkf:270,0.589209774074074,0.1578755074074074,0.7300581407407407
btc_random,dio_1lsu,tragende_rekopplung,269,1,dio_mini_lauf_1:269,dio_1lsuk2g:269,0.5781800520446096,0.17384861338289964,0.7206575650557621
xrp_random,dio_0pz6,tragende_rekopplung,269,1,dio_mini_lauf_1:269,dio_0pz659c:269,0.5953645241635688,0.1535207620817844,0.736381375464684
doge_shuffle,dio_0pz6,tragende_rekopplung,265,1,dio_mini_lauf_45:265,dio_0pz659c:265,0.5958183056603774,0.15199358867924528,0.7343225396226415
paxg_shuffle,dio_0dd2,tragende_rekopplung,265,1,dio_mini_lauf_46:265,dio_0dd2ogm:265,0.5944115962264152,0.15451144905660377,0.7338985283018868
doge_random,dio_17ct,tragende_rekopplung,264,1,dio_mini_lauf_1:264,dio_17ctp0f:264,0.5861199886363636,0.16896726515151514,0.7254050151515151
xrp_shuffle,dio_06er,tragende_rekopplung,255,1,dio_mini_lauf_47:255,dio_06er2zu:255,0.6004689882352942,0.14217691764705884,0.7413752117647059
paxg_random,dio_1ewh,tragende_rekopplung,254,1,dio_mini_lauf_1:254,dio_1ewh8ej:254,0.5779226338582677,0.1719235,0.7208035433070866
xrp_random,dio_00ly,tragende_rekopplung,249,1,dio_mini_lauf_1:249,dio_00lyjkf:249,0.5883845863453815,0.1583665140562249,0.7297534779116466
xrp_random,dio_06er,tragende_rekopplung,249,1,dio_mini_lauf_1:249,dio_06er2zu:249,0.599613578313253,0.14357145381526104,0.744481843373494
btc_random,dio_06s7,tragende_rekopplung,245,1,dio_mini_lauf_1:245,dio_06s7dt1:245,0.595999306122449,0.14664965714285713,0.7382366489795918
paxg_shuffle,dio_0h9h,tragende_rekopplung,244,1,dio_mini_lauf_46:244,dio_0h9h06p:244,0.5886955163934426,0.15756741803278687,0.7278148729508197
doge_shuffle,dio_06er,tragende_rekopplung,238,1,dio_mini_lauf_45:238,dio_06er2zu:238,0.5999594495798319,0.1433588949579832,0.7406591344537815
paxg_random,dio_0z9t,tragende_rekopplung,237,1,dio_mini_lauf_1:237,dio_0z9ti81:237,0.5833856075949367,0.1708851476793249,0.7253131856540085
xrp_random,dio_1lsu,tragende_rekopplung,237,1,dio_mini_lauf_1:237,dio_1lsuk2g:237,0.578054700421941,0.173931194092827,0.7199796624472574
btc_random,dio_00ja,tragende_rekopplung,235,1,dio_mini_lauf_1:235,dio_00jaski:235,0.5726244340425531,0.18382507234042553,0.7077619914893617
doge_random,dio_06s7,tragende_rekopplung,233,1,dio_mini_lauf_1:233,dio_06s7dt1:233,0.5960851974248927,0.14614771673819743,0.7374230944206008
paxg_shuffle,dio_1fll,tragende_rekopplung,233,1,dio_mini_lauf_46:233,dio_1fllaqz:233,0.6086430386266094,0.13043768240343348,0.7493705493562232
paxg_random,dio_00ly,tragende_rekopplung,232,1,dio_mini_lauf_1:232,dio_00lyjkf:232,0.587540448275862,0.15984233189655173,0.7291877456896552
xrp_shuffle,dio_0pz6,tragende_rekopplung,232,1,dio_mini_lauf_47:232,dio_0pz659c:232,0.5949871336206897,0.15210230172413794,0.7346751681034482
paxg_random,dio_1q85,tragende_rekopplung,231,1,dio_mini_lauf_1:231,dio_1q85toi:231,0.5766177878787879,0.1844887316017316,0.7144662640692641
paxg_random,dio_0pz6,tragende_rekopplung,230,1,dio_mini_lauf_1:230,dio_0pz659c:230,0.5956768956521739,0.1541891347826087,0.7350928
btc_random,dio_1ewh,tragende_rekopplung,227,1,dio_mini_lauf_1:227,dio_1ewh8ej:227,0.5782085770925111,0.17161436563876653,0.7187582290748898
paxg_shuffle,dio_155c,tragende_rekopplung,227,1,dio_mini_lauf_46:227,dio_155c3g6:227,0.5777387356828194,0.1721740396475771,0.7181926123348018
doge_random,dio_0oc3,tragende_rekopplung,226,1,dio_mini_lauf_1:226,dio_0oc3c1g:226,0.5619024336283186,0.19125159292035399,0.7065214646017699
paxg_random,dio_0tay,tragende_rekopplung,224,1,dio_mini_lauf_1:224,dio_0tay831:224,0.5868657901785714,0.16806251785714285,0.7252584241071428
paxg_random,dio_0oc3,tragende_rekopplung,221,1,dio_mini_lauf_1:221,dio_0oc3c1g:221,0.5597788597285068,0.19054021719457012,0.7091734705882353
xrp_random,dio_06s7,tragende_rekopplung,219,1,dio_mini_lauf_1:219,dio_06s7dt1:219,0.5957150547945206,0.14663090410958904,0.7373923698630137
doge_random,dio_0dd2,tragende_rekopplung,217,1,dio_mini_lauf_1:217,dio_0dd2ogm:217,0.5904903179723502,0.1562882857142857,0.7346477695852535
btc_random,dio_1q85,tragende_rekopplung,215,1,dio_mini_lauf_1:215,dio_1q85toi:215,0.5779508790697675,0.18041998604651163,0.7162928930232558
paxg_random,dio_0obq,tragende_rekopplung,215,1,dio_mini_lauf_1:215,dio_0obqjqx:215,0.5696460837209303,0.1793331023255814,0.7156042
xrp_random,dio_1q85,tragende_rekopplung,214,1,dio_mini_lauf_1:214,dio_1q85toi:214,0.5758926915887851,0.1822673644859813,0.7172636822429906
paxg_random,dio_17ct,tragende_rekopplung,212,1,dio_mini_lauf_1:212,dio_17ctp0f:212,0.5853963301886792,0.1698226462264151,0.7251001981132076
paxg_shuffle,dio_1kpz,tragende_rekopplung,209,1,dio_mini_lauf_46:209,dio_1kpzc2b:209,0.5957128086124401,0.14491827272727273,0.7358916985645934
xrp_shuffle,dio_06s7,tragende_rekopplung,209,1,dio_mini_lauf_47:209,dio_06s7dt1:209,0.5951475550239235,0.14602643062200957,0.7356535263157895
btc_shuffle,dio_06s7,tragende_rekopplung,206,1,dio_mini_lauf_44:206,dio_06s7dt1:206,0.5953492524271845,0.14518863106796118,0.7362303349514563
doge_random,dio_0obq,tragende_rekopplung,206,1,dio_mini_lauf_1:206,dio_0obqjqx:206,0.5699788834951456,0.17967069417475728,0.7141453155339805
btc_shuffle,dio_06er,tragende_rekopplung,204,1,dio_mini_lauf_44:204,dio_06er2zu:204,0.5981132892156863,0.14345750980392158,0.7409247009803922
doge_shuffle,dio_1kpz,tragende_rekopplung,203,1,dio_mini_lauf_45:203,dio_1kpzc2b:203,0.594527842364532,0.14558605418719212,0.7366871182266009
btc_random,dio_0obq,tragende_rekopplung,200,1,dio_mini_lauf_1:200,dio_0obqjqx:200,0.56991427,0.179619745,0.7143115
btc_shuffle,dio_1kpz,tragende_rekopplung,200,1,dio_mini_lauf_44:200,dio_1kpzc2b:200,0.59465769,0.146101605,0.73627234
paxg_random,dio_00ja,tragende_rekopplung,199,1,dio_mini_lauf_1:199,dio_00jaski:199,0.572394512562814,0.18138878894472363,0.7100704120603015
paxg_shuffle,dio_00ly,tragende_rekopplung,198,1,dio_mini_lauf_46:198,dio_00lyjkf:198,0.5877442525252525,0.15700552020202022,0.7282893282828283
paxg_shuffle,dio_06s7,tragende_rekopplung,198,1,dio_mini_lauf_46:198,dio_06s7dt1:198,0.5952148737373737,0.14430044444444445,0.7369570909090909
