world,episodes,highload_episodes,highload_threshold,zentrum,offen,rand_kipp,rekopplungsnaehe,high_zentrum,high_offen,high_rand_kipp,high_rekopplungsnaehe,auditory_loudness,visual_sharpness,visual_blur,raw_field_intake,adapted_field_intake,intake_reduction,adaptation_ratio,felt_pressure,felt_relaxation,mcm_tension,mcm_coherence,mcm_asymmetry,high_auditory_loudness,high_visual_sharpness,high_visual_blur,high_raw_field_intake,high_adapted_field_intake,high_intake_reduction,high_adaptation_ratio,high_felt_pressure,high_felt_relaxation,high_mcm_tension,high_mcm_coherence,high_mcm_asymmetry
SEQUENZ_ORIGINAL,6094,610,0.080666,0.890384,0.071053,0.001149,0.037414,0.378689,0.45082,0.011475,0.159016,0.052459,0.803835,0.196165,0.036419,0.032483,0.003936,0.891929,0.0488,0.856413,0.032483,0.750769,-0.006265,0.205081,0.676535,0.323465,0.122521,0.105458,0.017063,0.860736,0.12124,0.784062,0.105458,0.676752,-0.040798
STARK_PERMUTIERT,6094,610,0.079097,0.886938,0.072694,0.001477,0.038891,0.354098,0.467213,0.014754,0.163934,0.052759,0.804047,0.195953,0.036819,0.032812,0.004007,0.891165,0.049806,0.854702,0.032812,0.748458,-0.001956,0.210824,0.67321,0.32679,0.125872,0.108062,0.01781,0.858509,0.123822,0.781733,0.108062,0.674397,-0.040661
