asset,world,scale,block_index,base_sequence,raw_class,score,delta_auditory,delta_visual,delta_pressure,delta_range,avg_auditory,avg_visual_sharpness,avg_field_pressure,avg_range_pct,price_move_pct,passive_only,influences_action,holdout_group,bridge_similarity_distance,bridge_reference_hearing,bridge_reference_pressure,bridge_reference_range
XRP,XRP_2024_5M_CONTRAST,100,97,offen_suchend->normale_weltspannung,gemischte_rohwelt,0.289542,0.031221,0.001242,0.006878,-0.250201,0.461316,0.66287,0.114867,0.175028,-0.74856,1,0,CONTRAST,0.062401,0.492219,0.121039,0.155565
SOL,SOL_2025_REC,400,9,normale_weltspannung->normale_weltspannung,bewegungsreiche_rohwelt,0.273282,0.04705,0.032598,0.008357,-0.185277,0.463605,0.682093,0.114223,0.183341,3.818973,1,0,HOLDOUT1,0.065597,0.492219,0.121039,0.155565
BTC,BTC_2024_5M,200,46,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.179523,0.052769,0.024281,0.009553,-0.09292,0.462263,0.672339,0.114184,0.122975,0.228322,1,0,HOLDOUT2,0.068780,0.492219,0.121039,0.155565
SOL,SOL_2025_STRESS,200,16,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.287381,0.045927,0.052138,0.008028,-0.181288,0.462482,0.701633,0.113894,0.18733,-0.798228,1,0,CONTRAST,0.069432,0.492219,0.121039,0.155565
SOL,SOL_2023_ALT_A_FOLLOW,100,89,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.25991,0.035757,0.021107,0.008406,-0.19464,0.452312,0.670602,0.114272,0.173978,0.0,1,0,HOLDOUT2,0.073417,0.492219,0.121039,0.155565
SOL,SOL_2023_ALT_A_FOLLOW,200,21,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,0.21533,0.045503,0.01645,0.009192,-0.144185,0.462058,0.665945,0.115058,0.224433,0.902062,1,0,HOLDOUT2,0.078186,0.492219,0.121039,0.155565
SOL,SOL_2025_REC,100,34,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.302559,0.035585,0.042607,0.006056,-0.218311,0.45214,0.692102,0.111922,0.150307,-1.176312,1,0,HOLDOUT1,0.078385,0.492219,0.121039,0.155565
SOL,SOL_2025_REC,100,94,normale_weltspannung->offen_suchend,gemischte_rohwelt,0.235175,0.041032,0.008804,0.007212,-0.178127,0.457587,0.658299,0.113078,0.190491,0.44454,1,0,HOLDOUT1,0.078698,0.492219,0.121039,0.155565
BTC,BTC_2024_5M,100,16,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.172387,0.044124,0.023963,0.008671,-0.095629,0.453618,0.672021,0.113302,0.120266,0.409724,1,0,HOLDOUT2,0.081901,0.492219,0.121039,0.155565
SOL,SOL_2025_REC,100,96,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.261012,0.03674,0.024131,0.005791,-0.19435,0.453295,0.673626,0.111657,0.174268,0.868159,1,0,HOLDOUT1,0.082996,0.492219,0.121039,0.155565
SOL,SOL_2025_REC,400,8,offen_suchend->normale_weltspannung,gemischte_rohwelt,0.296384,0.032454,0.04195,0.005219,-0.216761,0.449009,0.691445,0.111085,0.151857,0.739321,1,0,HOLDOUT1,0.084321,0.492219,0.121039,0.155565
BTC,BTC_2024_5M,100,59,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,0.236136,0.051241,0.034473,0.010184,-0.140238,0.460735,0.682531,0.114815,0.075657,-0.087652,1,0,HOLDOUT2,0.084345,0.492219,0.121039,0.155565
SOL,SOL_2025_REC,100,55,normale_weltspannung->offen_suchend,gemischte_rohwelt,0.232513,0.036281,0.015315,0.007201,-0.173716,0.452836,0.66481,0.113067,0.194902,1.341986,1,0,HOLDOUT1,0.085037,0.492219,0.121039,0.155565
SOL,SOL_2025_REC,100,33,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,0.295157,0.030317,0.041366,0.005492,-0.217982,0.446872,0.690861,0.111358,0.150636,-0.101303,1,0,HOLDOUT1,0.085794,0.492219,0.121039,0.155565
BTC,BTC_2024_5M,400,19,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.187771,0.043183,0.028983,0.008784,-0.106821,0.452677,0.677041,0.113415,0.109074,1.267053,1,0,HOLDOUT2,0.086307,0.492219,0.121039,0.155565
SOL,SOL_2025_REC,100,47,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,0.250145,0.037068,0.029429,0.005961,-0.177687,0.453623,0.678924,0.111827,0.190931,-0.519645,1,0,HOLDOUT1,0.087820,0.492219,0.121039,0.155565
SOL,SOL_2023_ALT_A_FOLLOW,200,45,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.18713,0.040033,0.002488,0.008776,-0.135833,0.456588,0.651983,0.114642,0.232785,0.431241,1,0,HOLDOUT2,0.088244,0.492219,0.121039,0.155565
SOL,SOL_2025_REC,100,4,offen_suchend->normale_weltspannung,gemischte_rohwelt,0.203136,0.046362,0.019069,0.007651,-0.130054,0.462917,0.668564,0.113517,0.238564,0.287809,1,0,HOLDOUT1,0.088437,0.492219,0.121039,0.155565
SOL,SOL_2025_REC,100,73,offen_suchend->offen_suchend,gemischte_rohwelt,0.204468,0.038676,0.017724,0.008144,-0.139924,0.455231,0.667219,0.11401,0.228694,0.505969,1,0,HOLDOUT1,0.090697,0.492219,0.121039,0.155565
