source,recoupling_factor,episodes,stress_state,dominant_role,avg_static_rekopplung,avg_damped_rekopplung,zentrum_share,rekopplung_share,open_share,rand_share,diffuse_share,mixed_share,delta_zentrum,delta_rekopplung,delta_open,delta_rand,delta_diffuse,family_stability,top_rekopplung_families,top_center_families,top_rand_families
debug/multiworld_axis_map/BTC_2025_1H_0_1000/real_a/dio_mini_lauf_1/episodes.csv,1.0,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.695357,0.695357,0.336016,0.626761,0.0,0.001006,0.0,0.036217,0.0,0.0,0.0,0.0,0.0,1.0,dio_00ly;dio_06s7;dio_0dd2;dio_0h9h;dio_0l7p;dio_0m9z;dio_104t;dio_155c,dio_00ja;dio_04uf;dio_05yg;dio_07o8;dio_0jkk;dio_0m9z;dio_0pxr;dio_1v2w,dio_17qo
debug/multiworld_axis_map/BTC_2025_1H_0_1000/real_a/dio_mini_lauf_1/episodes.csv,0.9,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.695357,0.625822,0.336016,0.626761,0.0,0.004024,0.0,0.033199,0.0,0.0,0.0,0.003018,0.0,0.75,dio_00ly;dio_06s7;dio_0dd2;dio_0h9h;dio_0l7p;dio_0m9z;dio_104t;dio_155c,dio_00ja;dio_04uf;dio_05yg;dio_07o8;dio_0jkk;dio_0m9z;dio_0pxr;dio_1v2w,dio_0vfj;dio_12n7;dio_17qo;dio_1c6r
debug/multiworld_axis_map/BTC_2025_1H_0_1000/real_a/dio_mini_lauf_1/episodes.csv,0.75,994,familienordnung_verliert_wiedererkennung,zentrum_stabil,0.695357,0.521518,0.640845,0.0,0.119718,0.004024,0.0,0.235412,0.304829,-0.626761,0.119718,0.003018,0.0,0.105556,,dio_00ly;dio_06s7;dio_0dd2;dio_0h9h;dio_0l7p;dio_0m9z;dio_104t;dio_155c,dio_0vfj;dio_12n7;dio_17qo;dio_1c6r
debug/multiworld_axis_map/BTC_2025_1H_0_1000/real_a/dio_mini_lauf_1/episodes.csv,0.5,994,topologie_kollabiert_in_rand_oder_diffus,offene_variante,0.695357,0.347679,0.0,0.0,0.757545,0.004024,0.238431,0.0,-0.336016,-0.626761,0.757545,0.003018,0.238431,0.083333,,,dio_0vfj;dio_12n7;dio_17qo;dio_1c6r
debug/multiworld_axis_map/DOGE_2025_1H_0_1000/real_a/dio_mini_lauf_1/episodes.csv,1.0,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.695702,0.695702,0.317907,0.647887,0.0,0.002012,0.0,0.032193,0.0,0.0,0.0,0.0,0.0,1.0,dio_06er;dio_0h9h;dio_0l7p;dio_0m9z;dio_104t;dio_14wj;dio_155c;dio_17ct,dio_0ahb;dio_0bgx;dio_0jkk;dio_0pxr;dio_0u1o;dio_12fw;dio_17db;dio_1yoi,dio_05cl;dio_12n7
debug/multiworld_axis_map/DOGE_2025_1H_0_1000/real_a/dio_mini_lauf_1/episodes.csv,0.9,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.695702,0.626131,0.317907,0.647887,0.0,0.004024,0.0,0.030181,0.0,0.0,0.0,0.002012,0.0,0.833333,dio_06er;dio_0h9h;dio_0l7p;dio_0m9z;dio_104t;dio_14wj;dio_155c;dio_17ct,dio_0ahb;dio_0bgx;dio_0jkk;dio_0pxr;dio_0u1o;dio_12fw;dio_17db;dio_1yoi,dio_05cl;dio_0ind;dio_12n7;dio_1vyv
debug/multiworld_axis_map/DOGE_2025_1H_0_1000/real_a/dio_mini_lauf_1/episodes.csv,0.75,994,familienordnung_verliert_wiedererkennung,zentrum_stabil,0.695702,0.521776,0.632797,0.0,0.138833,0.004024,0.0,0.224346,0.314889,-0.647887,0.138833,0.002012,0.0,0.166667,,dio_06er;dio_0h9h;dio_0l7p;dio_0m9z;dio_104t;dio_14wj;dio_155c;dio_17ct,dio_05cl;dio_0ind;dio_12n7;dio_1vyv
debug/multiworld_axis_map/DOGE_2025_1H_0_1000/real_a/dio_mini_lauf_1/episodes.csv,0.5,994,topologie_kollabiert_in_rand_oder_diffus,offene_variante,0.695702,0.347851,0.0,0.0,0.77163,0.004024,0.224346,0.0,-0.317907,-0.647887,0.77163,0.002012,0.224346,0.166667,,,dio_05cl;dio_0ind;dio_12n7;dio_1vyv
debug/multiworld_axis_map/XRP_2025_1H_0_1000/real_a/dio_mini_lauf_1/episodes.csv,1.0,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.690207,0.690207,0.360161,0.596579,0.0,0.002012,0.0,0.041247,0.0,0.0,0.0,0.0,0.0,1.0,dio_00ja;dio_00ly;dio_0h9h;dio_0l7p;dio_0m9z;dio_104t;dio_14wj;dio_155c,dio_04uf;dio_0cky;dio_0g2r;dio_0jkk;dio_0jmo;dio_0oc3;dio_0u1o;dio_169a,dio_0i3e;dio_17qo
debug/multiworld_axis_map/XRP_2025_1H_0_1000/real_a/dio_mini_lauf_1/episodes.csv,0.9,994,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.690207,0.621186,0.360161,0.596579,0.0,0.003018,0.0,0.040241,0.0,0.0,0.0,0.001006,0.0,0.888889,dio_00ja;dio_00ly;dio_0h9h;dio_0l7p;dio_0m9z;dio_104t;dio_14wj;dio_155c,dio_04uf;dio_0cky;dio_0g2r;dio_0jkk;dio_0jmo;dio_0oc3;dio_0u1o;dio_169a,dio_0i3e;dio_17qo;dio_1qal
debug/multiworld_axis_map/XRP_2025_1H_0_1000/real_a/dio_mini_lauf_1/episodes.csv,0.75,994,familienordnung_verliert_wiedererkennung,zentrum_stabil,0.690207,0.517655,0.569416,0.0,0.177062,0.003018,0.0,0.250503,0.209256,-0.596579,0.177062,0.001006,0.0,0.222222,,dio_00ly;dio_0dd2;dio_0h9h;dio_0l7p;dio_0m9z;dio_104t;dio_14wj;dio_155c,dio_0i3e;dio_17qo;dio_1qal
debug/multiworld_axis_map/XRP_2025_1H_0_1000/real_a/dio_mini_lauf_1/episodes.csv,0.5,994,topologie_kollabiert_in_rand_oder_diffus,offene_variante,0.690207,0.345104,0.0,0.0,0.746479,0.003018,0.250503,0.0,-0.360161,-0.596579,0.746479,0.001006,0.250503,0.222222,,,dio_0i3e;dio_17qo;dio_1qal
debug/multiworld_axis_map/SYN1788_BASE_TO_SHUFFLE/real_a/dio_mini_lauf_1/episodes.csv,1.0,3594,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.751073,0.751073,0.009182,0.990818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dio_02n3;dio_06er;dio_0g3b;dio_0n0i;dio_13o0;dio_15vu;dio_1fll;dio_1ygx,dio_0g3b;dio_0gzn;dio_0kx9;dio_0ly7;dio_0n0i;dio_0nlj;dio_15vu;dio_1fll,
debug/multiworld_axis_map/SYN1788_BASE_TO_SHUFFLE/real_a/dio_mini_lauf_1/episodes.csv,0.9,3594,topologie_stabil_mit_daempfung,rekopplungsnaehe,0.751073,0.675965,0.009182,0.990818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dio_02n3;dio_06er;dio_0g3b;dio_0n0i;dio_13o0;dio_15vu;dio_1fll;dio_1ygx,dio_0g3b;dio_0gzn;dio_0kx9;dio_0ly7;dio_0n0i;dio_0nlj;dio_15vu;dio_1fll,
debug/multiworld_axis_map/SYN1788_BASE_TO_SHUFFLE/real_a/dio_mini_lauf_1/episodes.csv,0.75,3594,geordnete_verschiebung,zentrum_stabil,0.751073,0.563304,0.99527,0.0,0.003061,0.0,0.0,0.001669,0.986088,-0.990818,0.003061,0.0,0.0,0.444444,,dio_02n3;dio_06er;dio_0g3b;dio_0n0i;dio_13o0;dio_15vu;dio_1fll;dio_1ygx,
debug/multiworld_axis_map/SYN1788_BASE_TO_SHUFFLE/real_a/dio_mini_lauf_1/episodes.csv,0.5,3594,geordnete_verschiebung,offene_variante,0.751073,0.375536,0.0,0.0,0.998331,0.0,0.001669,0.0,-0.009182,-0.990818,0.998331,0.0,0.001669,0.333333,,,
