world,candidate_family,hits_a_dio_00ly_to_104t,hits_b_dio_104t_to_00ly,total_hits,bias,purity
DOGE 2024 1h 10k,dio_17ct,46,72,118,b,0.610169
DOGE 2024 1h 10k,dio_0oc3,44,44,88,balanced,0.5
XRP 2024 1h 10k,dio_00ja,16,28,44,b,0.636364
XRP 2024 1h 10k,dio_1uof,4,6,10,b,0.6
XRP 2024 1h 10k,dio_1lsu,68,60,128,a,0.53125
XRP 2024 1h 10k,dio_06s7,34,46,80,b,0.575
XRP 2024 1h 10k,dio_0tay,34,58,92,b,0.630435
XRP 2024 1h 10k,dio_1kpz,22,60,82,b,0.731707
XRP 2024 1h 10k,dio_1r55,60,60,120,balanced,0.5
XRP 2024 1h 10k,dio_17ct,46,56,102,b,0.54902
XRP 2024 1h 10k,dio_0oc3,42,56,98,b,0.571429
BTC 2024 1h 2k,dio_00ja,6,16,22,b,0.727273
BTC 2024 1h 2k,dio_1uof,2,0,2,a,1.0
BTC 2024 1h 2k,dio_1lsu,16,22,38,b,0.578947
BTC 2024 1h 2k,dio_06s7,12,18,30,b,0.6
BTC 2024 1h 2k,dio_0tay,10,14,24,b,0.583333
BTC 2024 1h 2k,dio_1kpz,12,16,28,b,0.571429
BTC 2024 1h 2k,dio_1r55,2,8,10,b,0.8
BTC 2024 1h 2k,dio_17ct,8,8,16,balanced,0.5
BTC 2024 1h 2k,dio_0oc3,14,26,40,b,0.65
SOL 2024 1h 2k,dio_00ja,12,8,20,a,0.6
SOL 2024 1h 2k,dio_1uof,4,2,6,a,0.666667
SOL 2024 1h 2k,dio_1lsu,6,14,20,b,0.7
SOL 2024 1h 2k,dio_06s7,12,12,24,balanced,0.5
SOL 2024 1h 2k,dio_0tay,2,8,10,b,0.8
SOL 2024 1h 2k,dio_1kpz,6,4,10,a,0.6
SOL 2024 1h 2k,dio_17ct,8,8,16,balanced,0.5
SOL 2024 1h 2k,dio_0oc3,12,22,34,b,0.647059
