world,family,relation,total,open_count,mature_count,open_share,mature_share,avg_rekopplung,avg_adaptive_rekopplung,avg_strain,avg_role_experience,avg_path_experience
DOGE_2025,dio_10dv,offen_und_gereift,14,9,4,0.642857,0.285714,0.712132,0.753259,0.133647,0.339286,0.116071
DOGE_2025,dio_0g3b,offen_und_gereift,10,2,7,0.200000,0.700000,0.728530,0.770920,0.103072,0.716667,0.187500
DOGE_2025,dio_0dzv,nur_gereift,10,0,9,0.000000,0.900000,0.721186,0.763608,0.117799,0.825000,0.325000
DOGE_2025,dio_0l7p,offen_und_gereift,171,34,135,0.198830,0.789474,0.726438,0.762670,0.136141,0.715887,0.000000
DOGE_2025,dio_1q85,offen_und_gereift,76,64,11,0.842105,0.144737,0.707735,0.744257,0.158656,0.178728,0.078947
DOGE_2025,dio_1aeg,offen_und_gereift,19,1,16,0.052632,0.842105,0.699101,0.736559,0.156761,0.846491,0.282895
DOGE_2025,dio_1pij,offen_und_gereift,36,3,32,0.083333,0.888889,0.685792,0.723196,0.175428,0.849537,0.361111
DOGE_2025,dio_0nlj,offen_und_gereift,35,31,3,0.885714,0.085714,0.730724,0.772818,0.115537,0.202381,0.039286
DOGE_2025,dio_07uk,offen_und_gereift,39,24,14,0.615385,0.358974,0.718595,0.759568,0.136080,0.452992,0.330128
DOGE_2025,dio_1v2w,offen_und_gereift,35,14,20,0.400000,0.571429,0.682559,0.714987,0.174465,0.173809,0.571429
DOGE_2025,dio_0oc3,offen_und_gereift,77,72,5,0.935065,0.064935,0.696345,0.733749,0.170392,0.278138,0.061688
DOGE_2025,dio_104t,offen_und_gereift,335,32,303,0.095522,0.904478,0.721847,0.756601,0.149229,0.915672,0.080597
DOGE_2025,dio_0pz6,offen_und_gereift,81,75,6,0.925926,0.074074,0.728130,0.768545,0.129326,0.381687,0.058642
DOGE_2025,dio_1tiu,offen_und_gereift,16,4,12,0.250000,0.750000,0.722660,0.767728,0.123487,0.770833,0.437500
DOGE_2025,dio_0g2r,offen_und_gereift,59,32,27,0.542373,0.457627,0.709077,0.746358,0.145591,0.538136,0.093220
DOGE_2025,dio_155c,offen_und_gereift,230,24,206,0.104348,0.895652,0.715139,0.750915,0.156151,0.890580,0.007065
DOGE_2025,dio_0jmo,offen_und_gereift,15,13,2,0.866667,0.133333,0.661240,0.700474,0.201764,0.205555,0.075000
DOGE_2025,dio_06s7,offen_und_gereift,76,69,7,0.907895,0.092105,0.729664,0.769698,0.123758,0.345395,0.060855
DOGE_2025,dio_17ct,offen_und_gereift,86,61,25,0.709302,0.290698,0.716583,0.755475,0.148441,0.437016,0.018895
DOGE_2025,dio_1u5i,offen_und_gereift,34,19,15,0.558824,0.441176,0.717884,0.758745,0.127511,0.482843,0.128676
DOGE_2025,dio_14wj,offen_und_gereift,101,58,43,0.574257,0.425743,0.729055,0.767477,0.126048,0.433168,0.056931
DOGE_2025,dio_0tay,offen_und_gereift,45,40,5,0.888889,0.111111,0.714609,0.754334,0.141662,0.270370,0.094444
DOGE_2025,dio_0gaw,offen_und_gereift,7,2,5,0.285714,0.714286,0.666138,0.710998,0.185542,0.714286,0.339286
DOGE_2025,dio_06ik,offen_und_gereift,6,1,5,0.166667,0.833333,0.680704,0.726527,0.163662,0.861111,0.208333
DOGE_2025,dio_0gzn,offen_und_gereift,7,2,5,0.285714,0.714286,0.721434,0.770885,0.114351,0.761905,0.500000
DOGE_2025,dio_0z9t,offen_und_gereift,28,1,27,0.035714,0.964286,0.708038,0.749715,0.147050,0.964286,0.540179
DOGE_2025,dio_1lsu,offen_und_gereift,61,45,16,0.737705,0.262295,0.709152,0.747551,0.150257,0.334699,0.184426
DOGE_2025,dio_0obq,offen_und_gereift,57,50,7,0.877193,0.122807,0.703559,0.741956,0.156669,0.369883,0.109649
DOGE_2025,dio_0m9z,offen_und_gereift,182,113,69,0.620879,0.379121,0.706888,0.741166,0.165057,0.374084,0.236264
DOGE_2025,dio_1cmd,offen_und_gereift,5,1,4,0.200000,0.800000,0.661072,0.706717,0.187080,0.633333,0.450000
DOGE_2025,dio_161t,offen_und_gereift,8,1,7,0.125000,0.875000,0.695771,0.741715,0.146969,0.895833,0.406250
DOGE_2025,dio_1fll,offen_und_gereift,12,1,11,0.083333,0.916667,0.729806,0.776499,0.108232,0.916667,0.562500
DOGE_2025,dio_07o8,offen_und_gereift,14,2,12,0.142857,0.857143,0.690624,0.732808,0.157999,0.845238,0.464286
DOGE_2025,dio_1udx,offen_und_gereift,5,1,4,0.200000,0.800000,0.659450,0.703454,0.189262,0.300000,0.650000
DOGE_2025,dio_06jk,offen_und_gereift,17,13,4,0.764706,0.235294,0.702144,0.745928,0.147358,0.318627,0.073529
DOGE_2025,dio_1oye,offen_und_gereift,19,10,9,0.526316,0.473684,0.684104,0.724717,0.173682,0.434210,0.184211
DOGE_2025,dio_0dd2,offen_und_gereift,38,1,37,0.026316,0.973684,0.719976,0.761486,0.133520,0.938596,0.447368
DOGE_2025,dio_04z8,nur_offen,1,1,0,1.000000,0.000000,0.614887,0.666082,0.241022,0.166667,0.000000
DOGE_2025,dio_05ap,nur_gereift,17,0,17,0.000000,1.000000,0.727136,0.773292,0.112587,0.911765,0.588235
DOGE_2025,dio_18im,offen_und_gereift,16,5,11,0.312500,0.687500,0.694629,0.738290,0.156731,0.692708,0.109375
DOGE_2025,dio_06er,offen_und_gereift,44,2,42,0.045455,0.954545,0.729805,0.771574,0.120927,0.920455,0.417614
DOGE_2025,dio_1r55,offen_und_gereift,16,4,12,0.250000,0.750000,0.704769,0.749029,0.144604,0.713542,0.375000
DOGE_2025,dio_169a,offen_und_gereift,44,20,24,0.454545,0.545455,0.695472,0.734233,0.167435,0.553030,0.099432
DOGE_2025,dio_00ly,offen_und_gereift,83,47,36,0.566265,0.433735,0.721506,0.760082,0.135910,0.532128,0.149096
DOGE_2025,dio_1o0u,offen_und_gereift,20,2,18,0.100000,0.900000,0.696494,0.739070,0.156889,0.870833,0.143750
DOGE_2025,dio_0h9h,offen_und_gereift,119,40,79,0.336134,0.663866,0.723153,0.761730,0.136596,0.560924,0.028361
DOGE_2025,dio_0xz6,nur_gereift,1,0,1,0.000000,1.000000,0.679762,0.736171,0.153299,0.250000,0.375000
DOGE_2025,dio_0fl2,nur_gereift,14,0,14,0.000000,1.000000,0.719308,0.765720,0.122150,0.946429,0.508929
DOGE_2025,dio_1cic,nur_gereift,23,0,23,0.000000,1.000000,0.709238,0.750250,0.134243,0.967391,0.527174
DOGE_2025,dio_06qi,offen_und_gereift,25,6,19,0.240000,0.760000,0.712653,0.755406,0.138436,0.750000,0.365000
DOGE_2025,dio_18v0,offen_und_gereift,13,5,8,0.384615,0.615385,0.672553,0.713665,0.182566,0.615385,0.221154
DOGE_2025,dio_1uof,offen_und_gereift,27,5,22,0.185185,0.814815,0.704658,0.743305,0.139905,0.688272,0.310185
DOGE_2025,dio_0oxn,nur_gereift,1,0,1,0.000000,1.000000,0.621654,0.673057,0.228653,0.250000,0.500000
DOGE_2025,dio_1772,offen_und_gereift,28,9,19,0.321429,0.678571,0.690920,0.729377,0.164421,0.526786,0.437500
DOGE_2025,dio_1l71,nur_offen,1,1,0,1.000000,0.000000,0.648491,0.702436,0.194039,0.416667,0.000000
