name,group,role,contrast,field_strain,memory_load,rekopplung,world_compaction,drift,abs_drift,avg_abs_return,p95_abs_return,avg_range,p95_range,avg_volume_change,direction_change_ratio,direction_persistence
QUIET_2024_REAL,ruhe,reiz_aktiv_rekoppelnd,-0.487545,0.021277,0.053191,0.630744,4.046946,0.018408,0.018408,0.001857,0.005506,0.003683,0.008079,0.503321,0.479592,0.520408
QUIET_2024_SIDEWAYS,ruhe,reiz_aktiv_rekoppelnd,-0.552921,0.021277,0.053191,0.639653,1.005630,-0.009294,0.009294,0.000559,0.001311,0.000980,0.001606,0.461954,0.377551,0.622449
QUIET_2025_CORE,ruhe,reiz_aktiv_rekoppelnd,-0.494406,0.010638,0.031915,0.628376,2.002903,-0.001731,0.001731,0.001079,0.002746,0.001950,0.003392,0.633254,0.469388,0.530612
QUIET_2025_STRESS,ruhe,reiz_aktiv_rekoppelnd,-0.612943,0.000000,0.010638,0.639352,1.832482,-0.004429,0.004429,0.000981,0.002260,0.001911,0.003205,0.589152,0.336735,0.663265
QUIET_2026_ANCHOR,ruhe,reiz_aktiv_rekoppelnd,-0.582985,0.021277,0.053191,0.639974,1.053049,0.000000,0.000000,0.000534,0.001376,0.000998,0.001762,0.717188,0.408163,0.591837
AUTO_STRESS_SEGMENT5,stress,uebergang_bindend,-0.064226,0.215054,0.225806,0.607085,11.398648,0.074979,0.074979,0.004851,0.014067,0.009399,0.026740,0.656748,0.360825,0.639175
AUTO_STRESS_SEGMENT5_6,stress,uebergang_bindend,-0.091719,0.171875,0.234375,0.606201,8.860599,0.163437,0.163437,0.004348,0.011415,0.008655,0.017579,0.700605,0.408163,0.591837
AUTO_STRESS_SEGMENT6,stress,uebergang_bindend,-0.135746,0.129032,0.247312,0.606419,7.884063,0.080595,0.080595,0.003874,0.009672,0.007911,0.015935,0.745620,0.453608,0.546392
STRESS_2023_TEST4,stress,last_memory_bindend,0.129442,0.265957,0.244681,0.596927,17.076246,0.279720,0.279720,0.007483,0.017831,0.015069,0.042703,0.601729,0.459184,0.540816
STRESS_2024_REAL,stress,uebergang_bindend,0.032213,0.234043,0.244681,0.601652,16.892905,-0.105854,0.105854,0.007866,0.024532,0.014709,0.033383,0.353564,0.428571,0.571429
STRESS_2024_SIDEWAYS,stress,reiz_aktiv_rekoppelnd,-0.466940,0.053191,0.053191,0.629551,4.627439,-0.025267,0.025267,0.002264,0.006081,0.004247,0.009205,0.847861,0.489796,0.510204
STRESS_2025_STRESS,stress,last_memory_bindend,0.120330,0.287234,0.223404,0.594327,19.012360,0.253191,0.253191,0.007753,0.027235,0.013453,0.043544,0.587500,0.520408,0.479592
