side,source,world,pair,axis,mode,phase_hint,chart_zone,dominant_movement,return_pct,range_pct,pressure_abs,rekopplung_abs,topology_reading,node_a_state,node_a_role,node_a_shift,node_b_state,node_b_role,node_b_shift,adjacent_role_shifts,adjacent_effects,direct_topology_hits,adjacent_topology_hits,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
bull,LONG_ISOLATION,LONG2024_15M_SOL_QUIET_4000,183drjy->1t5bcxp,183drjy<->1t5bcxp,gerichtete_bewegung_mit_bruch,steigender_bruch,gerichtete_uebergangsbewegung,bewegungsbruch_zone,20.07336,31.890104,0.066661,0.021382,zeitachse_mit_angrenzender_rollenbewegung,nichtbruecke_rekopplungsfeld,zentrum_stabil,verlegte_mitte_mit_rueckbindung,nichtbruecke_zentrum_schwach,zentrum_stabil,verlegte_mitte_mit_rueckbindung,zentrum_stabil->zentrum_stabil:2 | zentrum_stabil->offene_variante:1 | offene_variante->offene_variante:1,rekoppelnd_entlastend:3 | oeffnend_belastend:1,0,4,1,0,0,0,0,0,0
bull,LONG_ISOLATION,LONG2024_5M_BTC_QUIET_4000,183drjy->1t5bcxp,183drjy<->1t5bcxp,gerichtete_bewegung_mit_bruch,offenes_bull_fenster,gerichtete_uebergangsbewegung,bewegungsbruch_zone,1.115271,5.874207,0.069925,0.019541,zeitachse_mit_angrenzender_rollenbewegung,nichtbruecke_rekopplungsfeld,zentrum_stabil,verlegte_mitte_mit_rueckbindung,nichtbruecke_zentrum_schwach,zentrum_stabil,verlegte_mitte_mit_rueckbindung,zentrum_stabil->zentrum_stabil:2 | zentrum_stabil->offene_variante:1 | offene_variante->offene_variante:1,rekoppelnd_entlastend:3 | oeffnend_belastend:1,0,4,1,0,0,0,0,0,0
bull,LONG_ISOLATION,LONG2025_5M_BTC_STRESS_4000,183drjy->1t5bcxp,183drjy<->1t5bcxp,gerichtete_bewegung_mit_bruch,offenes_bull_fenster,gerichtete_uebergangsbewegung,bewegungsbruch_zone,-5.889823,8.950316,0.061348,0.017117,zeitachse_mit_angrenzender_rollenbewegung,nichtbruecke_rekopplungsfeld,zentrum_stabil,verlegte_mitte_mit_rueckbindung,nichtbruecke_zentrum_schwach,zentrum_stabil,verlegte_mitte_mit_rueckbindung,zentrum_stabil->zentrum_stabil:2 | zentrum_stabil->offene_variante:1 | offene_variante->offene_variante:1,rekoppelnd_entlastend:3 | oeffnend_belastend:1,0,4,1,0,0,0,0,0,0
bull,LONG_ISOLATION,LONG2025_SOL_STRESS_4000,183drjy->1t5bcxp,183drjy<->1t5bcxp,gerichtete_bewegung_mit_bruch,offenes_bull_fenster,gerichtete_uebergangsbewegung,bewegungsbruch_zone,-43.321558,61.636807,0.055054,0.015846,zeitachse_mit_angrenzender_rollenbewegung,nichtbruecke_rekopplungsfeld,zentrum_stabil,verlegte_mitte_mit_rueckbindung,nichtbruecke_zentrum_schwach,zentrum_stabil,verlegte_mitte_mit_rueckbindung,zentrum_stabil->zentrum_stabil:2 | zentrum_stabil->offene_variante:1 | offene_variante->offene_variante:1,rekoppelnd_entlastend:3 | oeffnend_belastend:1,0,4,1,0,0,0,0,0,0
bull,LONG_ISOLATION,LONG2024_15M_SOL_QUIET_4000,1t5bcxp->183drjy,183drjy<->1t5bcxp,gerichtete_bewegung_mit_rekopplung,steigende_rekopplung,gerichtete_uebergangsbewegung,rekopplungs_uebergang,19.822883,30.038966,0.052709,0.017809,zeitachse_mit_angrenzender_rollenbewegung,nichtbruecke_rekopplungsfeld,zentrum_stabil,verlegte_mitte_mit_rueckbindung,nichtbruecke_zentrum_schwach,zentrum_stabil,verlegte_mitte_mit_rueckbindung,zentrum_stabil->zentrum_stabil:2 | zentrum_stabil->offene_variante:1 | offene_variante->offene_variante:1,rekoppelnd_entlastend:3 | oeffnend_belastend:1,0,4,1,0,0,0,0,0,0
bull,LONG_ISOLATION,LONG2025_15M_BTC_QUIET_4000,183drjy->1t5bcxp,183drjy<->1t5bcxp,gerichtete_bewegung_mit_rekopplung,offenes_bull_fenster,gerichtete_uebergangsbewegung,rekopplungs_uebergang,-4.169846,10.629993,0.049909,0.018408,zeitachse_mit_angrenzender_rollenbewegung,nichtbruecke_rekopplungsfeld,zentrum_stabil,verlegte_mitte_mit_rueckbindung,nichtbruecke_zentrum_schwach,zentrum_stabil,verlegte_mitte_mit_rueckbindung,zentrum_stabil->zentrum_stabil:2 | zentrum_stabil->offene_variante:1 | offene_variante->offene_variante:1,rekoppelnd_entlastend:3 | oeffnend_belastend:1,0,4,1,0,0,0,0,0,0
bull,LONG_ISOLATION,LONG2025_5M_BTC_QUIET_4000,183drjy->1t5bcxp,183drjy<->1t5bcxp,gerichtete_bewegung_mit_rekopplung,offenes_bull_fenster,gerichtete_uebergangsbewegung,rekopplungs_uebergang,1.593614,5.054458,0.056887,0.017738,zeitachse_mit_angrenzender_rollenbewegung,nichtbruecke_rekopplungsfeld,zentrum_stabil,verlegte_mitte_mit_rueckbindung,nichtbruecke_zentrum_schwach,zentrum_stabil,verlegte_mitte_mit_rueckbindung,zentrum_stabil->zentrum_stabil:2 | zentrum_stabil->offene_variante:1 | offene_variante->offene_variante:1,rekoppelnd_entlastend:3 | oeffnend_belastend:1,0,4,1,0,0,0,0,0,0
bull,LONG_ISOLATION,LONG2025_5M_BTC_QUIET_4000,1t5bcxp->183drjy,183drjy<->1t5bcxp,gerichtete_bewegung_mit_rekopplung,offenes_bull_fenster,gerichtete_uebergangsbewegung,rekopplungs_uebergang,1.703952,5.055021,0.050822,0.022635,zeitachse_mit_angrenzender_rollenbewegung,nichtbruecke_rekopplungsfeld,zentrum_stabil,verlegte_mitte_mit_rueckbindung,nichtbruecke_zentrum_schwach,zentrum_stabil,verlegte_mitte_mit_rueckbindung,zentrum_stabil->zentrum_stabil:2 | zentrum_stabil->offene_variante:1 | offene_variante->offene_variante:1,rekoppelnd_entlastend:3 | oeffnend_belastend:1,0,4,1,0,0,0,0,0,0
bull,ASSET_ZEIT,KAS_2024_30M,183drjy->1t5bcxp,183drjy<->1t5bcxp,getragene_expansion,steigende_expansion_mit_bruch,expansion_getragen,bewegungsbruch_zone,33.575069,39.063113,0.138771,0.029117,zeitachse_mit_angrenzender_rollenbewegung,nichtbruecke_rekopplungsfeld,zentrum_stabil,verlegte_mitte_mit_rueckbindung,nichtbruecke_zentrum_schwach,zentrum_stabil,verlegte_mitte_mit_rueckbindung,zentrum_stabil->zentrum_stabil:2 | zentrum_stabil->offene_variante:1 | offene_variante->offene_variante:1,rekoppelnd_entlastend:3 | oeffnend_belastend:1,0,4,1,0,0,0,0,0,0
bull,LONG_ISOLATION,LONG2024_15M_BTC_STRESS_4000,183drjy->1t5bcxp,183drjy<->1t5bcxp,getragene_expansion,getragene_expansion,expansion_getragen,druck_uebergang,30.262088,36.633409,0.06968,0.025041,zeitachse_mit_angrenzender_rollenbewegung,nichtbruecke_rekopplungsfeld,zentrum_stabil,verlegte_mitte_mit_rueckbindung,nichtbruecke_zentrum_schwach,zentrum_stabil,verlegte_mitte_mit_rueckbindung,zentrum_stabil->zentrum_stabil:2 | zentrum_stabil->offene_variante:1 | offene_variante->offene_variante:1,rekoppelnd_entlastend:3 | oeffnend_belastend:1,0,4,1,0,0,0,0,0,0
bull,LONG_ISOLATION,LONG2024_15M_BTC_STRESS_4000,1t5bcxp->183drjy,183drjy<->1t5bcxp,getragene_expansion,steigende_rekopplung_getragen,expansion_getragen,rekopplungs_uebergang,31.706961,37.083211,0.060054,0.024454,zeitachse_mit_angrenzender_rollenbewegung,nichtbruecke_rekopplungsfeld,zentrum_stabil,verlegte_mitte_mit_rueckbindung,nichtbruecke_zentrum_schwach,zentrum_stabil,verlegte_mitte_mit_rueckbindung,zentrum_stabil->zentrum_stabil:2 | zentrum_stabil->offene_variante:1 | offene_variante->offene_variante:1,rekoppelnd_entlastend:3 | oeffnend_belastend:1,0,4,1,0,0,0,0,0,0
