role_symbol,short_token,memory_trend,memory_stability,memory_drift,memory_class_sequence,memory_last_class,memory_max_rank,current_class,current_weight,current_world_span,current_duration,read_state,rank_delta_from_last,rank_delta_from_max
dio_role_0okxhms,00nzcuc,role_releasing,losing_role_weight,role_releasing_or_fading,lokaler_anschlussanker -> schwacher_anschluss,schwacher_anschluss,2,schwacher_anschluss,1,1,353.000000,entlastung_bestaetigt,0,-1
dio_role_1yxuqsx,1hdpu9s,role_releasing,losing_role_weight,role_releasing_or_fading,lokaler_anschlussanker -> schwacher_anschluss,schwacher_anschluss,2,schwacher_anschluss,11,3,18.727273,entlastung_bestaetigt,0,-1
dio_role_04lwhlp,0db07p4,role_core_near_retained,stable_core,low_drift,brueckenkern -> brueckenkern,brueckenkern,4,brueckenkern,23,3,56.956522,kernnaehe_gehalten,0,0
dio_role_0c7nggw,0e7qvj1,role_core_near_retained,stable_core,low_drift,brueckenkern -> brueckenkern,brueckenkern,4,brueckenkern,268,6,126.932836,kernnaehe_gehalten,0,0
dio_role_117fbbv,0jbl5pq,role_core_near_retained,stable_core,low_drift,brueckenkern -> brueckenkern,brueckenkern,4,brueckenkern,32,6,2.500000,kernnaehe_gehalten,0,0
dio_role_1hxibov,0mji3u6,role_core_near_retained,stable_core,low_drift,brueckenkern -> brueckenkern,brueckenkern,4,brueckenkern,97,6,94.061856,kernnaehe_gehalten,0,0
dio_role_0k5tt9o,0qzjuvj,role_core_near_retained,stable_core,low_drift,brueckenkern -> brueckenkern,brueckenkern,4,brueckenkern,29,6,2.551724,kernnaehe_gehalten,0,0
dio_role_15x5igq,18l3thm,role_core_near_retained,stable_core,low_drift,brueckenkern -> brueckenkern,brueckenkern,4,brueckenkern,159,6,47.685535,kernnaehe_gehalten,0,0
dio_role_0bx4b71,18n06fj,role_core_near_retained,stable_core,low_drift,brueckenkern -> brueckenkern,brueckenkern,4,brueckenkern,38,5,4.789474,kernnaehe_gehalten,0,0
dio_role_04fwtzx,1joiyc3,role_core_near_retained,stable_core,low_drift,brueckenkern -> brueckenkern,brueckenkern,4,brueckenkern,66,6,211.060606,kernnaehe_gehalten,0,0
dio_role_0bv1cvs,04s5k7g,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_0ig103p,0ac3vc1,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,-,0,0,0.000000,nicht_wiedergefunden,-1,-1
dio_role_1pniu4d,0dgle71,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,-,0,0,0.000000,nicht_wiedergefunden,-1,-1
dio_role_12ugu7t,0h9ka55,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_0qqvr04,0jatqr8,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_00hd21z,0jdgxa5,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_1bibfb9,0jwgafx,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,-,0,0,0.000000,nicht_wiedergefunden,-1,-1
dio_role_18s2xbv,0k7ekcr,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,-,0,0,0.000000,nicht_wiedergefunden,-1,-1
dio_role_0uzak4o,0ldenly,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_1yyg34r,0mqw5s3,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_03zt1hm,0n22aiv,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_063m107,0rz7ra9,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_0b8pqk9,0sxikqi,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_0u4dcfv,0tosxof,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_1v1zos6,0vszw6h,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_01bn9lr,0w9dwz3,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,-,0,0,0.000000,nicht_wiedergefunden,-1,-1
dio_role_1i5fe1v,14k61ms,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,-,0,0,0.000000,nicht_wiedergefunden,-1,-1
dio_role_0j48ti2,15cyz2v,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,-,0,0,0.000000,nicht_wiedergefunden,-1,-1
dio_role_0c1jyja,1ej5zl7,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_17h1ghv,1engxbn,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,-,0,0,0.000000,nicht_wiedergefunden,-1,-1
dio_role_0j5ndt2,1fej2vb,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_0s48gll,1ggl8cd,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_0f2hsd9,1n2f96o,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,-,0,0,0.000000,nicht_wiedergefunden,-1,-1
dio_role_10lnimb,1nw8bq9,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_1529pia,1q3u8v6,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_1ifb9tb,1qqnvqf,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,-,0,0,0.000000,nicht_wiedergefunden,-1,-1
dio_role_0h76ele,1rzvd1k,role_releasing,losing_role_weight,role_releasing_or_fading,schwacher_anschluss -> -,-,1,-,0,0,0.000000,nicht_wiedergefunden,0,-1
dio_role_0swsalk,1x5cw2v,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,-,0,0,0.000000,nicht_wiedergefunden,-1,-1
dio_role_0kpl8oy,1xm3b1l,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,-,0,0,0.000000,nicht_wiedergefunden,-1,-1
dio_role_1xxkp6s,0393v08,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,3.000000,stabil_bestaetigt,0,0
dio_role_07r8ira,05lquqm,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,10,1,1.200000,stabil_bestaetigt,0,0
dio_role_19ndo8h,08ubq99,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1.000000,stabil_bestaetigt,0,0
dio_role_0xif6vl,0aztxel,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,7,3,2.428571,stabil_bestaetigt,0,0
dio_role_006tkaa,0dsrwv5,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1.000000,stabil_bestaetigt,0,0
dio_role_0z48oo2,0ej0lhx,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,2.000000,stabil_bestaetigt,0,0
dio_role_0mm84nq,0fljihc,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,104.000000,stabil_bestaetigt,0,0
dio_role_0zjm847,0jlkrep,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,2,1,1.000000,stabil_bestaetigt,0,0
dio_role_1tisnrx,0lfde2c,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,4.000000,stabil_bestaetigt,0,0
dio_role_0azperi,0lne9ax,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,9,6,2.444444,stabil_bestaetigt,0,0
dio_role_162izau,0mm85pw,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,5,2,655.600000,stabil_bestaetigt,0,0
dio_role_112zvf4,0mw7rev,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,7,2,541.714286,stabil_bestaetigt,0,0
dio_role_1oqjef8,0nuo9k1,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,21.000000,stabil_bestaetigt,0,0
dio_role_0cc8jtw,0t1ymth,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,36.000000,stabil_bestaetigt,0,0
dio_role_141xqge,10b8y4e,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,3,2,16.666667,stabil_bestaetigt,0,0
dio_role_0fq04ma,19dxnmz,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,581.000000,stabil_bestaetigt,0,0
dio_role_0u1j0fi,19w9kxc,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1119.000000,stabil_bestaetigt,0,0
dio_role_17hxr4l,1b3r4if,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,2,1,1.000000,stabil_bestaetigt,0,0
dio_role_1y42s64,1f4jh6c,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,76.000000,stabil_bestaetigt,0,0
dio_role_1so36wc,1i1sl4l,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,3,1,6.333333,stabil_bestaetigt,0,0
dio_role_03ke3hf,1k0rrn2,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,4,2,1.000000,stabil_bestaetigt,0,0
dio_role_0lxtqlc,1pmt8u2,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,2,1,1029.000000,stabil_bestaetigt,0,0
dio_role_0vdg5ds,1y2gc2i,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,4,4,2.000000,stabil_bestaetigt,0,0
dio_role_1ayeh4m,0hjnwsk,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,brueckenkern,26,4,2.615385,stabilitaet_gebrochen,3,3
dio_role_0donfui,0l3i7ey,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,brueckenkern,11,3,1.545454,stabilitaet_gebrochen,3,3
dio_role_1i1fe7f,17c7qwp,role_stable,stable_surface,low_drift,schwacher_anschluss -> schwacher_anschluss,schwacher_anschluss,1,brueckenkern,9,1,48.777778,stabilitaet_gebrochen,3,3
dio_role_19qvilb,02ujuqf,role_condensing,core_near_retained,core_boundary_movement,- -> brueckenkern,brueckenkern,4,schwacher_anschluss,3,3,412.333333,verdichtung_entlastet_oder_driftet,-3,-3
dio_role_063jbt5,0geqqo3,role_condensing,gaining_weight,surface_role_movement,schwacher_anschluss -> lokaler_anschlussanker,lokaler_anschlussanker,2,schwacher_anschluss,4,2,20.500000,verdichtung_entlastet_oder_driftet,-1,-1
dio_role_1rkdnd8,0wjn8vm,role_condensing,gaining_weight,surface_role_movement,- -> lokaler_anschlussanker,lokaler_anschlussanker,2,schwacher_anschluss,2,1,67.500000,verdichtung_entlastet_oder_driftet,-1,-1
dio_role_0krdv3d,0ybr5e3,role_condensing,gaining_weight,surface_role_movement,- -> starker_anschlussanker,starker_anschlussanker,3,schwacher_anschluss,23,1,149.826087,verdichtung_entlastet_oder_driftet,-2,-2
dio_role_1dhtnye,0ykar6i,role_condensing,core_near_retained,core_boundary_movement,schwacher_anschluss -> brueckenkern,brueckenkern,4,starker_anschlussanker,88,4,98.954546,verdichtung_entlastet_oder_driftet,-1,-1
dio_role_006s4ho,0z748ck,role_condensing,core_near_retained,core_boundary_movement,lokaler_anschlussanker -> brueckenkern,brueckenkern,4,lokaler_anschlussanker,12,5,16.500000,verdichtung_entlastet_oder_driftet,-2,-2
dio_role_0ivr2vw,14coypf,role_condensing,core_near_retained,core_boundary_movement,- -> brueckenkern,brueckenkern,4,lokaler_anschlussanker,14,3,32.142857,verdichtung_entlastet_oder_driftet,-2,-2
dio_role_185g3ba,1ahj81f,role_condensing,gaining_weight,surface_role_movement,schwacher_anschluss -> starker_anschlussanker,starker_anschlussanker,3,schwacher_anschluss,3,2,11.333333,verdichtung_entlastet_oder_driftet,-2,-2
dio_role_0qnck5t,1jx2k4i,role_condensing,core_near_retained,core_boundary_movement,starker_anschlussanker -> brueckenkern,brueckenkern,4,starker_anschlussanker,35,6,159.657143,verdichtung_entlastet_oder_driftet,-1,-1
dio_role_143lfe3,1xx3u1e,role_condensing,core_near_retained,core_boundary_movement,lokaler_anschlussanker -> brueckenkern,brueckenkern,4,starker_anschlussanker,46,3,133.043478,verdichtung_entlastet_oder_driftet,-1,-1
dio_role_00usw0c,01s42m6,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,4,2,161.750000,verdichtung_gehalten,0,0
dio_role_0evlfm5,06ccuqv,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,2,2,2.000000,verdichtung_gehalten,0,0
dio_role_0ivla1n,077r0df,role_condensing,gaining_weight,surface_role_movement,schwacher_anschluss -> lokaler_anschlussanker,lokaler_anschlussanker,2,lokaler_anschlussanker,16,3,10.000000,verdichtung_gehalten,0,0
dio_role_1dm8jzq,079228h,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1.000000,verdichtung_gehalten,0,0
dio_role_1cwex6i,080f74u,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,3.000000,verdichtung_gehalten,0,0
dio_role_0wk94w6,0ag2osp,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1.000000,verdichtung_gehalten,0,0
dio_role_0xuioc1,0b7nep9,role_condensing,core_near_retained,core_boundary_movement,starker_anschlussanker -> brueckenkern,brueckenkern,4,brueckenkern,141,4,107.063830,verdichtung_gehalten,0,0
dio_role_04fxs3f,0d40zcv,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,88.000000,verdichtung_gehalten,0,0
dio_role_1a83rnn,0dxi31r,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,2.000000,verdichtung_gehalten,0,0
dio_role_0sgaaqw,0jkg1dk,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1.000000,verdichtung_gehalten,0,0
dio_role_1dtrjhv,0jzhgzp,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,2003.000000,verdichtung_gehalten,0,0
dio_role_00ab4vn,0ldht3x,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,4,3,1.250000,verdichtung_gehalten,0,0
dio_role_12xasvy,0li6lg1,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,471.000000,verdichtung_gehalten,0,0
dio_role_179we9g,0sv0ru8,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,3.000000,verdichtung_gehalten,0,0
dio_role_1haw2em,0t7i6fh,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,578.000000,verdichtung_gehalten,0,0
dio_role_1py89tj,0tph7s0,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,2,1,600.000000,verdichtung_gehalten,0,0
dio_role_0nkt7lw,0u69u6w,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1.000000,verdichtung_gehalten,0,0
dio_role_0zpfrqb,0v5p8er,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,starker_anschlussanker,32,3,125.812500,verdichtung_gehalten,2,2
dio_role_0yamhec,0w4x7xs,role_condensing,gaining_weight,surface_role_movement,schwacher_anschluss -> lokaler_anschlussanker,lokaler_anschlussanker,2,lokaler_anschlussanker,18,2,50.500000,verdichtung_gehalten,0,0
dio_role_1oeakpx,0xsq19y,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1.000000,verdichtung_gehalten,0,0
dio_role_1a7g399,0zh3u1j,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,832.000000,verdichtung_gehalten,0,0
dio_role_1rzpf8u,10mbxau,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1.000000,verdichtung_gehalten,0,0
dio_role_1xtn3oi,13cw75j,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1842.000000,verdichtung_gehalten,0,0
dio_role_1lq0sw2,14l8khu,role_condensing,gaining_weight,surface_role_movement,- -> lokaler_anschlussanker,lokaler_anschlussanker,2,lokaler_anschlussanker,22,3,100.954545,verdichtung_gehalten,0,0
dio_role_16cf1qr,17eveju,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,931.000000,verdichtung_gehalten,0,0
dio_role_18z8jx5,1a9sbfi,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1.000000,verdichtung_gehalten,0,0
dio_role_015c6f2,1al8fjz,role_condensing,gaining_weight,surface_role_movement,schwacher_anschluss -> lokaler_anschlussanker,lokaler_anschlussanker,2,lokaler_anschlussanker,14,4,1.571429,verdichtung_gehalten,0,0
dio_role_1gbic93,1aurt3q,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,3.000000,verdichtung_gehalten,0,0
dio_role_1vjzt0c,1ds636q,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,7,2,237.285714,verdichtung_gehalten,0,0
dio_role_1hd22yj,1eju9g0,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,24,1,36.416667,verdichtung_gehalten,0,0
dio_role_11bvca3,1hdvp5m,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1.000000,verdichtung_gehalten,0,0
dio_role_0afbpaj,1jaecfa,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,1245.000000,verdichtung_gehalten,0,0
dio_role_06xomv2,1jansx7,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,2016.000000,verdichtung_gehalten,0,0
dio_role_152ljbs,1jwnjz4,role_condensing,gaining_weight,surface_role_movement,schwacher_anschluss -> starker_anschlussanker,starker_anschlussanker,3,starker_anschlussanker,50,4,92.080000,verdichtung_gehalten,0,0
dio_role_12f16p9,1n9f8vr,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,1,1,2.000000,verdichtung_gehalten,0,0
dio_role_0kj7nsa,1q3us3f,role_condensing,gaining_weight,surface_role_movement,lokaler_anschlussanker -> starker_anschlussanker,starker_anschlussanker,3,starker_anschlussanker,43,5,68.302326,verdichtung_gehalten,0,0
dio_role_03kaj71,1t42af6,role_condensing,gaining_weight,surface_role_movement,- -> schwacher_anschluss,schwacher_anschluss,1,schwacher_anschluss,4,2,312.250000,verdichtung_gehalten,0,0
