source_file,world,preview_symbol,symbol_family,field_effect,depth_state,positive_phase_proximity,mcm_carry_quality,mcm_strain_quality,mcm_rekopplung_quality,mcm_sensory_coupling,mcm_visual_field_gap,mcm_hearing_field_gap,mcm_feldwirkung_mcm_coherence,mcm_feldwirkung_mcm_tension,mcm_feldwirkung_mcm_asymmetry
debug\2007_mb_paxg_shift_6000_7000\dio_mini_lauf_46\episodes.csv,MB_COUNTER_PAXG_SHIFT_6000_7000,dio_mcm_episode_0rbjarj,dio_0l7p,stabil,multiworld_depth_seed,0.994239,0.582381,0.151713,0.725984,0.851631,0.231266,0.018143,0.577965,0.050258,-0.008672
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.993081,0.589243,0.154335,0.727653,0.847728,0.235311,0.025306,0.571017,0.051437,-0.009370
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.988986,0.589233,0.153710,0.728042,0.848446,0.239594,0.017844,0.569114,0.050885,0.001295
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_1rj8742,dio_14wj,stabil,multiworld_depth_seed,0.988476,0.583232,0.150060,0.726650,0.847909,0.247061,0.014644,0.569667,0.047387,-0.003142
debug\2007_mb_transition_doge_start0\dio_mini_lauf_46\episodes.csv,MB_COUNTER_TRANSITION_DOGE_START0,dio_mcm_episode_1qlxgj7,dio_0l7p,stabil,multiworld_depth_seed,0.988049,0.582325,0.150793,0.726295,0.849943,0.229004,0.032351,0.594614,0.055764,-0.003594
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.987573,0.588616,0.154750,0.727418,0.850794,0.224866,0.026475,0.579201,0.053053,-0.021034
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0rbjarj,dio_14wj,stabil,multiworld_depth_seed,0.987476,0.580332,0.148817,0.726312,0.854287,0.229972,0.012326,0.580534,0.046594,-0.013295
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0tfzgic,dio_0l7p,stabil,multiworld_depth_seed,0.986949,0.588416,0.154102,0.727554,0.847318,0.228651,0.033371,0.576475,0.060415,-0.016390
debug\2007_mb_paxg_shift_7000_8000\dio_mini_lauf_47\episodes.csv,MB_COUNTER_PAXG_SHIFT_7000_8000,dio_mcm_episode_1rj8742,dio_0l7p,stabil,multiworld_depth_seed,0.986751,0.586003,0.157610,0.725305,0.848216,0.235784,0.026648,0.591591,0.059658,-0.009221
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_1fdlu6e,dio_0l7p,stabil,multiworld_depth_seed,0.986535,0.592429,0.159126,0.727122,0.845581,0.246016,0.020978,0.571260,0.050361,-0.001056
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0iwh9d2,dio_0l7p,stabil,multiworld_depth_seed,0.985619,0.591991,0.160032,0.726994,0.847220,0.231118,0.032469,0.585560,0.060164,-0.006573
debug\2007_mb_quiet_btc2025\dio_mini_lauf_46\episodes.csv,MB_COUNTER_QUIET_BTC2025,dio_mcm_episode_0icnf2v,dio_0l7p,stabil,multiworld_depth_seed,0.984976,0.594627,0.155958,0.730070,0.852959,0.217152,0.026433,0.580039,0.054389,-0.008502
debug\2007_mb_quiet_sol2025\dio_mini_lauf_47\episodes.csv,MB_COUNTER_QUIET_SOL2025,dio_mcm_episode_0wo0tz1,dio_0l7p,stabil,multiworld_depth_seed,0.984821,0.586312,0.147620,0.728684,0.850886,0.240060,0.019155,0.589404,0.044121,-0.008578
