preview_symbol,role_reading,count,world_count,depth_score,top_world,top_world_share,top_worlds,milieu_counts,grundrolle_score,uebergangsrolle_score,milieurolle_score,nebenrolle_score,quiet_share,stress_share,shift_share,stress_shift_share,top_milieu_share,distribution_entropy
dio_mcm_episode_13yo8ly,nebenrolle,29,13,0.624437,BTC_1H_A,0.103448,BTC_1H_A:3;BTC_FIELD_QUIET_02:3;FOLLOW_EQ10K_DOGE_2024_5M:3;FOLLOW_KAS_2024_5M_2000:3;REAL_FOLLOW_SOL_6000:3;SOL_10K_A:3;BTC_FIELD_QUIET_05:2;BTC_STRESS_2025_5M:2;FOLLOW_EQ10K_PAXG_2024_5M:2;XRP_1H_A:2,sol:6;quiet:5;xrp:5;btc:3;doge:3;other:3;stress:2;paxg:2,0.255648,0.110009,0.063325,0.50333,0.172414,0.068966,0.0,0.068966,0.206897,0.964227
dio_mcm_episode_084fgkp,nebenrolle,26,15,0.492256,BTC_FIELD_QUIET_03,0.115385,BTC_FIELD_QUIET_03:3;FOLLOW_EQ10K_XRP_2024_5M:3;QUIET_NEAR_BTC_FIELD_01:3;BTC_FIELD_QUIET_05:2;FOLLOW_EQ10K_DOGE_2024_5M:2;REAL_FOLLOW_DOGE_6000:2;REAL_FOLLOW_PAXG_6000:2;REAL_TIME_2023_SOL_ALTSEQ_A:2;BTC_10K_A:1;BTC_1H_C:1,quiet:8;btc:4;doge:4;xrp:4;paxg:2;sol:2;shift:1;stress:1,0.250678,0.113231,0.090133,0.496584,0.307692,0.038462,0.038462,0.076923,0.307692,0.900147
dio_mcm_episode_16rq8r1,nebenrolle,44,14,0.675893,FOLLOW_EQ10K_DOGE_2024_5M,0.295455,FOLLOW_EQ10K_DOGE_2024_5M:13;FOLLOW_EQ10K_XRP_2024_5M:11;FOLLOW_EQ10K_PAXG_2024_5M:7;FOLLOW_XRP_2024_5M_2000:2;REAL_TIME_2024_XRP:2;BTC_FIELD_QUIET_04:1;BTC_LONG_2024_5M_QUIET:1;BTC_STRESS_2024_5M:1;BTC_STRESS_2025_5M:1;DOGE_1H_A:1,xrp:16;doge:15;paxg:8;quiet:2;stress:2;sol:1,0.247781,0.095754,0.124376,0.466424,0.045455,0.045455,0.0,0.045455,0.363636,0.787875
dio_mcm_episode_00svqqo,nebenrolle,87,9,0.598594,BTC_10K_A,0.298851,BTC_10K_A:26;REAL_FOLLOW_XRP_6000:23;PAXG_1H_A:12;BTC_STRESS_2025_5M:9;REAL_TIME_2024_BTC_5M:7;FOLLOW_DOGE_2024_5M_2000:5;XRP_1H_A:3;REAL_FOLLOW_BTC_6000:1;REAL_FOLLOW_SOL_6000:1,btc:34;xrp:26;paxg:12;stress:9;doge:5;sol:1,0.246509,0.138582,0.163063,0.462933,0.0,0.103448,0.0,0.103448,0.390805,0.810134
dio_mcm_episode_0mfdlry,nebenrolle,25,14,0.484958,BTC_SHIFT_2025_15M_16000_17000,0.12,BTC_SHIFT_2025_15M_16000_17000:3;FOLLOW_DOGE_2024_5M_2000:3;QUIET_NEAR_SOL_SIDEWAYS:3;BTC_FIELD_QUIET_02:2;BTC_SHIFT_2025_30M_10000_11000:2;REAL_FOLLOW_BTC_6000:2;REAL_FOLLOW_SOL_6000:2;REAL_FOLLOW_XRP_6000:2;BTC_1H_A:1;BTC_FIELD_QUIET_05:1,quiet:7;shift:5;btc:3;doge:3;sol:3;xrp:2;stress:1;paxg:1,0.242925,0.214114,0.081463,0.50632,0.28,0.04,0.2,0.24,0.28,0.914275
dio_mcm_episode_0iiwvci,nebenrolle,21,15,0.485789,BTC_10K_A,0.142857,BTC_10K_A:3;BTC_FIELD_QUIET_03:2;DOGE_1H_A:2;FOLLOW_EQ10K_DOGE_2024_5M:2;XRP_1H_A:2;BTC_FIELD_QUIET_05:1;FOLLOW_DOGE_2024_5M_2000:1;FOLLOW_EQ10K_PAXG_2024_5M:1;FOLLOW_PAXG_2024_5M_2000:1;FOLLOW_XRP_2024_5M_2000:1,doge:6;quiet:5;xrp:4;btc:3;paxg:3,0.242188,0.063048,0.078209,0.511657,0.238095,0.0,0.0,0.0,0.285714,0.976395
dio_mcm_episode_1foqdcq,nebenrolle,24,15,0.666719,FOLLOW_EQ10K_XRP_2024_5M,0.208333,FOLLOW_EQ10K_XRP_2024_5M:5;FOLLOW_DOGE_2024_5M_2000:2;FOLLOW_EQ10K_PAXG_2024_5M:2;REAL_FOLLOW_BTC_6000:2;REAL_TIME_2024_SOL_ALTSEQ_A:2;SOL_10K_A:2;BTC_LONG_2024_5M_QUIET:1;DOGE_1H_B:1;FOLLOW_PAXG_2024_5M_2000:1;FOLLOW_XRP_2024_5M_2000:1,xrp:7;paxg:5;sol:5;doge:3;quiet:2;btc:2,0.241923,0.063465,0.08334,0.502233,0.083333,0.0,0.0,0.0,0.291667,0.941559
dio_mcm_episode_0v3gsdo,nebenrolle,22,15,0.45078,REAL_TIME_2023_SOL_ALTSEQ_A,0.136364,REAL_TIME_2023_SOL_ALTSEQ_A:3;BTC_STRESS_2025_5M:2;FOLLOW_EQ10K_DOGE_2024_5M:2;FOLLOW_EQ10K_XRP_2024_5M:2;REAL_FOLLOW_XRP_6000:2;REAL_TIME_2024_BTC_5M:2;BTC_10K_A:1;BTC_FIELD_QUIET_02:1;FOLLOW_XRP_2024_5M_2000:1;PAXG_1H_A:1,xrp:6;sol:5;btc:4;quiet:2;stress:2;doge:2;paxg:1,0.239103,0.117706,0.075795,0.508374,0.090909,0.090909,0.0,0.090909,0.272727,0.922707
dio_mcm_episode_1200bb0,nebenrolle,20,17,0.469331,REAL_FOLLOW_SOL_6000,0.15,REAL_FOLLOW_SOL_6000:3;REAL_TIME_2023_SOL_ALTSEQ_A:2;BTC_1H_A:1;BTC_1H_B:1;BTC_1H_C:1;BTC_LONG_2024_5M_QUIET:1;BTC_SHIFT_2025_15M_16000_17000:1;BTC_SHIFT_2025_1H_4000_5000:1;DOGE_1H_A:1;FOLLOW_EQ10K_XRP_2024_5M:1,sol:7;btc:3;shift:2;doge:2;xrp:2;paxg:2;quiet:1;other:1,0.238154,0.123677,0.093366,0.50246,0.05,0.0,0.1,0.1,0.35,0.900536
dio_mcm_episode_08621v5,nebenrolle,25,13,0.57028,FOLLOW_EQ10K_DOGE_2024_5M,0.16,FOLLOW_EQ10K_DOGE_2024_5M:4;FOLLOW_KAS_2024_5M_2000:3;SOL_10K_A:3;BTC_FIELD_QUIET_05:2;FOLLOW_EQ10K_XRP_2024_5M:2;FOLLOW_XRP_2024_5M_2000:2;REAL_FOLLOW_SOL_6000:2;REAL_TIME_2024_XRP:2;BTC_FIELD_QUIET_02:1;BTC_LONG_2025_5M_QUIET:1,xrp:6;sol:6;quiet:5;doge:4;other:3;paxg:1,0.236037,0.060748,0.07022,0.513804,0.2,0.0,0.0,0.0,0.24,0.939469
dio_mcm_episode_1c8zokt,nebenrolle,99,8,0.852317,REAL_FOLLOW_DOGE_6000,0.333333,REAL_FOLLOW_DOGE_6000:33;REAL_FOLLOW_XRP_6000:23;REAL_FOLLOW_SOL_6000:20;FOLLOW_EQ10K_XRP_2024_5M:12;FOLLOW_EQ10K_DOGE_2024_5M:7;FOLLOW_DOGE_2024_5M_2000:2;BTC_10K_A:1;SOL_10K_A:1,doge:42;xrp:35;sol:21;btc:1,0.23509,0.059743,0.183719,0.465709,0.0,0.0,0.0,0.0,0.424242,0.79831
dio_mcm_episode_01u58q5,nebenrolle,166,7,0.699431,FOLLOW_XRP_2024_5M_2000,0.277108,FOLLOW_XRP_2024_5M_2000:46;REAL_TIME_2024_XRP:46;BTC_10K_A:36;SOL_10K_A:28;BTC_STRESS_2025_5M:7;FOLLOW_EQ10K_XRP_2024_5M:2;BTC_FIELD_QUIET_02:1,xrp:94;btc:36;sol:28;stress:7;quiet:1,0.234149,0.085658,0.27547,0.442718,0.006024,0.042169,0.0,0.042169,0.566265,0.694662
dio_mcm_episode_0vnrnvb,nebenrolle,22,14,0.451419,BTC_STRESS_2025_5M,0.181818,BTC_STRESS_2025_5M:4;FOLLOW_EQ10K_XRP_2024_5M:3;REAL_FOLLOW_XRP_6000:3;FOLLOW_EQ10K_DOGE_2024_5M:2;BTC_10K_A:1;BTC_1H_A:1;BTC_LONG_2025_5M_QUIET:1;DOGE_1H_B:1;FOLLOW_DOGE_2024_5M_2000:1;PAXG_1H_A:1,xrp:6;stress:4;doge:4;quiet:3;btc:2;sol:2;paxg:1,0.23094,0.171349,0.076196,0.515341,0.136364,0.181818,0.0,0.181818,0.272727,0.936547
dio_mcm_episode_0uie72q,nebenrolle,23,15,0.472956,FOLLOW_EQ10K_XRP_2024_5M,0.217391,FOLLOW_EQ10K_XRP_2024_5M:5;BTC_STRESS_2025_5M:2;FOLLOW_DOGE_2024_5M_2000:2;FOLLOW_EQ10K_DOGE_2024_5M:2;SOL_10K_A:2;BTC_1H_C:1;BTC_FIELD_QUIET_04:1;BTC_SHIFT_2025_15M_16000_17000:1;BTC_SHIFT_2025_1H_4000_5000:1;DOGE_1H_B:1,xrp:8;doge:5;sol:4;shift:2;stress:2;btc:1;quiet:1,0.228732,0.16915,0.098056,0.505237,0.043478,0.086957,0.086957,0.173913,0.347826,0.873982
dio_mcm_episode_0he6atw,nebenrolle,32,12,0.718692,BTC_LONG_2024_5M_QUIET,0.21875,BTC_LONG_2024_5M_QUIET:7;FOLLOW_EQ10K_DOGE_2024_5M:5;DOGE_1H_B:4;PAXG_1846_A:4;DOGE_1H_A:3;REAL_FOLLOW_BTC_6000:3;FOLLOW_DOGE_2024_5M_2000:1;FOLLOW_EQ10K_PAXG_2024_5M:1;PAXG_1H_A:1;REAL_FOLLOW_DOGE_6000:1,doge:14;quiet:7;paxg:7;btc:3;sol:1,0.227631,0.056862,0.138658,0.504466,0.21875,0.0,0.0,0.0,0.4375,0.843038
dio_mcm_episode_0wgvtdq,nebenrolle,32,11,0.736177,FOLLOW_EQ10K_DOGE_2024_5M,0.21875,FOLLOW_EQ10K_DOGE_2024_5M:7;FOLLOW_EQ10K_XRP_2024_5M:7;REAL_FOLLOW_SOL_6000:5;QUIET_NEAR_PAXG2024_1H:2;REAL_FOLLOW_DOGE_6000:2;REAL_FOLLOW_XRP_6000:2;REAL_TIME_2023_SOL_ALTSEQ_A:2;REAL_TIME_2024_BTC_5M:2;FOLLOW_XRP_2024_5M_2000:1;REAL_TIME_2024_XRP:1,xrp:11;doge:9;sol:8;quiet:2;btc:2,0.224604,0.057304,0.10966,0.513253,0.0625,0.0,0.0,0.0,0.34375,0.880423
dio_mcm_episode_0hlxzy4,nebenrolle,49,10,0.754279,FOLLOW_EQ10K_XRP_2024_5M,0.367347,FOLLOW_EQ10K_XRP_2024_5M:18;FOLLOW_EQ10K_DOGE_2024_5M:16;FOLLOW_EQ10K_PAXG_2024_5M:5;FOLLOW_XRP_2024_5M_2000:2;REAL_FOLLOW_XRP_6000:2;SOL_10K_A:2;FOLLOW_DOGE_2024_5M_2000:1;REAL_FOLLOW_PAXG_6000:1;REAL_TIME_2023_SOL_ALTSEQ_A:1;REAL_TIME_2024_XRP:1,xrp:23;doge:17;paxg:6;sol:3,0.22175,0.058244,0.169349,0.492808,0.0,0.0,0.0,0.0,0.469388,0.829871
dio_mcm_episode_09ugoh7,nebenrolle,28,11,0.642164,SOL_10K_A,0.214286,SOL_10K_A:6;BTC_10K_A:3;BTC_FIELD_QUIET_02:3;BTC_STRESS_2025_5M:3;REAL_FOLLOW_SOL_6000:3;BTC_LONG_2025_5M_QUIET:2;FOLLOW_EQ10K_DOGE_2024_5M:2;FOLLOW_KAS_2024_5M_2000:2;QUIET_NEAR_BTC_1869:2;FOLLOW_XRP_2024_5M_2000:1,sol:9;quiet:7;btc:3;stress:3;doge:2;other:2;xrp:2,0.219084,0.120824,0.098588,0.522677,0.25,0.107143,0.0,0.107143,0.321429,0.902163
