asset,timeframe,transition_count,top_pair,pressure_delta,sharpness_delta,rekopplung_delta
SOL,LATE_POS_2024_10K,240,dio_mcm_episode_0gqol8d->dio_mcm_episode_1jwnjz4 (9/240),0.006232,-0.012144,-0.004022
SOL,NEG_STRESS_2024_10K,385,dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s (20/385),0.011382,-0.018002,-0.008447
SOL,POS_STRESS_2024_10K,187,dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s (21/187),0.004628,-0.013143,-0.003911
SOL,SIDEWAYS_2024_10K,330,dio_mcm_episode_0v5p8er->dio_mcm_episode_14l8khu (15/330),0.005968,-0.009148,-0.005373
