worldlage_sequence,occurrences,dominant_outcome,outcome_counts,avg_delta_zentrum,avg_delta_rand,avg_delta_rekopplung,avg_delta_strain,passive_only,influences_action
ueberstabil_extrem_leise_scharf->ueberstabil_extrem_leise_scharf,152,neutral,neutral:152,0.0,0.0,1e-06,-2e-06,1,0
normale_weltspannung->normale_weltspannung,108,neutral,neutral:91;beruhigend:17,0.0075,-0.001574,0.000795,-0.001101,1,0
offen_suchend->offen_suchend,64,neutral,neutral:48;beruhigend:16,0.008906,-0.0025,0.00128,-0.001714,1,0
offen_suchend->normale_weltspannung,59,neutral,neutral:47;beruhigend:11;verschiebend:1,0.008136,-0.001864,0.000829,-0.001139,1,0
randlastige_sinneslage->randlastige_sinneslage,55,beruhigend,beruhigend:54;verschiebend:1,0.004182,-0.044545,0.001323,-0.001931,1,0
normale_weltspannung->offen_suchend,49,neutral,neutral:34;beruhigend:15,0.008367,-0.003061,0.001275,-0.001733,1,0
ruhig_zentrumsnah->ruhig_zentrumsnah,43,neutral,neutral:40;beruhigend:2;stabil_leicht:1,0.005349,-0.000698,0.00047,-0.000662,1,0
normale_weltspannung->randlastige_sinneslage,42,beruhigend,beruhigend:37;neutral:5,0.006429,-0.014048,0.001354,-0.001888,1,0
normale_weltspannung->ruhig_zentrumsnah,42,neutral,neutral:40;beruhigend:2,0.006905,-0.000476,0.000465,-0.000654,1,0
randlastige_sinneslage->normale_weltspannung,42,neutral,neutral:36;beruhigend:5;verschiebend:1,0.007619,-0.001429,0.000766,-0.001049,1,0
randlastige_sinneslage->offen_suchend,40,neutral,neutral:32;beruhigend:8,0.008,-0.002,0.001379,-0.001858,1,0
ruhig_zentrumsnah->normale_weltspannung,39,neutral,neutral:32;beruhigend:6;stabil_leicht:1,0.008718,-0.001795,0.000821,-0.001153,1,0
normale_weltspannung->lauter_feldkontakt,33,neutral,neutral:25;beruhigend:8,0.008788,-0.002424,0.00114,-0.001603,1,0
lauter_feldkontakt->normale_weltspannung,30,neutral,neutral:20;beruhigend:10,0.009333,-0.003333,0.000756,-0.001049,1,0
offen_suchend->randlastige_sinneslage,28,beruhigend,beruhigend:22;neutral:6,0.006071,-0.012857,0.001636,-0.002244,1,0
lauter_feldkontakt->lauter_feldkontakt,15,neutral,neutral:11;beruhigend:4,0.012667,-0.002667,0.001152,-0.00162,1,0
ruhig_zentrumsnah->lauter_feldkontakt,14,neutral,neutral:12;beruhigend:2,0.010714,-0.001429,0.001155,-0.001631,1,0
offen_suchend->lauter_feldkontakt,13,neutral,neutral:10;beruhigend:3,0.004615,-0.002308,0.00139,-0.001907,1,0
lauter_feldkontakt->offen_suchend,12,neutral,neutral:9;beruhigend:2;verschiebend:1,0.0075,-0.0025,0.001216,-0.001625,1,0
lauter_feldkontakt->randlastige_sinneslage,12,beruhigend,beruhigend:11;neutral:1,0.009167,-0.014167,0.001481,-0.00209,1,0
ruhig_zentrumsnah->offen_suchend,10,neutral,neutral:8;beruhigend:2,0.009,-0.002,0.00114,-0.001567,1,0
lauter_feldkontakt->ruhig_zentrumsnah,9,neutral,neutral:9,0.012222,0.0,0.000434,-0.000609,1,0
offen_suchend->ruhig_zentrumsnah,9,neutral,neutral:9,0.006667,0.0,0.000564,-0.000786,1,0
leise_duenn->ruhig_zentrumsnah,8,neutral,neutral:8,0.00625,0.0,0.000517,-0.000689,1,0
ueberstabil_leise_scharf->ueberstabil_extrem_leise_scharf,7,neutral,neutral:7,0.0,0.0,0.0,0.0,1,0
leise_duenn->offen_suchend,6,neutral,neutral:4;beruhigend:2,0.006667,-0.003333,0.001064,-0.001429,1,0
normale_weltspannung->leise_duenn,6,neutral,neutral:6,0.006667,0.0,0.000802,-0.001051,1,0
offen_suchend->leise_duenn,6,neutral,neutral:5;beruhigend:1,0.005,-0.001667,0.000949,-0.001258,1,0
ruhig_zentrumsnah->leise_duenn,6,neutral,neutral:4;beruhigend:2,0.006667,-0.003333,0.000736,-0.000982,1,0
ruhig_zentrumsnah->randlastige_sinneslage,6,beruhigend,beruhigend:6,0.01,-0.02,0.001367,-0.001906,1,0
randlastige_sinneslage->lauter_feldkontakt,5,neutral,neutral:3;verschiebend:1;beruhigend:1,0.018,-0.002,0.001542,-0.002167,1,0
