pair,events,worlds,signature_count,top_signature,top_signature_share,pressure_delta,pressure_std,rekopplung_delta,rekopplung_std,drift_label
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,103,3,18,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,0.378641,0.011713,0.054673,-0.003084,0.023448,lokal_offen
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,97,4,39,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,0.103093,0.003693,0.087866,-0.002254,0.023615,lokal_offen
