family,occurrences_2024,occurrences_2025,hearing_delta_2024,hearing_delta_2025,hearing_delta_diff,tension_delta_2024,tension_delta_2025,tension_delta_diff,world_hits_2024,world_hits_2025
ALLE,304,333,-0.041523,-0.039119,0.002404,-0.040907,-0.039388,0.001519,7,7
dio_01hu,127,153,-0.030223,-0.024603,0.005620,-0.030727,-0.027134,0.003593,3,3
dio_0ly7,177,180,-0.049999,-0.050006,-0.000007,-0.048541,-0.048578,-0.000037,4,4
