movement_key,seen_count,total_events,total_worlds_observed,dominant_tragart,field_memory_quality,maturity_note,dominant_field_position,dominant_drift_label,dominant_movement_effect,avg_pressure_delta,avg_relaxation_delta,avg_rekopplung_delta,avg_strain_delta,avg_sharpness_delta,avg_loudness_delta,avg_top_share,avg_top_signature_share,tragart_profile,field_position_profile,drift_profile,movement_effect_profile,timeframes,assets,years,sources,caution_note
dio_mcm_episode_0035mn4->dio_mcm_episode_11fxool,1,1,1,-,young,young_trace,-,-,rekoppelnd_entlastend,-0.033395,0.0,0.038837,0.0,0.0,-0.039092,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_00546cc->dio_mcm_episode_0d40zcv,1,1,1,-,young,young_trace,-,-,rekoppelnd_entlastend,-0.037591,0.0,0.017682,0.0,-0.028485,-0.06994,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_00er6t0->dio_mcm_episode_0ultars,1,1,1,-,young,young_trace,-,-,rekoppelnd_entlastend,-0.039671,0.0,0.03433,0.0,-0.063484,-0.132266,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_010cbbb->dio_mcm_episode_1y2gc2i,1,1,1,-,young,young_trace,-,-,oeffnend_belastend,0.152452,0.0,-0.072538,0.0,-0.07532,0.456214,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0393v08->dio_mcm_episode_0kza1rp,1,1,1,-,young,young_trace,-,-,rekoppelnd_entlastend,-0.060719,0.0,0.025474,0.0,-0.05144,-0.221661,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_03hr8bf->dio_mcm_episode_00546cc,1,1,1,-,young,young_trace,-,-,spannungsnah,0.004254,0.0,0.013468,0.0,0.031862,0.05223,0.0,0.0,-,-,-,spannungsnah:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_03hr8bf->dio_mcm_episode_0o36jeo,1,1,1,-,young,young_trace,-,-,oeffnend_belastend,0.167618,0.0,-0.129189,0.0,-0.575766,0.388952,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_04g6nc4->dio_mcm_episode_1927mcg,1,1,1,-,young,young_trace,-,-,bewegung_offen,-0.055483,0.0,-0.021987,0.0,-0.463815,-0.385777,0.0,0.0,-,-,-,bewegung_offen:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_07llqq8->dio_mcm_episode_1rviit8,1,1,1,-,young,young_trace,-,-,rekoppelnd_entlastend,-0.050499,0.0,0.078018,0.0,-0.099805,-0.019921,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_09w1tmn->dio_mcm_episode_0insmke,1,2,1,-,recurrently_reconnecting,event_condensed_trace,-,-,rekoppelnd_entlastend,-0.029012,0.0,0.013873,0.0,-0.030473,-0.129329,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_09w1tmn->dio_mcm_episode_1yy9dcm,1,1,1,-,young,young_trace,-,-,spannungsnah,0.028508,0.0,0.012294,0.0,9e-06,0.087028,0.0,0.0,-,-,-,spannungsnah:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0aztxel->dio_mcm_episode_0hjnwsk,1,4,2,-,world_specific,cross_world_condensed_trace,-,-,spannungsnah,0.000246,0.0,-0.006093,0.0,-0.092068,-0.027325,0.0,0.0,-,-,-,spannungsnah:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0aztxel->dio_mcm_episode_0jbl5pq,1,3,1,-,recurrently_opening_strain,event_condensed_trace,-,-,oeffnend_belastend,0.045803,0.0,-0.025888,0.0,0.066512,0.180961,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0clehbn->dio_mcm_episode_1ppvnd6,1,1,1,-,young,young_trace,-,-,oeffnend_belastend,0.081106,0.0,-0.10448,0.0,-0.635612,0.029936,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0d40zcv->dio_mcm_episode_0mji3u6,1,1,1,-,young,young_trace,-,-,rekoppelnd_entlastend,-0.090114,0.0,0.06306,0.0,0.08167,-0.285771,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0db07p4->dio_mcm_episode_1joiyc3,1,3,1,-,recurrently_reconnecting,event_condensed_trace,-,-,rekoppelnd_entlastend,-0.033101,0.0,0.039457,0.0,0.139585,-0.039736,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0dbqs19,1,3,2,-,recurrently_opening_strain,cross_world_condensed_trace,-,-,oeffnend_belastend,0.281893,0.0,-0.178939,0.0,-0.153066,0.783969,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0erxbeb,1,1,1,-,young,young_trace,-,-,oeffnend_belastend,0.141108,0.0,-0.108834,0.0,-0.123461,0.288176,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0f1kb3e,1,2,2,-,recurrently_opening_strain,cross_world_condensed_trace,-,-,oeffnend_belastend,0.224813,0.0,-0.171871,0.0,-0.473272,0.542859,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0kvnsmd,1,3,2,-,recurrently_opening_strain,cross_world_condensed_trace,-,-,oeffnend_belastend,0.257142,0.0,-0.159561,0.0,-0.369789,0.714232,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0kvu3mb,1,3,1,-,recurrently_opening_strain,event_condensed_trace,-,-,oeffnend_belastend,0.242114,0.0,-0.166999,0.0,0.157687,0.635232,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0l5wut9,1,2,2,-,recurrently_opening_strain,cross_world_condensed_trace,-,-,oeffnend_belastend,0.253768,0.0,-0.167564,0.0,-0.206354,0.707118,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0lfde2c,1,3,1,-,recurrently_reconnecting,event_condensed_trace,-,-,rekoppelnd_entlastend,-0.042974,0.0,0.027182,0.0,0.146008,-0.105908,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0mji3u6,1,7,2,-,world_specific,cross_world_condensed_trace,-,-,bewegung_offen,-0.003041,0.0,-0.000449,0.0,-0.137913,-0.060009,0.0,0.0,-,-,-,bewegung_offen:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0tre8bg,1,3,2,-,recurrently_opening_strain,cross_world_condensed_trace,-,-,oeffnend_belastend,0.264251,0.0,-0.157714,0.0,-0.138949,0.768779,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0e7qvj1->dio_mcm_episode_19a388p,1,4,2,-,recurrently_opening_strain,cross_world_condensed_trace,-,-,oeffnend_belastend,0.260937,0.0,-0.174869,0.0,-0.03942,0.720326,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s,1,54,2,-,recurrently_reconnecting,cross_world_condensed_trace,-,-,rekoppelnd_entlastend,-0.028931,0.0,0.016935,0.0,0.094384,-0.076504,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0e7qvj1->dio_mcm_episode_1jwnjz4,1,5,2,-,recurrently_reconnecting,cross_world_condensed_trace,-,-,rekoppelnd_entlastend,-0.004895,0.0,0.008824,0.0,0.050367,-0.00364,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0erxbeb->dio_mcm_episode_18bgpor,1,1,1,-,young,young_trace,-,-,rekoppelnd_entlastend,-0.163032,0.0,0.132092,0.0,0.059819,-0.308253,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0f1kb3e->dio_mcm_episode_181h3zs,1,1,1,-,young,young_trace,-,-,rekoppelnd_entlastend,-0.192647,0.0,0.141104,0.0,0.476863,-0.416398,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0f3xyli->dio_mcm_episode_0fdxkah,1,2,2,-,recurrently_reconnecting,cross_world_condensed_trace,-,-,rekoppelnd_entlastend,-0.046729,0.0,0.029073,0.0,-0.094106,-0.220987,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0f3xyli->dio_mcm_episode_0ldenly,1,1,1,-,young,young_trace,-,-,rekoppelnd_entlastend,-0.009645,0.0,0.003453,0.0,-0.002617,-0.012094,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0fdxkah->dio_mcm_episode_0sv0ru8,1,2,1,-,recurrently_reconnecting,event_condensed_trace,-,-,rekoppelnd_entlastend,-0.009848,0.0,0.001825,0.0,0.170159,-0.043912,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0gqol8d->dio_mcm_episode_0e7qvj1,1,2,1,-,recurrently_opening_strain,event_condensed_trace,-,-,oeffnend_belastend,0.119557,0.0,-0.083879,0.0,-0.19325,0.321072,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0gqol8d->dio_mcm_episode_14l8khu,1,1,1,-,young,young_trace,-,-,rekoppelnd_entlastend,-0.046136,0.0,0.02225,0.0,0.291682,-0.085463,0.0,0.0,-,-,-,rekoppelnd_entlastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
dio_mcm_episode_0gqol8d->dio_mcm_episode_1hdpu9s,1,1,1,-,young,young_trace,-,-,oeffnend_belastend,0.109097,0.0,-0.066398,0.0,0.126906,0.377238,0.0,0.0,-,-,-,oeffnend_belastend:1,-,-,-,610_PAXG_1H_JAHR_PREVIEW_UEBERGANGSPAARE.csv:1,passive_not_actionable
