welt,bruchlage,top_symbol,top_count,dio_0eindxe,dio_1fllaqz,dio_0v65ujo,dio_0jt7iub,unique_symbols,stable_count,tragend_unruhig_count,avg_rekopplung_quality,avg_afterimage,focus_tone,observation_tone
1491,zentrum,dio_0eindxe,164,164,133,103,79,60,1113,81,0.730300,0.504492,1012,182
1492,rand,dio_1wdik71,220,198,137,95,0,56,1031,163,0.727416,0.551470,734,460
