group_type,group,count,share,dominant_raw_class,raw_class_counts,dominant_sequence,sequence_count,scale_counts,avg_price_move_pct,avg_range_pct,avg_auditory,avg_visual_sharpness,avg_field_pressure,passive_only,influences_action
asset,BTC,487,1.0,gemischte_rohwelt,gemischte_rohwelt:400;bewegungsreiche_rohwelt:66;laute_oder_druckvolle_rohwelt:21,normale_weltspannung->normale_weltspannung,144,100:257;200:151;400:79,-0.010172,0.189133,0.419392,0.658746,0.106306,1,0
world,BTC_2024_5M_FULL,126,0.258727,gemischte_rohwelt,gemischte_rohwelt:106;bewegungsreiche_rohwelt:13;laute_oder_druckvolle_rohwelt:7,normale_weltspannung->normale_weltspannung,37,100:66;200:39;400:21,-0.046927,0.190576,0.419299,0.655903,0.106555,1,0
world,BTC_2025_5M_FULL,118,0.2423,gemischte_rohwelt,gemischte_rohwelt:91;bewegungsreiche_rohwelt:23;laute_oder_druckvolle_rohwelt:4,normale_weltspannung->normale_weltspannung,39,100:59;200:40;400:19,0.30921,0.198981,0.421731,0.661822,0.106496,1,0
world,BTC_2024_5M_STRESS,51,0.104723,gemischte_rohwelt,gemischte_rohwelt:32;bewegungsreiche_rohwelt:16;laute_oder_druckvolle_rohwelt:3,normale_weltspannung->normale_weltspannung,16,100:27;200:15;400:9,-0.73431,0.299102,0.428858,0.664109,0.108032,1,0
world,BTC_2025_5M_STRESS,44,0.090349,gemischte_rohwelt,gemischte_rohwelt:40;bewegungsreiche_rohwelt:4,normale_weltspannung->normale_weltspannung,19,100:23;200:14;400:7,-0.193503,0.17838,0.419324,0.660085,0.105943,1,0
world,BTC_2024_5M_QUIET,43,0.088296,gemischte_rohwelt,gemischte_rohwelt:40;laute_oder_druckvolle_rohwelt:3,offen_suchend->normale_weltspannung,9,100:23;200:13;400:7,-0.009329,0.142832,0.41826,0.653364,0.106224,1,0
world,BTC_2025_5M_QUIET,33,0.067762,gemischte_rohwelt,gemischte_rohwelt:29;laute_oder_druckvolle_rohwelt:3;bewegungsreiche_rohwelt:1,leise_duenn->normale_weltspannung,7,100:18;200:10;400:5,0.147108,0.088187,0.406035,0.663406,0.104283,1,0
world,BTC_2025_5M_TEST,25,0.051335,gemischte_rohwelt,gemischte_rohwelt:22;bewegungsreiche_rohwelt:2;laute_oder_druckvolle_rohwelt:1,normale_weltspannung->offen_suchend,5,100:14;200:7;400:4,0.246541,0.145328,0.419444,0.64633,0.106698,1,0
world,BTC_2025_BREAK,24,0.049281,gemischte_rohwelt,gemischte_rohwelt:20;bewegungsreiche_rohwelt:4,normale_weltspannung->normale_weltspannung,13,100:15;200:6;400:3,-0.576043,0.174043,0.416311,0.664906,0.105227,1,0
world,BTC_2024_5M_TEST,23,0.047228,gemischte_rohwelt,gemischte_rohwelt:20;bewegungsreiche_rohwelt:3,normale_weltspannung->normale_weltspannung,7,100:12;200:7;400:4,0.593231,0.202183,0.411474,0.654523,0.104587,1,0
