scope,pair,world,events,source_quality,top_quality,share,passive_regulation_quality,contact_pressure,contact_alignment,mcm_rekopplung
gesamt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,-,97,stark_fragmentiert,bruchuebergang,0.288660,fragmentiert,,,
gesamt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,-,103,breit_driftend,rekoppelnd_stabil,0.553398,breit_driftend,,,
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_QUIET_4000,11,bruchuebergang,bruchuebergang,0.354839,fragmentiert,0.205411,0.870200,0.649376
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_QUIET_4000,7,rekoppelnd_offen,rekoppelnd_offen,0.225806,breit_driftend,0.205411,0.870200,0.649376
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_QUIET_4000,6,druckbruch,druckbruch,0.193548,fragmentiert,0.205411,0.870200,0.649376
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_QUIET_4000,4,druckuebergang,druckuebergang,0.129032,fragmentiert,0.205411,0.870200,0.649376
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_QUIET_4000,2,rekoppelnd_stabil,rekoppelnd_stabil,0.064516,eng_getragen,0.205411,0.870200,0.649376
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_QUIET_4000,1,offen_rekoppelnd,offen_rekoppelnd,0.032258,breit_driftend,0.205411,0.870200,0.649376
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_STRESS_4000,4,bruchuebergang,bruchuebergang,0.400000,fragmentiert,0.204209,0.867949,0.649212
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_STRESS_4000,3,rekoppelnd_offen,rekoppelnd_offen,0.300000,breit_driftend,0.204209,0.867949,0.649212
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_STRESS_4000,1,rekoppelnd_stabil,rekoppelnd_stabil,0.100000,eng_getragen,0.204209,0.867949,0.649212
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_STRESS_4000,1,druckuebergang,druckuebergang,0.100000,fragmentiert,0.204209,0.867949,0.649212
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_STRESS_4000,1,druckbruch,druckbruch,0.100000,fragmentiert,0.204209,0.867949,0.649212
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_QUIET_4000,9,druckuebergang,druckuebergang,0.264706,fragmentiert,0.212434,0.865502,0.646669
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_QUIET_4000,6,rekoppelnd_offen,rekoppelnd_offen,0.176471,breit_driftend,0.212434,0.865502,0.646669
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_QUIET_4000,6,bruchuebergang,bruchuebergang,0.176471,fragmentiert,0.212434,0.865502,0.646669
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_QUIET_4000,4,rekoppelnd_stabil,rekoppelnd_stabil,0.117647,eng_getragen,0.212434,0.865502,0.646669
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_QUIET_4000,4,druckbruch,druckbruch,0.117647,fragmentiert,0.212434,0.865502,0.646669
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_QUIET_4000,4,offen_rekoppelnd,offen_rekoppelnd,0.117647,breit_driftend,0.212434,0.865502,0.646669
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_QUIET_4000,1,bruchdominant,bruchdominant,0.029412,fragmentiert,0.212434,0.865502,0.646669
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_STRESS_4000,7,bruchuebergang,bruchuebergang,0.318182,fragmentiert,0.208850,0.867766,0.647917
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_STRESS_4000,4,druckbruch,druckbruch,0.181818,fragmentiert,0.208850,0.867766,0.647917
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_STRESS_4000,3,druckuebergang,druckuebergang,0.136364,fragmentiert,0.208850,0.867766,0.647917
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_STRESS_4000,3,rekoppelnd_stabil,rekoppelnd_stabil,0.136364,eng_getragen,0.208850,0.867766,0.647917
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_STRESS_4000,2,offen_rekoppelnd,offen_rekoppelnd,0.090909,breit_driftend,0.208850,0.867766,0.647917
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_STRESS_4000,2,rekoppelnd_offen,rekoppelnd_offen,0.090909,breit_driftend,0.208850,0.867766,0.647917
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_STRESS_4000,1,bruchdominant,bruchdominant,0.045455,fragmentiert,0.208850,0.867766,0.647917
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2025_BTC_QUIET_4000,20,rekoppelnd_stabil,rekoppelnd_stabil,0.571429,eng_getragen,0.205411,0.870200,0.649376
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2025_BTC_QUIET_4000,9,rekoppelnd_offen,rekoppelnd_offen,0.257143,breit_driftend,0.205411,0.870200,0.649376
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG2025_BTC_QUIET_4000,4,bruchuebergang,bruchuebergang,0.114286,fragmentiert,0.205411,0.870200,0.649376
