world,family,count,share,dominant_effect,dominant_effect_share,avg_passive_inner_effect_rekopplung,avg_passive_inner_effect_carry,avg_passive_inner_effect_strain,avg_passive_inner_effect_sensory_coupling,avg_mcm_hearing_field_gap,avg_perception_felt_pressure,avg_rezeptor_contact_pressure,avg_mcm_feldwirkung_mcm_tension,avg_mini_afterimage,avg_mini_temporal_trust_support,avg_perception_visual_sharpness,avg_perception_auditory_loudness,ruhe_rekopplung_score
PAXG_2024_5M,dio_0z9t,35,0.017553,stabil,1.0,0.717579,0.540974,0.149065,0.871259,0.111605,0.097901,0.109207,0.109207,0.229122,0.733251,0.798723,0.220812,0.768507
PAXG_2024_5M,dio_07o8,17,0.008526,stabil,1.0,0.707754,0.507771,0.153577,0.856548,0.127855,0.13584,0.13856,0.13856,0.110044,0.660801,0.615587,0.266415,0.751911
PAXG_2024_5M,dio_14wj,109,0.054664,stabil,1.0,0.739869,0.573728,0.129651,0.874041,0.009467,0.055515,0.035119,0.035119,0.456388,0.830778,0.671618,0.034074,0.797899
PAXG_2024_5M,dio_0oc3,29,0.014544,stabil,0.827586,0.698585,0.509986,0.170695,0.834529,0.178496,0.171253,0.176853,0.176853,0.162685,0.707053,0.616773,0.355348,0.735291
PAXG_2024_5M,dio_155c,51,0.025577,stabil,0.980392,0.714521,0.540639,0.152695,0.853898,0.113394,0.111029,0.117463,0.117463,0.23568,0.748575,0.623939,0.230857,0.762257
PAXG_2024_5M,dio_0l7p,76,0.038114,stabil,1.0,0.728927,0.560066,0.135344,0.863282,0.031502,0.069352,0.054637,0.054637,0.29731,0.782003,0.663351,0.086139,0.785825
PAXG_2024_5M,dio_10dv,19,0.009529,stabil,1.0,0.722803,0.527482,0.140352,0.897171,0.123185,0.106043,0.121312,0.121312,0.142389,0.675362,0.794307,0.244497,0.772731
PAXG_2024_5M,dio_0dd2,22,0.011033,stabil,1.0,0.729099,0.533637,0.133027,0.890877,0.080792,0.076172,0.076767,0.076767,0.110045,0.681301,0.802315,0.157559,0.782387
PAXG_2024_5M,dio_06er,36,0.018054,stabil,1.0,0.736906,0.559087,0.12327,0.901052,0.044717,0.05086,0.048947,0.048947,0.236972,0.740282,0.811177,0.093663,0.7979
PAXG_2024_5M,dio_1oye,14,0.007021,stabil,0.857143,0.686808,0.493248,0.173147,0.82712,0.179997,0.168323,0.176949,0.176949,0.108383,0.64441,0.605667,0.356946,0.726859
PAXG_2024_5M,dio_0obq,17,0.008526,stabil,1.0,0.702074,0.508486,0.153391,0.850332,0.127965,0.134295,0.136703,0.136703,0.076577,0.652273,0.616682,0.264668,0.74929
PAXG_2024_5M,dio_0jqc,13,0.00652,stabil,1.0,0.70931,0.518856,0.138469,0.888106,0.12539,0.110822,0.123154,0.123154,0.060698,0.623454,0.791011,0.248544,0.76539
PAXG_2024_5M,dio_0g2r,23,0.011535,stabil,0.956522,0.709305,0.525838,0.144831,0.838391,0.040911,0.104123,0.075682,0.075682,0.137956,0.687652,0.545905,0.116593,0.764506
PAXG_2024_5M,dio_0fe7,17,0.008526,stabil,1.0,0.714641,0.518482,0.138803,0.861996,0.064429,0.101652,0.088397,0.088397,0.090787,0.657196,0.60173,0.152826,0.768151
PAXG_2024_5M,dio_1fll,29,0.014544,stabil,1.0,0.743818,0.563354,0.109832,0.913747,0.01245,0.036646,0.022224,0.022224,0.249737,0.732437,0.819295,0.032273,0.810155
PAXG_2024_5M,dio_1cic,13,0.00652,stabil,1.0,0.708694,0.517772,0.134058,0.852977,0.019107,0.077248,0.056429,0.056429,0.055189,0.62966,0.61111,0.075536,0.77105
PAXG_2024_5M,dio_06s7,33,0.01655,stabil,1.0,0.727225,0.550977,0.127474,0.875896,0.037901,0.07241,0.054543,0.054543,0.239982,0.736061,0.683629,0.092444,0.787372
PAXG_2024_5M,dio_0m9z,66,0.033099,stabil,0.772727,0.709545,0.540807,0.164029,0.832269,0.11191,0.10927,0.113166,0.113166,0.294558,0.772375,0.63304,0.225076,0.754841
PAXG_2024_5M,dio_00pl,10,0.005015,stabil,1.0,0.703551,0.509804,0.136567,0.843737,0.015822,0.09088,0.05544,0.05544,0.047264,0.602317,0.550882,0.071262,0.766037
PAXG_2024_5M,dio_00ja,33,0.01655,stabil,0.515152,0.703226,0.530015,0.158255,0.814798,0.046436,0.102565,0.076563,0.076563,0.210365,0.72535,0.551763,0.122999,0.755798
PAXG_2024_5M,dio_1uof,18,0.009027,stabil,0.777778,0.70562,0.525712,0.142808,0.824469,0.010186,0.079685,0.037032,0.037032,0.159384,0.675534,0.571458,0.032267,0.766421
PAXG_2024_5M,dio_05ap,11,0.005517,stabil,1.0,0.733457,0.532286,0.112804,0.917914,0.039285,0.052048,0.04641,0.04641,0.08809,0.622406,0.815452,0.085695,0.798074
PAXG_2024_5M,dio_1lsu,39,0.019559,stabil,1.0,0.712656,0.534434,0.153877,0.853586,0.123998,0.114684,0.121388,0.121388,0.211192,0.731366,0.630486,0.245386,0.759332
PAXG_2024_5M,dio_0pq6,11,0.005517,stabil,0.909091,0.701595,0.511593,0.144015,0.849345,0.06648,0.098278,0.083409,0.083409,0.068774,0.614091,0.60037,0.149889,0.760017
PAXG_2024_5M,dio_0tay,17,0.008526,stabil,1.0,0.713961,0.524214,0.141649,0.866146,0.078161,0.084214,0.07824,0.07824,0.070637,0.652827,0.781007,0.156401,0.769642
PAXG_2024_5M,dio_1350,12,0.006018,stabil,1.0,0.721391,0.52451,0.126713,0.885715,0.039932,0.063746,0.050164,0.050164,0.049534,0.620251,0.789997,0.090096,0.783572
PAXG_2024_5M,dio_1v2w,11,0.005517,tragend_unruhig,1.0,0.674612,0.493933,0.174098,0.776716,0.053604,0.120878,0.083904,0.083904,0.065492,0.611863,0.488643,0.137508,0.729214
PAXG_2024_5M,dio_0kx9,19,0.009529,stabil,1.0,0.727911,0.541711,0.114643,0.882696,0.007946,0.057057,0.02785,0.02785,0.124854,0.677105,0.692633,0.030799,0.793912
PAXG_2024_5M,dio_0nlj,12,0.006018,stabil,1.0,0.724795,0.53752,0.112989,0.907955,0.037619,0.061765,0.050151,0.050151,0.077294,0.626639,0.801708,0.087771,0.794096
PAXG_2024_5M,dio_1jc2,22,0.011033,stabil,1.0,0.728349,0.545886,0.113347,0.882748,0.009846,0.057157,0.026506,0.026506,0.124952,0.684438,0.695312,0.027839,0.795025
PAXG_2024_5M,dio_1u5i,43,0.021565,stabil,1.0,0.723794,0.550894,0.130106,0.854773,0.011864,0.066736,0.038065,0.038065,0.215606,0.742159,0.598198,0.028725,0.784538
PAXG_2024_5M,dio_1492,15,0.007523,stabil,1.0,0.728345,0.540241,0.118004,0.902877,0.039544,0.064453,0.051145,0.051145,0.138293,0.659721,0.801624,0.090688,0.793445
PAXG_2024_5M,dio_05yg,20,0.01003,tragend_unruhig,1.0,0.685103,0.507516,0.176013,0.798047,0.120645,0.126631,0.118149,0.118149,0.118637,0.671366,0.583898,0.238795,0.731536
PAXG_2024_5M,dio_1q85,18,0.009027,stabil,0.833333,0.704995,0.516292,0.156402,0.851737,0.122966,0.111386,0.114671,0.114671,0.092633,0.657215,0.779833,0.237637,0.753844
PAXG_2024_5M,dio_0jkk,13,0.00652,tragend_unruhig,1.0,0.678857,0.491364,0.179168,0.789021,0.113605,0.136538,0.120818,0.120818,0.077153,0.627357,0.521586,0.234422,0.724545
PAXG_2024_5M,dio_0v65,11,0.005517,stabil,1.0,0.708706,0.519153,0.129853,0.852151,0.009188,0.080974,0.044153,0.044153,0.102049,0.621208,0.565153,0.044566,0.773615
PAXG_2024_5M,dio_19pg,12,0.006018,stabil,0.5,0.693965,0.502555,0.157365,0.82053,0.068232,0.1032,0.082641,0.082641,0.038965,0.614751,0.605402,0.150874,0.74775
PAXG_2024_5M,dio_12fw,10,0.005015,stabil,0.5,0.681547,0.489424,0.169471,0.807836,0.115934,0.140171,0.126658,0.126658,0.054942,0.599177,0.498901,0.242592,0.729916
PAXG_2024_5M,dio_0pz6,14,0.007021,stabil,1.0,0.718959,0.52858,0.128512,0.888038,0.067951,0.081251,0.074002,0.074002,0.066098,0.633705,0.780681,0.141953,0.779782
PAXG_2024_5M,dio_13o0,10,0.005015,stabil,1.0,0.727218,0.535453,0.106302,0.910081,0.010586,0.052328,0.027704,0.027704,0.069533,0.607679,0.815095,0.0363,0.799807
PAXG_2024_5M,dio_1o4z,10,0.005015,stabil,0.9,0.699452,0.504566,0.149343,0.841839,0.072857,0.100812,0.085256,0.085256,0.053158,0.598045,0.604391,0.158114,0.755081
PAXG_2024_5M,dio_1gp2,22,0.011033,stabil,0.863636,0.703333,0.526631,0.147407,0.833055,0.049761,0.105892,0.080766,0.080766,0.157343,0.686293,0.5392,0.130527,0.760352
PAXG_2024_5M,dio_1kpz,18,0.009027,stabil,1.0,0.724326,0.535496,0.124966,0.879479,0.035974,0.069693,0.052995,0.052995,0.15185,0.677284,0.681142,0.088969,0.785233
PAXG_2024_5M,dio_04uf,10,0.005015,tragend_unruhig,0.5,0.694532,0.490113,0.16625,0.82882,0.125652,0.125222,0.120512,0.120512,0.032283,0.591077,0.594793,0.246164,0.738839
PAXG_2024_5M,dio_0cky,12,0.006018,tragend_unruhig,1.0,0.667169,0.47376,0.199161,0.76925,0.185578,0.170303,0.16608,0.16608,0.047348,0.614959,0.511243,0.351658,0.701711
PAXG_2024_5M,dio_169a,11,0.005517,stabil,0.727273,0.687265,0.489591,0.170893,0.831399,0.183325,0.154092,0.165203,0.165203,0.058696,0.614565,0.602192,0.348528,0.728606
