left,right,left_role,right_role,role_changed,compaction_gap,history_gap,contrast_gap,divergence,left_compaction,right_compaction,left_history,right_history,left_contrast,right_contrast
STRESS_2023_TEST4,STRESS_2024_REAL,last_memory_bindend,uebergang_bindend,True,0.183341,0.014538,0.097229,0.108648,17.076246,16.892905,0.205231,0.190693,0.129442,0.032213
AUTO_STRESS_SEGMENT6,STRESS_2024_SIDEWAYS,uebergang_bindend,reiz_aktiv_rekoppelnd,True,3.256624,0.103406,0.331194,0.070320,7.884063,4.627439,0.146339,0.042933,-0.135746,-0.466940
QUIET_2024_REAL,AUTO_STRESS_SEGMENT6,reiz_aktiv_rekoppelnd,uebergang_bindend,True,3.837117,0.117096,0.351799,0.066202,4.046946,7.884063,0.029243,0.146339,-0.487545,-0.135746
AUTO_STRESS_SEGMENT5_6,STRESS_2024_SIDEWAYS,uebergang_bindend,reiz_aktiv_rekoppelnd,True,4.233160,0.117054,0.375221,0.062750,8.860599,4.627439,0.159987,0.042933,-0.091719,-0.466940
QUIET_2024_REAL,AUTO_STRESS_SEGMENT5_6,reiz_aktiv_rekoppelnd,uebergang_bindend,True,4.813653,0.130744,0.395826,0.060080,4.046946,8.860599,0.029243,0.159987,-0.487545,-0.091719
QUIET_2025_STRESS,AUTO_STRESS_SEGMENT6,reiz_aktiv_rekoppelnd,uebergang_bindend,True,6.051581,0.142567,0.477197,0.055248,1.832482,7.884063,0.003772,0.146339,-0.612943,-0.135746
QUIET_2025_STRESS,AUTO_STRESS_SEGMENT5_6,reiz_aktiv_rekoppelnd,uebergang_bindend,True,7.028117,0.156214,0.521224,0.052147,1.832482,8.860599,0.003772,0.159987,-0.612943,-0.091719
QUIET_2025_CORE,AUTO_STRESS_SEGMENT6,reiz_aktiv_rekoppelnd,uebergang_bindend,True,5.881160,0.128230,0.358660,0.048504,2.002903,7.884063,0.018109,0.146339,-0.494406,-0.135746
QUIET_2025_CORE,QUIET_2025_STRESS,reiz_aktiv_rekoppelnd,reiz_aktiv_rekoppelnd,False,0.170421,0.014336,0.118537,0.047696,2.002903,1.832482,0.018109,0.003772,-0.494406,-0.612943
QUIET_2025_CORE,AUTO_STRESS_SEGMENT5_6,reiz_aktiv_rekoppelnd,uebergang_bindend,True,6.857696,0.141878,0.402687,0.046174,2.002903,8.860599,0.018109,0.159987,-0.494406,-0.091719
QUIET_2026_ANCHOR,AUTO_STRESS_SEGMENT6,reiz_aktiv_rekoppelnd,uebergang_bindend,True,6.831014,0.119311,0.447239,0.045440,1.053049,7.884063,0.027028,0.146339,-0.582985,-0.135746
AUTO_STRESS_SEGMENT5,STRESS_2024_SIDEWAYS,uebergang_bindend,reiz_aktiv_rekoppelnd,True,6.771209,0.132063,0.402714,0.045426,11.398648,4.627439,0.174996,0.042933,-0.064226,-0.466940
