family,phase,candidate_reading,proposed_passive_role,comparison_rows,non_missing_readbacks,stable_readbacks,stable_share,asset_count,file_count,asset_profile,state_profile,quality_profile_non_missing
dio_0tay,frueh,bereits_referenzrolle,fruehe_nullnahe_brueckenberuhigung,366,65,55,0.846154,5,39,BTC:18;SOL:18;PAXG:11;DOGE:10;XRP:8,fehlt_im_folgefenster:301;lokale_qualitaet_reproduziert:48;qualitaet_reproduziert:7;lokale_qualitaet_wird_offen:6;lokale_qualitaet_wird_nachhallnah:2;lokale_qualitaet_driftet:1;lokale_qualitaet_wird_kernnah:1,phase_nullnah:55;phase_offen_gemischt:6;phase_nachhallnah_ohne_kern:2;phase_ohne_nullfamilie:1;phase_kernnah:1
dio_14wj,frueh,kandidat_starker_zonaler_traeger,fruehe_nullnahe_zonenbruecke,366,86,68,0.790698,5,52,PAXG:24;BTC:18;SOL:18;DOGE:18;XRP:8,fehlt_im_folgefenster:280;lokale_qualitaet_reproduziert:52;lokale_qualitaet_wird_offen:16;qualitaet_reproduziert:16;lokale_qualitaet_wird_nullnah:1;lokale_qualitaet_wird_kernnah:1,phase_nullnah:55;phase_offen_gemischt:16;phase_kernnah:15
dio_1492,frueh,kandidat_durchgehende_nullnaehe_achse,phasenuebergreifende_nullnahe_kohaerenzachse,307,39,38,0.974359,4,21,DOGE:13;BTC:11;SOL:11;XRP:4,fehlt_im_folgefenster:268;lokale_qualitaet_reproduziert:38;lokale_qualitaet_wird_kernnah:1,phase_nullnah:38;phase_kernnah:1
dio_1492,spaet,kandidat_durchgehende_nullnaehe_achse,phasenuebergreifende_nullnahe_kohaerenzachse,307,42,34,0.809524,4,23,DOGE:16;BTC:11;SOL:11;XRP:4,fehlt_im_folgefenster:265;lokale_qualitaet_reproduziert:34;lokale_qualitaet_wird_offen:8,phase_nullnah:34;phase_offen_gemischt:8
dio_1492,mitte,kandidat_durchgehende_nullnaehe_achse,phasenuebergreifende_nullnahe_kohaerenzachse,297,41,32,0.780488,4,24,DOGE:17;BTC:11;SOL:8;XRP:5,fehlt_im_folgefenster:256;lokale_qualitaet_reproduziert:32;lokale_qualitaet_wird_offen:6;lokale_qualitaet_driftet:2;lokale_qualitaet_wird_nachhallnah:1,phase_nullnah:32;phase_offen_gemischt:6;phase_ohne_nullfamilie:2;phase_nachhallnah_ohne_kern:1
