source_state,target_state,source_role,target_role,transition_quality,edge_count,weighted_edges,source_node_count,target_node_count,source_observations_sum,target_observations_sum,avg_rekopplung_delta_weighted,avg_strain_delta_weighted,examples
netz_fragmentiert_belastet,netz_fragmentiert_belastet,fragment_belastet,fragment_belastet,selbstbindung,36,242,22,16,10251,15849,0.013034,-0.015813,0e7qvj1->18l3thm:18 | 0e7qvj1->0mji3u6:18 | 0e7qvj1->14coypf:16 | 18l3thm->0e7qvj1:18 | 18l3thm->14coypf:14 | 18l3thm->0mm85pw:4 | 0mji3u6->0e7qvj1:18 | 0mji3u6->18n06fj:8
netz_offen_verbunden,netz_fragmentiert_belastet,offen,fragment_belastet,offene_nachbarschaftsachse,22,116,20,10,1596,15250,-0.004313,0.005283,1jwnjz4->0e7qvj1:10 | 1jwnjz4->14coypf:6 | 1q3us3f->0e7qvj1:10 | 1q3us3f->18l3thm:8 | 14l8khu->14coypf:8 | 0v5p8er->0wjn8vm:6 | 1ds636q->14coypf:6 | 1hs3jsa->0mw7rev:3
netz_fragmentiert_belastet,netz_zentrum_mit_anschluss,fragment_belastet,zentrum_anschluss,rekopplungsnahe_uebergangsachse,14,74,12,7,2752,11631,0.027825,-0.018097,0e7qvj1->1hdpu9s:10 | 1joiyc3->1jx2k4i:8 | 0ybr5e3->0b7nep9:8 | 0ybr5e3->1xx3u1e:6 | 0ybr5e3->0ykar6i:6 | 18n06fj->0hjnwsk:8 | 0jbl5pq->0l3i7ey:8 | 0mw7rev->0b7nep9:4
netz_offen_verbunden,netz_offen_verbunden,offen,offen,selbstbindung,23,70,15,14,1298,1313,0.000651,-0.000545,1q3us3f->1hs3jsa:6 | 1q3us3f->14l8khu:1 | 14l8khu->0v5p8er:6 | 14l8khu->1q3us3f:1 | 0v5p8er->14l8khu:6 | 0v5p8er->1ds636q:4 | 0v5p8er->0vff3w6:2 | 1ds636q->0v5p8er:4
netz_fragmentiert_belastet,netz_offen_verbunden,fragment_belastet,offen,rekopplungsnahe_uebergangsachse,12,65,9,11,4223,1310,0.022174,-0.031648,0e7qvj1->1jwnjz4:10 | 18l3thm->1q3us3f:8 | 0mji3u6->0d40zcv:4 | 14coypf->14l8khu:8 | 14coypf->1jwnjz4:6 | 14coypf->1ds636q:6 | 1joiyc3->1t42af6:6 | 18n06fj->0jkg1dk:4
netz_zentrum_mit_anschluss,netz_fragmentiert_belastet,zentrum_anschluss,fragment_belastet,belastende_fragmentierungsachse,11,65,7,9,9114,2707,-0.021338,0.009676,1hdpu9s->0e7qvj1:10 | 0b7nep9->0ybr5e3:8 | 0ykar6i->0ybr5e3:6 | 0ykar6i->1qqnvqf:3 | 1jx2k4i->1joiyc3:8 | 1jx2k4i->1i1sl4l:2 | 1jx2k4i->1x5cw2v:1 | 1xx3u1e->0ybr5e3:6
netz_driftend_getragen,netz_fragmentiert_belastet,drift_getragen,fragment_belastet,belastende_fragmentierungsachse,11,57,10,6,1025,4288,-0.06173,0.037495,1ahj81f->1joiyc3:6 | 0z748ck->0e7qvj1:6 | 0qzjuvj->0jbl5pq:10 | 0db07p4->1joiyc3:10 | 0db07p4->1i1sl4l:4 | 0lne9ax->0jbl5pq:5 | 0aztxel->0jbl5pq:5 | 1pmt8u2->1joiyc3:3
netz_rekoppelnd_verbunden,netz_rekoppelnd_verbunden,rekoppelnd,rekoppelnd,selbstbindung,19,56,15,12,448,650,-0.003333,0.00678,0om13wf->0y1i8dq:6 | 0om13wf->0ybhu2p:4 | 0om13wf->1i31hl0:3 | 0om13wf->0qhs6nb:2 | 1al8fjz->06ccuqv:4 | 06ccuqv->1al8fjz:4 | 0i7gfxw->0tf9fq3:2 | 0y1i8dq->0om13wf:6
netz_driftend_getragen,netz_zentrum_mit_anschluss,drift_getragen,zentrum_anschluss,zentrumssuchende_achse,10,45,7,6,781,4291,-0.018015,0.012124,1ahj81f->1jx2k4i:2 | 0qzjuvj->0hjnwsk:9 | 0geqqo3->0ykar6i:6 | 0geqqo3->1xx3u1e:6 | 0lne9ax->0l3i7ey:6 | 0aztxel->0hjnwsk:4 | 0aztxel->0l3i7ey:3 | 0dgle71->1jx2k4i:2
netz_fragmentiert_belastet,netz_driftend_getragen,fragment_belastet,drift_getragen,rekopplungsnahe_uebergangsachse,8,43,5,7,1088,794,0.057273,-0.034229,1joiyc3->0db07p4:10 | 1joiyc3->1ahj81f:6 | 0jbl5pq->0qzjuvj:10 | 0jbl5pq->0lne9ax:5 | 0jbl5pq->0aztxel:5 | 0wjn8vm->0w9dwz3:1 | 02ujuqf->1xm3b1l:2 | 1i1sl4l->0db07p4:4
