world,phases,episodes,avg_center,avg_open,avg_rand,avg_raw_field,avg_adapted_field,avg_reduction,avg_ratio,max_open_phase,max_open,max_open_center,max_open_rand,max_rand_phase,max_rand,max_rand_open,max_loud_phase,max_loudness,max_raw_phase,max_raw_field,max_reduction_phase,max_reduction,lowest_ratio,max_blur_phase,max_visual_blur,world_class
RAND_DOMINANZ,10,6994,0.853303,0.105519,0.00429,0.050999,0.044419,0.00658,0.895124,laute_randphase,0.76125,0.065,0.02875,laute_randphase,0.02875,0.76125,laute_randphase,0.277935,laute_randphase,0.164442,laute_randphase,0.02912,0.822917,laute_randphase,0.462506,lokale_rand_oeffnung
BRUCH_RAND,9,5994,0.889223,0.071905,0.001168,0.0368,0.03282,0.003979,0.901588,randflackern,0.515714,0.271429,0.001429,zweiter_kippimpuls,0.002,0.008,randflackern,0.145439,randflackern,0.093785,randflackern,0.012959,0.861819,randflackern,0.375823,lokale_oeffnung_ohne_rand
HARMONIC,6,5394,0.984242,0.007601,0.000556,0.01979,0.018063,0.001727,0.913294,kippnaehe,0.017778,0.955556,0.001111,ruhig,0.001111,0.002222,kippnaehe,0.028639,kippnaehe,0.02785,kippnaehe,0.00256,0.90809,kippnaehe,0.172836,stabile_zentrierung
