from_family,to_family,effect_path,count,dominant_world,avg_rekopplung_delta,avg_strain_delta,avg_carry_delta
dio_14wj,dio_14wj,stabil->stabil,294,PAXG2025_5M_10K,0.001955,-0.000695,0.002345
dio_104t,dio_104t,stabil->stabil,182,PAXG2025_5M_10K,0.003798,-0.005068,0.005435
dio_104t,dio_14wj,stabil->stabil,150,PAXG2025_5M_10K,0.010616,-0.016744,0.01194
dio_14wj,dio_1fll,stabil->stabil,100,PAXG2025_5M_10K,0.01151,-0.016678,0.010454
dio_1u5i,dio_14wj,stabil->stabil,99,PAXG2025_5M_10K,0.01071,-0.00424,0.018526
dio_155c,dio_104t,stabil->stabil,97,PAXG2025_5M_10K,0.009805,-0.006935,0.017691
dio_0h9h,dio_104t,stabil->stabil,88,PAXG2025_5M_10K,0.001732,0.006946,0.006723
dio_0m9z,dio_104t,stabil->stabil,77,PAXG2025_5M_10K,0.014549,-0.017991,0.02326
dio_104t,dio_0l7p,stabil->stabil,75,PAXG2025_5M_10K,0.001229,-0.01546,-0.005412
dio_14wj,dio_104t,stabil->stabil,69,PAXG2025_5M_10K,-0.011767,0.012854,-0.011314
dio_1fll,dio_14wj,stabil->stabil,69,PAXG2025_5M_10K,-0.014349,0.01733,-0.009596
dio_104t,dio_0h9h,stabil->stabil,65,PAXG2025_5M_10K,0.003136,-0.013582,-0.00294
dio_0l7p,dio_14wj,stabil->stabil,62,PAXG2025_5M_10K,0.007761,-0.003713,0.017812
dio_14wj,dio_1u5i,stabil->stabil,50,PAXG2025_5M_10K,-0.00947,0.003852,-0.017887
dio_104t,dio_00ly,stabil->stabil,48,PAXG2025_5M_10K,0.006475,-0.013124,-0.008502
dio_1pij,dio_104t,stabil->stabil,48,PAXG2024_5M_10K,0.028007,-0.02822,0.043043
dio_104t,dio_1fll,stabil->stabil,48,PAXG2025_5M_10K,0.019612,-0.029452,0.018273
dio_104t,dio_1u5i,stabil->stabil,46,PAXG2025_5M_10K,0.003141,-0.013642,-0.00529
dio_104t,dio_155c,stabil->stabil,46,PAXG2025_5M_10K,-0.007752,0.004987,-0.013939
dio_0obq,dio_104t,stabil->stabil,45,PAXG2025_5M_10K,0.01971,-0.014849,0.033169
dio_104t,dio_0m9z,stabil->stabil,41,PAXG2025_5M_10K,-0.017382,0.013258,-0.01775
dio_104t,dio_06er,stabil->stabil,40,PAXG2025_5M_10K,0.014227,-0.022045,0.003329
dio_0h9h,dio_14wj,stabil->stabil,40,PAXG2025_5M_10K,0.010184,-0.005625,0.018253
dio_0kx9,dio_14wj,stabil->stabil,39,PAXG2024_5M_10K,0.00585,0.012792,0.019854
dio_104t,dio_1pij,stabil->stabil,38,PAXG2024_5M_10K,-0.025034,0.029427,-0.040542
dio_1ewh,dio_104t,stabil->stabil,37,PAXG2024_5M_10K,0.011226,-0.002183,0.020436
dio_1u5i,dio_104t,stabil->stabil,35,PAXG2025_5M_10K,0.001806,0.013157,0.005217
dio_00ly,dio_14wj,stabil->stabil,35,PAXG2025_5M_10K,0.009011,-0.009913,0.022932
