run,world,episodes,top_field_roles,top_families,effect_classes,field_roles,avg_mcm_carry_quality,avg_mcm_strain_quality,avg_mcm_rekopplung_quality,avg_mcm_sensory_coupling,avg_mcm_visual_field_gap,avg_mcm_hearing_field_gap,avg_mini_afterimage,avg_mcm_feldwirkung_mcm_coherence,avg_mcm_feldwirkung_mcm_tension,avg_mcm_feldwirkung_mcm_asymmetry
dio_mini_lauf_32,BTC_STRESS_2024_5M,3994,dio_mcm_episode_0qo35nd:3;dio_mcm_episode_1nxni6k:2;dio_mcm_episode_0satl98:1;dio_mcm_episode_01327u9:1;dio_mcm_episode_0memvcm:1;dio_mcm_episode_158apmu:1;dio_mcm_episode_08m65fb:1,dio_104t:350;dio_0l7p:284;dio_155c:175;dio_0m9z:164;dio_14wj:164;dio_0h9h:125;dio_06s7:94;dio_17ct:76,stabil:3987;tragend_unruhig:7,field_stabil:3987;field_tragend_unruhig:7,0.552336,0.157853,0.711363,0.853656,0.169622,0.08132,0.590223,0.633443,0.08678,-0.005811
dio_mini_lauf_33,BTC_STRESS_2025_5M,3994,dio_mcm_episode_1x3djkm:5;dio_mcm_episode_0qo35nd:5;dio_mcm_episode_0ilwqth:3;dio_mcm_episode_0qxnz4m:2;dio_mcm_episode_0vklbgh:1;dio_mcm_episode_1tvdhgs:1;dio_mcm_episode_1x557o1:1,dio_104t:340;dio_0l7p:281;dio_14wj:190;dio_0m9z:177;dio_155c:156;dio_0h9h:156;dio_00ly:87;dio_1kpz:85,stabil:3982;tragend_unruhig:12,field_stabil:3982;field_tragend_unruhig:12,0.553426,0.157321,0.711924,0.854186,0.169471,0.079606,0.595049,0.633128,0.085529,-0.005463
dio_mini_lauf_34,BTC_SHIFT_2025_15M_16000_17000,994,dio_mcm_episode_1o7n3vj:2;dio_mcm_episode_0l0x9lk:1;dio_mcm_episode_1tvdhgs:1,dio_104t:102;dio_0l7p:73;dio_14wj:50;dio_0m9z:47;dio_0h9h:46;dio_155c:46;dio_06er:26;dio_00ly:22,stabil:992;tragend_unruhig:2,field_stabil:992;field_tragend_unruhig:2,0.52663,0.152834,0.7025,0.854349,0.167045,0.081326,0.39664,0.627808,0.086964,-0.003947
dio_mini_lauf_35,BTC_SHIFT_2025_30M_10000_11000,994,dio_mcm_episode_0satl98:1;dio_mcm_episode_1nxni6k:1;dio_mcm_episode_1tvdhgs:1;dio_mcm_episode_1x3djkm:1,dio_104t:89;dio_0l7p:68;dio_14wj:61;dio_155c:44;dio_0m9z:43;dio_0h9h:42;dio_1kpz:25;dio_06s7:24,stabil:992;tragend_unruhig:2,field_stabil:992;field_tragend_unruhig:2,0.523606,0.154093,0.70024,0.850725,0.177971,0.081673,0.381222,0.624943,0.087311,-0.000682
dio_mini_lauf_36,BTC_SHIFT_2025_1H_4000_5000,994,dio_mcm_episode_0vklbgh:1;dio_mcm_episode_1x3djkm:1;dio_mcm_episode_1x557o1:1;dio_mcm_episode_0ffk9vo:1;dio_mcm_episode_1tvdhgs:1;dio_mcm_episode_1wjjpaf:1,dio_0l7p:89;dio_104t:86;dio_155c:44;dio_14wj:41;dio_0m9z:38;dio_0h9h:34;dio_06er:29;dio_03uk:23,stabil:991;tragend_unruhig:3,field_stabil:991;field_tragend_unruhig:3,0.527052,0.152758,0.7028,0.855122,0.168674,0.080686,0.398382,0.637432,0.085965,0.005636
