pair,events,worlds,quality_count,top_quality,top_share,drift_quality
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,94,4,7,rekoppelnd_offen,0.297872,stark_fragmentiert
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,106,3,5,rekoppelnd_stabil,0.613208,breit_driftend
