lauf,welt,blockgroesse,amplitude,dio_0ein_count,dio_1fll_count,differenz,dominanz,symbole,stabil,tragend_unruhig,rekopplung,nachhall,focus_tone,observation_tone
1,1463_BS13_NARROW112_AMP_DRIFTCTRL,13,0.00112,173,173,0,gleich,51,1140,54,0.732461,0.570924,986,208
2,1463_BS13_NARROW112_AMP_DRIFTCTRL,13,0.00112,173,173,0,gleich,51,1140,54,0.732461,0.570924,986,208
3,1463_BS13_NARROW112_AMP_DRIFTCTRL,13,0.00112,173,173,0,gleich,51,1140,54,0.732461,0.570924,986,208
4,1463_BS13_NARROW112_AMP_DRIFTCTRL,13,0.00112,173,173,0,gleich,51,1140,54,0.732461,0.570924,986,208
5,1463_BS13_NARROW112_AMP_DRIFTCTRL,13,0.00112,173,173,0,gleich,51,1140,54,0.732461,0.570924,986,208
