counterform_kind,window_reading,phase_key,world,data_file,current_start_tick,current_end_tick,center_tick,current_loudness,current_intake,current_sharpness,current_rekopplung,current_strain,delta_next_rekopplung,delta_next_strain,raw_return,range_ratio,expansion_ratio,direction_consistency,movement_class,severity
rueckfall_nach_kurzer_rekopplung,rekopplung_vor_neuer_last,spannungsrand_kippnaehe->zentrum_stabil->spannungsrand_kippnaehe,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,7272,7275,7274,0.174233,0.10935,0.654364,0.71904,0.136307,-0.148242,0.158572,0.00038956,0.01051811,4.27178423,0.03125,bewegungsbruch,0.510221
rueckfall_nach_kurzer_rekopplung,rekopplung_vor_neuer_last,spannungsrand_kippnaehe->zentrum_stabil->spannungsrand_kippnaehe,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,7849,7850,7850,0.285913,0.158641,0.796345,0.71793,0.143217,-0.146819,0.153232,-0.00186741,0.02147526,3.10282776,0.06896552,bewegungsbruch,0.500077
rueckfall_nach_kurzer_rekopplung,rekopplung_vor_neuer_last,spannungsrand_kippnaehe->zentrum_stabil->spannungsrand_kippnaehe,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,4477,4481,4479,0.179201,0.103543,0.68606,0.716208,0.147264,-0.139583,0.15009,-0.01241631,0.02884967,3.21035387,0.01538462,bewegungsbruch,0.484509
rueckfall_nach_kurzer_rekopplung,rekopplung_vor_neuer_last,spannungsrand_kippnaehe->zentrum_stabil->spannungsrand_kippnaehe,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,4066,4069,4068,0.146188,0.085417,0.793066,0.727117,0.136236,-0.132201,0.136425,0.01145237,0.02290474,3.26634383,0.07462687,bewegungsbruch,0.452939
rueckfall_nach_kurzer_rekopplung,rekopplung_vor_neuer_last,spannungsrand_kippnaehe->zentrum_stabil->spannungsrand_kippnaehe,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,4430,4430,4430,0.199133,0.119774,0.682809,0.711862,0.136647,-0.116663,0.122634,0.01465839,0.02906832,8.47226891,0.1641791,bewegungsbruch,0.408945
rueckfall_nach_kurzer_rekopplung,rekopplung_vor_neuer_last,spannungsrand_kippnaehe->zentrum_stabil->spannungsrand_kippnaehe,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,9728,9731,9730,0.189824,0.106923,0.738579,0.726687,0.132862,-0.107515,0.125181,-0.01637454,0.02975092,2.65118397,0.02941176,bewegungsbruch,0.399044
rueckfall_nach_kurzer_rekopplung,rekopplung_vor_neuer_last,spannungsrand_kippnaehe->zentrum_stabil->spannungsrand_kippnaehe,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,5728,5735,5732,0.172301,0.111879,0.570191,0.71004,0.147757,-0.109085,0.123524,-0.01235312,0.03916842,2.87959442,0.05882353,bewegungsbruch,0.398914
rueckfall_nach_kurzer_rekopplung,rekopplung_vor_neuer_last,spannungsrand_kippnaehe->rekopplungsnaehe->spannungsrand_kippnaehe,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,6521,6522,6522,0.181954,0.109023,0.624791,0.704932,0.136774,-0.104466,0.118622,-0.00901741,0.02736318,4.0291411,0.07692308,bewegungsbruch,0.384632
aktive_nachlast,gemischtes_fenster,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,9219,9223,9221,0.121232,0.079972,0.639502,0.750713,0.143374,-0.055833,0.039826,-0.00098184,0.00490918,4.4375,0.09090909,bewegungsbruch,0.193489
rueckfall_nach_kurzer_rekopplung,rekopplung_vor_neuer_last,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,4454,4457,4456,0.158629,0.092681,0.772628,0.723164,0.132986,-0.028486,0.0426,0.089141,0.10089141,2.57683398,0.01538462,bewegungsbruch,0.156629
