name,group,run,tick_start,tick_end,local_role,rows,symbol,symbol_share,symbol_family,symbol_family_share,field_symbol,field_symbol_share,effect_class,effect_share,awareness_state,awareness_share,syntax_concentration,kipp_pressure,relief,rekopplung,field_pressure
PREVIEW_2023,preview,1,41,120,lokal_rekoppelnd,80,dio_01x2707,0.025,dio_01x2,0.025,dio_mcm_episode_1r7e52w,0.2375,stabil,0.6625,inner_effect_stable,0.6625,0.24175000000000002,0.16637683464,0.711922697,0.63584025,0.18941414550000002
PREVIEW_2023,preview,1,81,160,lokal_rekoppelnd,80,dio_0f10dj6,0.025,dio_0f10,0.025,dio_mcm_episode_1r7e52w,0.3875,stabil,0.6125,inner_effect_stable,0.6125,0.26475000000000004,0.16646381038999997,0.71056053725,0.6362133125,0.18860057875
PREVIEW_2023,preview,1,161,240,lokal_rekoppelnd,80,dio_1enkiet,0.0125,dio_1enk,0.0125,dio_mcm_episode_02xikfk,0.4,stabil,0.6375,inner_effect_stable,0.6375,0.268,0.17197337322,0.7083454395,0.632778675,0.19124468700000002
PREVIEW_2023,preview,1,201,280,lokal_rekoppelnd,80,dio_1vn6ppz,0.025,dio_1vn6,0.025,dio_mcm_episode_1eik02d,0.4375,stabil,0.6,inner_effect_stable,0.6,0.2735,0.17114525476999998,0.707129564,0.6326285,0.19092264725
PREVIEW_2023,preview,1,281,360,lokal_rekoppelnd,80,dio_1pmi8g1,0.025,dio_1pmi,0.025,dio_mcm_episode_02xikfk,0.525,stabil,0.6125,inner_effect_stable,0.6125,0.29775,0.17382699192999998,0.70834585875,0.6344139625,0.19000589774999999
PREVIEW_2023,preview,1,561,640,lokal_rekoppelnd,80,dio_1j5i9ez,0.0125,dio_1j5i,0.0125,dio_mcm_episode_02xikfk,0.8375,stabil,0.6375,inner_effect_stable,0.6375,0.373,0.18329006463000003,0.7127304115,0.63433065,0.19360596225000004
PREVIEW_2023,preview,1,601,680,lokal_rekoppelnd,80,dio_08b7jvs,0.0125,dio_08b7,0.0125,dio_mcm_episode_02xikfk,0.55,stabil,0.5,inner_effect_stable,0.5,0.26825,0.20598933719999996,0.70641610575,0.6250641875,0.2041225675
PREVIEW_2023,preview,2,41,120,lokal_rekoppelnd,80,dio_01x2707,0.025,dio_01x2,0.025,dio_mcm_episode_1r7e52w,0.2375,stabil,0.6625,inner_effect_stable,0.6625,0.24175000000000002,0.16636895456999998,0.711805554,0.63552765,0.18937697375
PREVIEW_2023,preview,2,81,160,lokal_rekoppelnd,80,dio_0f10dj6,0.025,dio_0f10,0.025,dio_mcm_episode_1r7e52w,0.3875,stabil,0.6125,inner_effect_stable,0.6125,0.26475000000000004,0.16645543141999997,0.71043956675,0.6358902875,0.18856151150000003
PREVIEW_2023,preview,2,161,240,lokal_rekoppelnd,80,dio_1enkiet,0.0125,dio_1enk,0.0125,dio_mcm_episode_02xikfk,0.4,stabil,0.6375,inner_effect_stable,0.6375,0.268,0.17196533838,0.7082263677499999,0.6324604125,0.19120680850000002
PREVIEW_2023,preview,2,201,280,lokal_rekoppelnd,80,dio_1vn6ppz,0.025,dio_1vn6,0.025,dio_mcm_episode_02xikfk,0.4625,stabil,0.6,inner_effect_stable,0.6,0.2795,0.17113758995,0.70701045075,0.6323105375,0.19088581125000004
PREVIEW_2023,preview,2,281,360,lokal_rekoppelnd,80,dio_1pmi8g1,0.025,dio_1pmi,0.025,dio_mcm_episode_02xikfk,0.575,stabil,0.6125,inner_effect_stable,0.6125,0.30975,0.1738197369,0.70823248375,0.6341114625000001,0.18997095600000002
PREVIEW_2023,preview,2,561,640,lokal_rekoppelnd,80,dio_1j5i9ez,0.0125,dio_1j5i,0.0125,dio_mcm_episode_02xikfk,0.85,stabil,0.6375,inner_effect_stable,0.6375,0.376,0.18328297216,0.71261107175,0.6340139125,0.193570776
PREVIEW_2023,preview,2,601,680,lokal_rekoppelnd,80,dio_08b7jvs,0.0125,dio_08b7,0.0125,dio_mcm_episode_02xikfk,0.5625,stabil,0.5,inner_effect_stable,0.5,0.27125,0.20598339299999996,0.7062998895,0.6247577,0.204091072
PREVIEW_2023,preview,1,721,800,lokale_multisensorische_kippnaehe,80,dio_0vbey4l,0.0125,dio_0vbe,0.0125,dio_mcm_episode_02xikfk,0.325,tragend_unruhig,0.3125,inner_effect_carried_unrest,0.3125,0.1655,0.27345154692,0.68482751,0.599917725,0.2314052305
PREVIEW_2023,preview,1,761,840,lokale_multisensorische_kippnaehe,80,dio_11620lr,0.0125,dio_0eu7,0.025,dio_mcm_episode_0e9ekzq,0.05,tragend_unruhig,0.4375,inner_effect_carried_unrest,0.4375,0.135,0.27842010304,0.68025468575,0.5961586875,0.23447910350000004
PREVIEW_2023,preview,1,801,880,lokale_multisensorische_kippnaehe,80,dio_0otpfv7,0.0125,dio_0otp,0.0125,dio_mcm_episode_0eje6op,0.0875,tragend_unruhig,0.5,inner_effect_carried_unrest,0.5,0.15725,0.2599512305,0.68591484625,0.6039690125,0.22550744050000002
PREVIEW_2023,preview,1,841,920,lokale_multisensorische_kippnaehe,80,dio_0p0s7cd,0.0125,dio_0p0s,0.0125,dio_mcm_episode_182yyt2,0.0875,tragend_unruhig,0.475,inner_effect_carried_unrest,0.475,0.15075,0.25486421156,0.690088024,0.6070733749999999,0.22272286700000002
PREVIEW_2023,preview,1,881,960,lokale_multisensorische_kippnaehe,80,dio_1d0un6u,0.025,dio_1d0u,0.025,dio_mcm_episode_037i64j,0.4625,tragend_unruhig,0.4625,inner_effect_carried_unrest,0.4625,0.24375000000000002,0.23414942540000003,0.70099198575,0.6161021875,0.214373276
PREVIEW_2023,preview,2,721,800,lokale_multisensorische_kippnaehe,80,dio_0vbey4l,0.0125,dio_0vbe,0.0125,dio_mcm_episode_02xikfk,0.325,tragend_unruhig,0.3125,inner_effect_carried_unrest,0.3125,0.1655,0.27344705305,0.6846853079999999,0.5995492,0.23137473075000003
PREVIEW_2023,preview,2,761,840,lokale_multisensorische_kippnaehe,80,dio_11620lr,0.0125,dio_0eu7,0.025,dio_mcm_episode_0e9ekzq,0.05,tragend_unruhig,0.4375,inner_effect_carried_unrest,0.4375,0.135,0.27841549882,0.68012026775,0.5958094875,0.23444924200000003
PREVIEW_2023,preview,2,801,880,lokale_multisensorische_kippnaehe,80,dio_0otpfv7,0.0125,dio_0otp,0.0125,dio_mcm_episode_0eje6op,0.0875,tragend_unruhig,0.5,inner_effect_carried_unrest,0.5,0.15725,0.25994628005000003,0.6857930675,0.60365075,0.22547812975000003
PREVIEW_2023,preview,2,841,920,lokale_multisensorische_kippnaehe,80,dio_0p0s7cd,0.0125,dio_0p0s,0.0125,dio_mcm_episode_182yyt2,0.0875,tragend_unruhig,0.475,inner_effect_carried_unrest,0.475,0.15075,0.25485889245,0.68996427625,0.6067494375,0.22269225475000004
PREVIEW_2023,preview,2,881,960,lokale_multisensorische_kippnaehe,80,dio_1d0un6u,0.025,dio_1d0u,0.025,dio_mcm_episode_037i64j,0.4625,tragend_unruhig,0.4625,inner_effect_carried_unrest,0.4625,0.24375000000000002,0.23414212704000004,0.70085263825,0.6157352375,0.21433506300000002
