world,rows,segments,longest_segment,avg_segment_length,field_carried_share,field_mixed_share,far_return_share,near_return_share,first_contact_share,top_family,top_family_share,raw_range_avg,raw_volume_avg,raw_range_ratio,raw_volume_ratio,mcm_carry_quality,mcm_strain_quality,mcm_rekopplung_quality,mcm_sensory_coupling,mcm_visual_field_gap,mcm_hearing_field_gap,mini_afterimage,mini_recurrence_strength,rezeptor_visual_contact,rezeptor_auditory_contact,rezeptor_contact_pressure,perception_visual_sharpness,perception_auditory_loudness,perception_felt_pressure,perception_felt_relaxation,hoeren_energy_tone,hoeren_energy_shift
PAXG_10K,9,5,3,1.8,0.6666666666666666,0.3333333333333333,0.7777777777777778,0.0,0.2222222222222222,dio_0jkk,0.1111111111111111,0.0012612109054553414,4.295244444444444,1.4153883955045536,1.7059466270238794,0.508785,0.16922922222222223,0.6920937777777778,0.8224408888888889,0.28361855555555554,0.07149344444444444,0.368071,0.4254378888888889,0.39362455555555553,0.15320566666666666,0.08322433333333333,0.6257214444444444,0.15320566666666666,0.11424122222222222,0.7638551111111112,-0.0870498888888889,-0.11542011111111111
DOGE_10K,57,27,3,2.111111111111111,0.7719298245614035,0.22807017543859648,0.8771929824561403,0.05263157894736842,0.07017543859649122,dio_0m9z,0.05263157894736842,0.0043986327682089274,6711038.98245614,1.6399521829228523,2.1047534970906105,0.5248273333333333,0.17500329824561403,0.6889352982456141,0.8103064210526316,0.2779606666666667,0.08623715789473685,0.48084175438596494,0.5366954912280701,0.39353208771929826,0.18508073684210527,0.10133401754385965,0.5701147894736842,0.18508073684210527,0.12649710526315788,0.7545520701754386,-0.08306764912280702,-0.04597733333333333
XRP_10K,36,23,3,1.565217391304348,0.7222222222222222,0.2777777777777778,0.8888888888888888,0.0,0.1111111111111111,dio_0h0h,0.05555555555555555,0.004316429598828188,1985497.3333333333,1.8892596316655317,1.6975802790413752,0.5237201666666667,0.16567297222222221,0.6924288333333333,0.82707575,0.24094205555555556,0.08098816666666667,0.417027,0.4878530555555556,0.3962900555555556,0.17485994444444444,0.09415905555555555,0.6272676944444444,0.17485994444444444,0.11945344444444445,0.7672179722222222,-0.06695969444444444,-0.004611000000000003
KAS_10K,51,25,3,2.04,0.7647058823529411,0.23529411764705882,0.8627450980392157,0.058823529411764705,0.0784313725490196,dio_0h9h,0.0784313725490196,0.007128994786487887,1179485.2745098039,1.6758662115103407,2.2087984246611088,0.5352777843137255,0.17050929411764706,0.6952904509803921,0.8183383725490196,0.2653437843137255,0.07192976470588235,0.5345228039215686,0.5927855882352941,0.39795166666666665,0.16271149019607842,0.09190745098039216,0.5855366862745098,0.16271149019607842,0.11928443137254902,0.7582448235294118,-0.10394450980392157,-0.012311627450980392
XLM_10K,41,21,3,1.9523809523809523,0.7560975609756098,0.24390243902439024,0.8536585365853658,0.04878048780487805,0.0975609756097561,dio_1gp2,0.0975609756097561,0.003560539891757907,407296.60975609755,1.5047387235689798,1.8978450441378505,0.5279715609756097,0.17211543902439025,0.6937373902439025,0.8194818292682927,0.25225285365853656,0.08629260975609757,0.49518251219512194,0.5590119512195122,0.37720717073170734,0.18590773170731706,0.10069763414634146,0.5848501463414634,0.18590773170731706,0.12410268292682927,0.7613433902439024,-0.02159578048780488,0.0038155365853658526
TRX_10K,69,32,3,2.15625,0.8260869565217391,0.17391304347826086,0.8405797101449275,0.028985507246376812,0.13043478260869565,dio_155c,0.07246376811594203,0.0017646425080345433,1728047.6217391305,1.5071636048927037,1.3858388779364414,0.5323086376811594,0.17621855072463768,0.6927976521739131,0.8188391449275363,0.2501550434782609,0.09317318840579711,0.5444954782608695,0.5989034347826087,0.36067382608695653,0.19501097101449275,0.10340871014492754,0.5814591449275363,0.19501097101449275,0.11945579710144928,0.7737425217391304,-0.11395611594202898,-0.020990434782608692
PEPE_A_10K,21,11,3,1.9090909090909092,0.6190476190476191,0.38095238095238093,0.7619047619047619,0.0,0.23809523809523808,dio_0jkk,0.14285714285714285,0.017483468164903218,210138215611.38095,1.5228895104259672,3.620903652553424,0.5045850476190477,0.17975019047619048,0.6815459047619048,0.801031,0.2937102857142857,0.07766204761904762,0.40203514285714287,0.4637271428571429,0.4337604761904762,0.18350857142857144,0.10584647619047619,0.4798855714285714,0.18350857142857144,0.13945038095238096,0.7235094761904762,-0.035335809523809526,0.02767909523809524
PEPE_B_10K,61,29,3,2.103448275862069,0.8524590163934426,0.14754098360655737,0.9016393442622951,0.04918032786885246,0.04918032786885246,dio_155c,0.06557377049180328,0.019257184919853055,664286787763.3279,1.7456926881550905,2.1408749109193304,0.5356569016393442,0.16650447540983607,0.6978113442622951,0.825049,0.24397760655737705,0.07678931147540984,0.5116292950819672,0.5851740983606557,0.3552995081967213,0.16955796721311475,0.09354259016393443,0.5968054590163935,0.16955796721311475,0.11428734426229509,0.772181,-0.1223249344262295,-0.015482540983606559
PEPE_C_10K,51,26,3,1.9615384615384615,0.8235294117647058,0.17647058823529413,0.8235294117647058,0.0784313725490196,0.09803921568627451,dio_155c,0.0784313725490196,0.012524357193528545,476530002725.098,1.777510549872231,2.8076668341246083,0.5381358627450981,0.17033327450980393,0.6972844117647059,0.8244466470588235,0.23707250980392156,0.0789624705882353,0.5575393137254901,0.6162850980392157,0.3851972549019608,0.1761168431372549,0.09717727450980392,0.5820648235294118,0.1761168431372549,0.12189919607843137,0.761149137254902,-0.0657738431372549,0.006582686274509803
