pair,world,quality,events,share
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,rekoppelnd_offen,10,0.270270
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,bruchuebergang,9,0.243243
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,rekoppelnd_stabil,7,0.189189
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,druckuebergang,6,0.162162
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,druckbruch,3,0.081081
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,offen_rekoppelnd,1,0.027027
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,bruchdominant,1,0.027027
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,rekoppelnd_offen,12,0.333333
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,druckuebergang,6,0.166667
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,druckbruch,5,0.138889
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,bruchuebergang,5,0.138889
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,rekoppelnd_stabil,3,0.083333
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,bruchdominant,3,0.083333
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,offen_rekoppelnd,2,0.055556
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_QUIET_4000,druckuebergang,4,0.250000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_QUIET_4000,rekoppelnd_offen,4,0.250000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_QUIET_4000,bruchuebergang,4,0.250000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_QUIET_4000,druckbruch,2,0.125000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_QUIET_4000,rekoppelnd_stabil,1,0.062500
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_QUIET_4000,bruchdominant,1,0.062500
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_STRESS_4000,rekoppelnd_offen,2,0.400000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_STRESS_4000,bruchuebergang,1,0.200000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_STRESS_4000,druckuebergang,1,0.200000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_STRESS_4000,druckbruch,1,0.200000
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_QUIET_4000,rekoppelnd_stabil,28,0.583333
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_QUIET_4000,rekoppelnd_offen,18,0.375000
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_QUIET_4000,bruchuebergang,1,0.020833
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_QUIET_4000,druckuebergang,1,0.020833
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_STRESS_4000,rekoppelnd_stabil,27,0.692308
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_STRESS_4000,rekoppelnd_offen,8,0.205128
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_STRESS_4000,druckuebergang,2,0.051282
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_STRESS_4000,bruchdominant,1,0.025641
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_STRESS_4000,bruchuebergang,1,0.025641
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_SOL_QUIET_4000,rekoppelnd_stabil,10,0.526316
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_SOL_QUIET_4000,rekoppelnd_offen,7,0.368421
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_SOL_QUIET_4000,bruchuebergang,1,0.052632
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_SOL_QUIET_4000,druckuebergang,1,0.052632
