family,candidate_class,relation,distance_to_dio_00ly,distance_to_dio_104t,axis_distance,between_balance,between_closeness,support,event_support,between_score,tragend_events,kipp_events,tragend_worlds,kipp_worlds,rekopplung_gap,strain_gap,tension_gap
dio_0g2r,bekannte_karte,candidate,0.026571,0.021603,0.034961,0.896875,0.311026,0.937500,0.633333,0.658390,38,38,6,9,0.036675,0.033736,0.020443
dio_1ewh,bekannte_karte,candidate,0.032132,0.017642,0.034961,0.708900,0.288148,1.000000,1.000000,0.648967,112,22,11,5,0.033731,0.029657,0.022794
dio_0n0i,schwacher_kontakt,candidate,0.570280,0.561485,0.034961,0.992230,0.000000,0.812500,1.000000,0.619155,324,2,11,2,0.134748,0.182183,0.412453
dio_03uk,schwacher_kontakt,candidate,0.667632,0.661044,0.034961,0.995042,0.000000,0.562500,1.000000,0.582640,413,2,8,1,0.177719,0.222664,0.449679
dio_0pxr,schwacher_kontakt,candidate,0.056721,0.049815,0.034961,0.935177,0.000000,0.687500,1.000000,0.580437,2,202,1,10,0.035156,0.035108,0.018862
dio_0dd2,schwacher_kontakt,candidate,0.013763,0.036433,0.034961,0.548374,0.282117,0.750000,1.000000,0.553172,271,2,11,1,0.055270,0.026702,0.016839
dio_1lsu,schwacher_kontakt,candidate,0.063175,0.043597,0.034961,0.816635,0.000000,0.687500,1.000000,0.538947,4,151,2,9,0.030981,0.032858,0.039641
dio_1o4z,neuer_lokaler_brueckenkandidat,candidate,0.023052,0.027567,0.034961,0.910810,0.276069,0.625000,0.166667,0.534158,5,15,3,7,0.041878,0.038969,0.018474
dio_00ja,schwacher_kontakt,candidate,0.047528,0.028986,0.034961,0.757669,0.000000,0.625000,1.000000,0.508934,3,229,1,9,0.021970,0.026150,0.022178
dio_0pq6,neuer_starker_brueckenkandidat,candidate,0.024587,0.031849,0.034961,0.871313,0.192866,0.625000,0.283333,0.508713,10,24,4,6,0.049771,0.050905,0.025721
dio_17ct,bekannte_karte,candidate,0.070558,0.051744,0.034961,0.846163,0.000000,0.750000,0.650000,0.506157,52,26,9,3,0.028229,0.031514,0.037242
dio_0fe7,schwacher_kontakt,candidate,0.021625,0.038103,0.034961,0.724110,0.145793,0.687500,0.591667,0.496341,67,4,9,2,0.059301,0.036371,0.034505
dio_0ein,schwacher_kontakt,candidate,0.077393,0.076013,0.034961,0.991005,0.000000,0.625000,0.366667,0.495602,43,1,9,1,0.025048,0.036086,0.006735
dio_161t,neuer_lokaler_brueckenkandidat,candidate,0.080935,0.080035,0.034961,0.994411,0.000000,0.750000,0.233333,0.495544,8,20,4,8,0.029931,0.031652,0.013162
dio_155c,bekannte_karte,candidate,0.062266,0.042799,0.034961,0.814713,0.000000,0.812500,0.525000,0.485775,35,28,7,6,0.027892,0.037730,0.027556
dio_00ly,neuer_starker_brueckenkandidat,axis_a_dio_00ly,0.000000,0.034961,0.034961,0.000000,0.500000,1.000000,1.000000,0.475000,474,12,11,6,0.057811,0.034296,0.020439
dio_1gp2,bekannte_karte,candidate,0.042117,0.020839,0.034961,0.662017,0.099632,0.937500,0.441667,0.473452,27,26,9,6,0.025491,0.032411,0.026147
dio_16mm,schwacher_kontakt,candidate,0.153211,0.150909,0.034961,0.992431,0.000000,0.625000,0.116667,0.458601,12,2,8,2,0.043614,0.060474,0.073813
dio_1t33,schwacher_kontakt,candidate,0.393895,0.384978,0.034961,0.988552,0.000000,0.625000,0.083333,0.452243,8,2,8,2,0.051830,0.103233,0.220820
dio_0z9t,neuer_lokaler_brueckenkandidat,candidate,0.045800,0.042425,0.034961,0.961743,0.000000,0.562500,0.208333,0.452235,6,19,3,6,0.052541,0.031904,0.029975
dio_0tay,schwacher_kontakt,candidate,0.008751,0.035728,0.034961,0.393508,0.363875,0.687500,0.558333,0.451959,66,1,10,1,0.058925,0.035560,0.023996
dio_104t,neuer_lokaler_brueckenkandidat,axis_b_dio_104t,0.034961,0.000000,0.034961,0.000000,0.500000,0.812500,1.000000,0.446875,342,6,11,2,0.037638,0.034150,0.033094
dio_07uk,neuer_lokaler_brueckenkandidat,candidate,0.060748,0.065467,0.034961,0.962609,0.000000,0.562500,0.166667,0.446288,8,12,3,6,0.062955,0.041672,0.038035
dio_06jk,schwacher_kontakt,candidate,0.067031,0.052284,0.034961,0.876400,0.000000,0.562500,0.308333,0.437365,1,36,1,8,0.037769,0.028905,0.051996
dio_1puk,schwacher_kontakt,candidate,0.424427,0.417213,0.034961,0.991428,0.000000,0.500000,0.083333,0.434500,8,2,6,2,0.074947,0.126997,0.230690
dio_1c94,schwacher_kontakt,candidate,0.332180,0.323502,0.034961,0.986765,0.000000,0.500000,0.083333,0.432868,8,2,6,2,0.057846,0.111714,0.204958
dio_0jb8,schwacher_kontakt,candidate,0.306400,0.296763,0.034961,0.984022,0.000000,0.500000,0.083333,0.431908,6,4,4,4,0.033492,0.077119,0.167598
dio_0bu4,schwacher_kontakt,candidate,0.181026,0.174272,0.034961,0.980992,0.000000,0.500000,0.083333,0.430847,6,4,4,4,0.041319,0.047580,0.111202
dio_0f4r,schwacher_kontakt,candidate,0.062029,0.064272,0.034961,0.982240,0.000000,0.375000,0.150000,0.422534,14,4,4,2,0.059126,0.048651,0.042428
dio_06qi,schwacher_kontakt,candidate,0.036016,0.041169,0.034961,0.933250,0.000000,0.500000,0.133333,0.421638,2,14,1,7,0.052479,0.034739,0.029182
dio_1w94,schwacher_kontakt,candidate,0.244931,0.241342,0.034961,0.992620,0.000000,0.375000,0.108333,0.419917,9,4,3,3,0.102189,0.115071,0.170017
dio_0sn8,schwacher_kontakt,candidate,0.174973,0.174217,0.034961,0.997835,0.000000,0.375000,0.083333,0.417992,8,2,4,2,0.049997,0.071827,0.067371
dio_1xrt,neuer_lokaler_brueckenkandidat,candidate,0.028908,0.051252,0.034961,0.721255,0.000000,0.625000,0.466667,0.416189,50,6,7,3,0.051552,0.039176,-0.000175
dio_0jqc,neuer_lokaler_brueckenkandidat,candidate,0.047374,0.056214,0.034961,0.914666,0.000000,0.500000,0.133333,0.415133,8,8,3,5,0.060886,0.031640,0.021913
dio_1iw7,schwacher_kontakt,candidate,0.215862,0.215522,0.034961,0.999211,0.000000,0.375000,0.050000,0.413474,2,4,2,4,0.053678,0.057198,0.053020
dio_1sa0,neuer_lokaler_brueckenkandidat,candidate,0.061265,0.050086,0.034961,0.899609,0.000000,0.437500,0.216667,0.412988,6,20,2,5,0.036731,0.035846,0.035003
dio_0obq,neuer_lokaler_brueckenkandidat,candidate,0.075186,0.060648,0.034961,0.892972,0.000000,0.500000,0.166667,0.412540,10,10,4,4,0.020465,0.025194,0.021595
dio_1gp7,schwacher_kontakt,candidate,0.337784,0.330484,0.034961,0.989076,0.000000,0.375000,0.050000,0.409927,2,4,2,4,0.055612,0.086945,0.171010
dio_00cy,schwacher_kontakt,candidate,0.229653,0.226769,0.034961,0.993679,0.000000,0.312500,0.100000,0.409663,10,2,3,2,0.102613,0.117304,0.154960
dio_1j8g,schwacher_kontakt,candidate,0.587119,0.573503,0.034961,0.988269,0.000000,0.375000,0.050000,0.409644,4,2,4,2,0.028213,0.118660,0.384908
dio_0iy3,schwacher_kontakt,candidate,0.258116,0.249707,0.034961,0.983442,0.000000,0.375000,0.050000,0.407955,4,2,4,2,0.035556,0.061357,0.132023
dio_1yme,schwacher_kontakt,candidate,0.046360,0.044292,0.034961,0.977186,0.000000,0.312500,0.083333,0.401390,4,6,2,3,0.048017,0.043967,0.033924
dio_03la,schwacher_kontakt,candidate,0.565119,0.553067,0.034961,0.989222,0.000000,0.250000,0.050000,0.391228,4,2,2,2,0.054612,0.141315,0.365557
dio_0enw,schwacher_kontakt,candidate,0.342707,0.334685,0.034961,0.988157,0.000000,0.250000,0.050000,0.390855,4,2,2,2,0.054409,0.106229,0.191913
dio_1c2e,schwacher_kontakt,candidate,0.418355,0.413932,0.034961,0.994686,0.000000,0.250000,0.033333,0.390640,2,2,2,2,0.110074,0.159968,0.218863
dio_00lw,schwacher_kontakt,candidate,0.581889,0.575381,0.034961,0.994376,0.000000,0.250000,0.033333,0.390532,2,2,2,2,0.110063,0.192798,0.324020
dio_14rw,schwacher_kontakt,candidate,0.622582,0.615586,0.034961,0.994350,0.000000,0.250000,0.033333,0.390523,2,2,2,2,0.133788,0.213029,0.393168
