world,candles,raw_top_windows,fixed_capture,relative_capture,fixed_lift,relative_lift,fixed_top_mean,relative_top_mean,fixed_all_mean,relative_all_mean,top_kipp_share,all_kipp_share,state,class_state
SOL_2024_5M_2K,2000,200,0.99,0.99,2.0363582406375262,2.0829189119251477,0.6426841840479098,0.45233232394315104,0.31560467663425645,0.21716271399402712,0.41836734693877553,0.04663991975927784,bruch_erhalten,kippnaehe_lokal_sichtbar
SOL_2024_1H_2K,2000,200,0.835,0.965,1.5753764620724569,2.0888986455911995,0.7893252489689937,0.4291550122730048,0.5010391280891754,0.20544558884116917,0.375,0.04262788365095286,bruch_erhalten,kippnaehe_lokal_sichtbar
BTC_2024_5M_2K,2000,200,0.97,0.995,2.164897448376467,2.1913123053315853,0.48361753432265564,0.43696778294164573,0.2233905050261561,0.1994091768108447,0.3383838383838384,0.03911735205616851,bruch_erhalten,kippnaehe_lokal_sichtbar
BTC_2024_1H_2K,2000,200,0.95,0.99,2.0037440283393515,2.30341228938096,0.7535749388390155,0.44743188756746327,0.3760834358985254,0.19424741703002296,0.405,0.04914744232698094,bruch_erhalten,kippnaehe_lokal_sichtbar
