pair,worlds,passive_qualities,top_passive_quality,top_share,events,quality_profile
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,10,3,fragmentiert,0.452055,73,fragmentiert:33; offen_driftend:25; breit_driftend:15
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,9,3,offen_driftend,0.794872,78,offen_driftend:62; fragmentiert:9; breit_driftend:7
