after_hits;avg_afterimage;avg_carry;avg_hearing_gap;avg_hearing_stimulation;avg_rekopplung;avg_strain;avg_trust;avg_visual_gap;before_hits;bridge_role;dominant_class;dominant_inner_state;family;family_ticks_total;fieldtime_embedding;group_count;groups;neighbor_hits;selected_neighbors;stable_bridge_count;stable_share;target_avg_strain;target_avg_trust;target_dominant_class;target_embedding;target_family;target_ticks;total_neighbor_hits;type;unique_mcm_episodes;unrest_neighbor_count;unrest_share
;;;;;;;;;;;;;;;;;;;12;8;;0.17630298305084746;0.689335620338983;tragend_unruhig;0.6975281677966101;dio_1v2w;295;590;target_summary;;3;
22;0.35916444027565086;0.5623755980091883;0.123041134762634;0.24330576684532926;0.716110267611026;0.1554488472434916;0.8172482538284839;0.1315649808575804;5;stabile_bruecke;stabil;inner_effect_stable;dio_155c;2612;0.7779957438361408;3;lang_10k:18,asset_mixed_2k:5,kurz_2k:4;27;;;0.9808575803981623;;;;;;;;neighbor_summary;1;;0.01914241960183767
16;0.33751960378169316;0.5561423240223464;0.11906587107864203;0.23374374645466264;0.7089970077352815;0.16391623506660938;0.8097980356682424;0.21119212376450366;7;stabile_bruecke;stabil;inner_effect_stable;dio_0m9z;2327;0.7701819813064031;3;lang_10k:14,asset_mixed_2k:5,kurz_2k:4;23;;;0.7430167597765364;;;;;;;;neighbor_summary;3;;0.2569832402234637
5;0.13952853402061857;0.5210278103092784;0.11719457731958763;0.23948386391752577;0.6847531525773196;0.17919935463917525;0.7210054103092784;0.3374147092783505;11;randnahe_unruhe;tragend_unruhig;inner_effect_carried_unrest;dio_0jkk;485;0.7107358960824743;3;lang_10k:11,kurz_2k:3,asset_mixed_2k:2;16;;;0.010309278350515464;;;;;;;;neighbor_summary;1;;0.9896907216494846
9;0.1380823235908142;0.5250318204592902;0.12050313152400836;0.2390749770354906;0.6882870542797495;0.17600751565762002;0.7195388413361169;0.32113637578288096;5;randnahe_unruhe;tragend_unruhig;inner_effect_carried_unrest;dio_05yg;479;0.7113314217118998;3;lang_10k:10,asset_mixed_2k:3,kurz_2k:1;14;;;0.008350730688935281;;;;;;;;neighbor_summary;1;;0.9916492693110647
11;0.2145851602002503;0.5423652790988736;0.052931344180225284;0.13383789236545682;0.7007697509386733;0.16135588610763454;0.757846719649562;0.3364435419274093;3;randnahe_unruhe;tragend_unruhig;inner_effect_carried_unrest;dio_00ja;799;0.7372871301001251;3;lang_10k:12,asset_mixed_2k:1,kurz_2k:1;14;;;0.27909887359199;;;;;;;;neighbor_summary;1;;0.72090112640801
9;0.15776087108655618;0.5427401546961326;0.04854728729281768;0.12907889134438305;0.7079105930018416;0.14699239042357273;0.7318575046040515;0.24618768139963168;4;stabile_bruecke;stabil;inner_effect_stable;dio_0g2r;543;0.7257013616942909;3;lang_10k:9,asset_mixed_2k:2,kurz_2k:2;13;;;0.9060773480662984;;;;;;;;neighbor_summary;1;;0.09392265193370165
8;0.28782482624768946;0.5670652341343191;0.07012117313616759;0.1510651404805915;0.7244092988293285;0.13823860382008626;0.7937612649414665;0.14581008934072706;5;stabile_bruecke;stabil;inner_effect_stable;dio_0h9h;1623;0.765606073629082;3;lang_10k:5,asset_mixed_2k:4,kurz_2k:4;13;;;1.0;;;;;;;;neighbor_summary;1;;0.0
2;0.06768956862745097;0.5161473382352941;0.12399591666666666;0.2446271176470588;0.6913296911764707;0.16286599019607845;0.6524332549019608;0.2257746225490196;11;unbestimmt;stabil;inner_effect_stable;dio_0pxr;204;0.6846468083333334;3;lang_10k:10,kurz_2k:2,asset_mixed_2k:1;13;;;0.5147058823529411;;;;;;;;neighbor_summary;1;;0.4852941176470588
7;0.20783394008264464;0.559928694214876;0.06844080475206611;0.14722548863636364;0.72215151446281;0.13583143285123966;0.7626425857438016;0.14891661053719008;4;stabile_bruecke;stabil;inner_effect_stable;dio_00ly;968;0.7456330609504133;3;asset_mixed_2k:5,lang_10k:5,kurz_2k:1;11;;;1.0;;;;;;;;neighbor_summary;1;;0.0
7;0.1960058549222798;0.5438555699481865;0.05257227461139897;0.13435476856649395;0.7070978428324698;0.14929198445595857;0.742417597582038;0.2513251744386874;4;stabile_bruecke;stabil;inner_effect_stable;dio_1gp2;579;0.7335992696027633;3;lang_10k:5,asset_mixed_2k:3,kurz_2k:3;11;;;0.8635578583765112;;;;;;;;neighbor_summary;1;;0.13644214162348878
5;0.0895106235741445;0.5301300760456273;0.06292925095057034;0.14383434980988594;0.7022931026615971;0.1483824486692015;0.6743344106463879;0.2527943992395437;5;stabile_bruecke;stabil;inner_effect_stable;dio_0pq6;263;0.6983103087452471;1;lang_10k:10;10;;;0.7718631178707225;;;;;;;;neighbor_summary;1;;0.22813688212927757
8;0.42790120604099247;0.5724131885113269;0.06541261299892125;0.1436208104099245;0.7224461739482201;0.148518155609493;0.8390560674217907;0.20632133333333333;1;stabile_bruecke;stabil;inner_effect_stable;dio_104t;3708;0.7960932874190939;2;lang_10k:8,kurz_2k:1;9;;;0.9854368932038835;;;;;;;;neighbor_summary;1;;0.014563106796116505
