pair,events,worlds,quality_count,top_quality,top_share,drift_quality
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,9,2,5,druckuebergang,0.333333,breit_driftend
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,7,2,2,rekoppelnd_stabil,0.714286,eng_getragen
