axis,source_state,target_state,source_role,target_role,edge_count,weighted_edges,source_node_count,target_node_count,avg_rekopplung_delta_weighted,avg_strain_delta_weighted,examples,rank
fragment_belastet->fragment_belastet,netz_fragmentiert_belastet,netz_fragmentiert_belastet,fragment_belastet,fragment_belastet,36,242,22,16,0.013033702479338842,-0.01581271074380165,0e7qvj1->18l3thm:18 | 0e7qvj1->0mji3u6:18 | 0e7qvj1->14coypf:16 | 18l3thm->0e7qvj1:18,1
offen->fragment_belastet,netz_offen_verbunden,netz_fragmentiert_belastet,offen,fragment_belastet,22,116,20,10,-0.004313258620689656,0.0052833189655172455,1jwnjz4->0e7qvj1:10 | 1jwnjz4->14coypf:6 | 1q3us3f->0e7qvj1:10 | 1q3us3f->18l3thm:8,2
fragment_belastet->zentrum_anschluss,netz_fragmentiert_belastet,netz_zentrum_mit_anschluss,fragment_belastet,zentrum_anschluss,14,74,12,7,0.027824783783783783,-0.01809718918918919,0e7qvj1->1hdpu9s:10 | 1joiyc3->1jx2k4i:8 | 0ybr5e3->0b7nep9:8 | 0ybr5e3->1xx3u1e:6,3
offen->offen,netz_offen_verbunden,netz_offen_verbunden,offen,offen,23,70,15,14,0.000650685714285715,-0.0005448000000000022,1q3us3f->1hs3jsa:6 | 1q3us3f->14l8khu:1 | 14l8khu->0v5p8er:6 | 14l8khu->1q3us3f:1,4
fragment_belastet->offen,netz_fragmentiert_belastet,netz_offen_verbunden,fragment_belastet,offen,12,65,9,11,0.02217449230769231,-0.03164849230769231,0e7qvj1->1jwnjz4:10 | 18l3thm->1q3us3f:8 | 0mji3u6->0d40zcv:4 | 14coypf->14l8khu:8,5
zentrum_anschluss->fragment_belastet,netz_zentrum_mit_anschluss,netz_fragmentiert_belastet,zentrum_anschluss,fragment_belastet,11,65,7,9,-0.02133784615384615,0.009675584615384616,1hdpu9s->0e7qvj1:10 | 0b7nep9->0ybr5e3:8 | 0ykar6i->0ybr5e3:6 | 0ykar6i->1qqnvqf:3,6
drift_getragen->fragment_belastet,netz_driftend_getragen,netz_fragmentiert_belastet,drift_getragen,fragment_belastet,11,57,10,6,-0.06173022807017545,0.03749456140350877,1ahj81f->1joiyc3:6 | 0z748ck->0e7qvj1:6 | 0qzjuvj->0jbl5pq:10 | 0db07p4->1joiyc3:10,7
rekoppelnd->rekoppelnd,netz_rekoppelnd_verbunden,netz_rekoppelnd_verbunden,rekoppelnd,rekoppelnd,19,56,15,12,-0.0033327142857142882,0.006780357142857143,0om13wf->0y1i8dq:6 | 0om13wf->0ybhu2p:4 | 0om13wf->1i31hl0:3 | 0om13wf->0qhs6nb:2,8
drift_getragen->zentrum_anschluss,netz_driftend_getragen,netz_zentrum_mit_anschluss,drift_getragen,zentrum_anschluss,10,45,7,6,-0.018015088888888888,0.0121238,1ahj81f->1jx2k4i:2 | 0qzjuvj->0hjnwsk:9 | 0geqqo3->0ykar6i:6 | 0geqqo3->1xx3u1e:6,9
fragment_belastet->drift_getragen,netz_fragmentiert_belastet,netz_driftend_getragen,fragment_belastet,drift_getragen,8,43,5,7,0.0572726976744186,-0.03422927906976745,1joiyc3->0db07p4:10 | 1joiyc3->1ahj81f:6 | 0jbl5pq->0qzjuvj:10 | 0jbl5pq->0lne9ax:5,10
drift_getragen->drift_getragen,netz_driftend_getragen,netz_driftend_getragen,drift_getragen,drift_getragen,12,40,10,8,-0.0017471999999999998,0.0019560750000000007,0z748ck->0qzjuvj:6 | 0z748ck->0ac3vc1:1 | 0qzjuvj->0z748ck:6 | 0db07p4->0nuo9k1:2,11
rekoppelnd->zentrum_anschluss,netz_rekoppelnd_verbunden,netz_zentrum_mit_anschluss,rekoppelnd,zentrum_anschluss,9,38,8,5,-0.020896026315789473,0.02529294736842105,1eju9g0->0b7nep9:8 | 1eju9g0->17c7qwp:2 | 077r0df->1xx3u1e:6 | 0i7gfxw->0hjnwsk:5,12
zentrum_anschluss->drift_getragen,netz_zentrum_mit_anschluss,netz_driftend_getragen,zentrum_anschluss,drift_getragen,8,38,5,7,0.017938947368421054,-0.008268473684210527,0ykar6i->0geqqo3:6 | 0ykar6i->1pmt8u2:3 | 1jx2k4i->1ahj81f:2 | 1jx2k4i->0dgle71:2,13
offen->zentrum_anschluss,netz_offen_verbunden,netz_zentrum_mit_anschluss,offen,zentrum_anschluss,8,33,7,4,0.032917030303030295,-0.03923809090909091,0w4x7xs->0b7nep9:8 | 0w4x7xs->1xx3u1e:3 | 01s42m6->0b7nep9:8 | 0ldht3x->0l3i7ey:3,14
zentrum_anschluss->zentrum_anschluss,netz_zentrum_mit_anschluss,netz_zentrum_mit_anschluss,zentrum_anschluss,zentrum_anschluss,3,33,3,2,-0.006097272727272727,0.00524969696969697,0b7nep9->0ykar6i:14 | 0ykar6i->0b7nep9:14 | 17c7qwp->0b7nep9:5,15
rekoppelnd->drift_getragen,netz_rekoppelnd_verbunden,netz_driftend_getragen,rekoppelnd,drift_getragen,8,31,6,6,-0.002044774193548387,0.009114774193548388,1al8fjz->1k0rrn2:8 | 1al8fjz->1y2gc2i:4 | 1al8fjz->0393v08:4 | 1n9f8vr->0z748ck:1,16
drift_getragen->rekoppelnd,netz_driftend_getragen,netz_rekoppelnd_verbunden,drift_getragen,rekoppelnd,8,30,7,6,0.0040307,-0.007130966666666666,0z748ck->1n9f8vr:1 | 0qzjuvj->080f74u:5 | 05lquqm->0dxi31r:3 | 05lquqm->1a9sbfi:3,17
zentrum_anschluss->rekoppelnd,netz_zentrum_mit_anschluss,netz_rekoppelnd_verbunden,zentrum_anschluss,rekoppelnd,7,30,5,6,0.019609099999999997,-0.0236504,0b7nep9->1eju9g0:8 | 1xx3u1e->077r0df:6 | 0hjnwsk->0i7gfxw:5 | 0hjnwsk->0htnihj:4,18
