world,group,asset,run_dir,candles,unique_symbols,unique_families,adaptive_rekopplung,rekopplung,strain,afterimage,temporal_trust,temporal_caution,sensory_coupling,role_entropy,milieu_entropy,episode_rows,meaning_breadth,role_variance,fieldtime_pressure,nullwelt_abstand,maturity_pressure,dominant_reifezustand,druck_jung,druck_schmal_stabil,druck_breit_getragen,druck_nachhallend_offen,druck_nullweltnah,druck_feldzeit_reif
BTC_2024_5M_10K,realwelt_2024,BTC,debug/cross_anchor_btc2024_5m_10k/dio_mini_lauf_1,10000.0,689.0,685.0,0.7040552887941834,0.7040552887941834,0.15699830008635107,0.18245318175869418,0.7040067897208142,0.19146807549729544,0.8443860449328731,0.7188743803274871,0.7188743803274871,9994.0,1.0,0.5935834633127659,0.5649972986607376,0.94307080671788,0.7747847595665359,feldzeit_reif,0.43500270133926244,0.7040552887941834,2.2976387521069492,0.8617890303171205,0.05692919328211998,3.2744035478638662
DOGE_2024_5M_10K,realwelt_2024,DOGE,debug/doge_2024_5m_10k/dio_mini_lauf_1,10000.0,685.0,679.0,0.70407450005791,0.70407450005791,0.1572190896410956,0.18016839958422656,0.7038258273822515,0.19202811108319184,0.8443049110709775,0.7395257753659743,0.7395257753659743,9994.0,0.9927176803364657,0.6106355755101723,0.5639887052944287,1.0,0.7856995619263135,feldzeit_reif,0.44329361436910564,0.7113568197214443,2.307427755904548,0.8765888127130492,0.00728231966353432,3.391171328533207
PAXG_2024_5M_10K,realwelt_2024,PAXG,debug/paxg_2024_5m_10k/dio_mini_lauf_1,10000.0,528.0,527.0,0.7139043528075738,0.7139043528075738,0.15251001827615038,0.19283926434221837,0.7217716221367724,0.1816934098444956,0.8548571268397741,0.5688414427932769,0.5688414427932769,9994.0,0.7678355386522306,0.46969941192680065,0.5776391588781651,0.5229275985571936,0.6499160070909689,feldzeit_reif,0.6545253024696043,0.9460688141553432,1.9514393033866049,1.0446533261893347,0.7092368627905757,2.1065956664812133
XRP_2024_5M_10K,realwelt_2024,XRP,debug/xrp_2024_5m_10k/dio_mini_lauf_1,10000.0,685.0,680.0,0.7046211057973504,0.7046211057973504,0.1566506557573314,0.18025042495748328,0.7041675802667693,0.19203610069832658,0.8448168598728355,0.7401000895651524,0.7401000895651524,9994.0,0.9934476073437649,0.611109793844706,0.564127301508642,0.7449164348005944,0.743595264589621,feldzeit_reif,0.4424250911475931,0.7111734984535855,2.3091785069858215,0.87623459108723,0.26163595785564064,2.8162449973778894
BTC_NULL_RANDOM_SIGN_2024_5M_10K,nullwelt_10k,BTC,debug/1835_null_random_sign_10k/dio_mini_lauf_1,10000.0,663.0,657.0,0.7465593721754089,0.7106066451992764,0.16885208930280382,0.6592495834055041,0.8203799833305847,0.17811126849536396,0.8456776075085224,0.06864283411108046,1.3652607748955496,9994.0,0.9606941192673186,0.4790037302195058,0.7671727660802415,0.0932428052376914,0.6463034506128937,breit_getragen,0.27213311465243983,0.7858652529080903,2.1862572216622334,1.045980511922676,0.9460630754949899,1.4679355743667286
BTC_NULL_SHUFFLE_2024_5M_10K,nullwelt_10k,BTC,debug/1835_null_shuffle_10k/dio_mini_lauf_1,10000.0,587.0,583.0,0.7431198613246055,0.7082211903206649,0.17180263163155501,0.6714361568220486,0.8289975234556749,0.17636856968347242,0.8417422462774388,0.0693341063056268,1.5350967808698786,9994.0,0.8515271259521362,0.5346670531528134,0.7746883701980837,4.200753654968798e-05,0.6220402977554389,breit_getragen,0.3737845038497801,0.8915927353724693,2.129314040429555,1.190494770822354,1.148430866511314,1.1847672086790402
DOGE_NULL_RANDOM_SIGN_2024_5M_10K,nullwelt_10k,DOGE,debug/1836_doge_null_random_sign_10k/dio_mini_lauf_1,10000.0,652.0,648.0,0.7458183981804622,0.7112753315903907,0.16869596190404756,0.664212042189899,0.8229389881718248,0.17713212478079218,0.8465316159920002,0.061628709043372296,1.294170630515372,9994.0,0.9461421927473436,0.4523417287703692,0.7700063018603105,0.09151773728072304,0.6395217328225268,breit_getragen,0.28385150539234594,0.7996762054331187,2.144302319698175,1.0500349734981516,0.9623400699719334,1.4562970856820787
DOGE_NULL_SHUFFLE_2024_5M_10K,nullwelt_10k,DOGE,debug/1836_doge_null_shuffle_10k/dio_mini_lauf_1,10000.0,577.0,574.0,0.7442176434441589,0.709575958691242,0.17030535329806273,0.6757756815497038,0.8315384863627884,0.1753875602735698,0.8431961834197249,0.07344561685979248,1.4175786042959415,9994.0,0.837700888837096,0.49844568543725204,0.7773088692129742,0.0007180951163938441,0.614680971458302,breit_getragen,0.3849902419499298,0.9065167546070628,2.080364217718507,1.1888308230945042,1.16158101604651,1.1813078504225902
PAXG_NULL_RANDOM_SIGN_2024_5M_10K,nullwelt_10k,PAXG,debug/1836_paxg_null_random_sign_10k/dio_mini_lauf_1,10000.0,525.0,521.0,0.7494739215739035,0.7151343092705871,0.16536933747479166,0.6845201384219152,0.838365619161542,0.17184008301781187,0.8542102955150577,0.031145821498113672,1.3215301995169675,9994.0,0.7612789083936309,0.4460116348691441,0.7836818915218817,0.05465756029849368,0.6049557631970437,breit_getragen,0.4550392000844874,0.9881950131802726,1.9567644648366784,1.245408800562823,1.1840635313078756,1.2726255648854734
PAXG_NULL_SHUFFLE_2024_5M_10K,nullwelt_10k,PAXG,debug/1836_paxg_null_shuffle_10k/dio_mini_lauf_1,10000.0,480.0,477.0,0.7491220370916577,0.7134736266592865,0.16616536029623416,0.6928558480936718,0.8433719339014161,0.17318697971326732,0.8530330979977436,0.025224833389736585,1.3356931356507449,9994.0,0.696506096850402,0.44766418421074455,0.7876802674272735,0.0,0.5858012042139739,breit_getragen,0.5158136357223245,1.0526159402412558,1.8932923181528043,1.3150062626822436,1.303493903149598,1.1166542006846665
