token,world,tick,prev_token,next_token,prev_role,current_role,next_role,prev_same,next_same,prev_next_pair,current_rekopplung,prev_rekopplung,next_rekopplung,current_strain,prev_strain,next_strain,current_loudness,prev_loudness,next_loudness,current_blur,prev_blur,next_blur,current_tension,prev_tension,next_tension
dio_mcm_episode_00i7zy5,DOGE_2024_5M,2,dio_mcm_episode_1yzsm16,dio_mcm_episode_0u69u6w,zentrum_stabil,zentrum_stabil,zentrum_stabil,0,0,dio_mcm_episode_1yzsm16->dio_mcm_episode_0u69u6w,0.667035,0.66426,0.707045,0.159549,0.168327,0.117763,0.129712,0.279338,0.127775,0.396963,0.204667,0.30755,0.0806,0.139617,0.066306
dio_mcm_episode_00i7zy5,KAS_2024_5M,2,dio_mcm_episode_1yzsm16,dio_mcm_episode_0393v08,zentrum_stabil,zentrum_stabil,zentrum_stabil,0,0,dio_mcm_episode_1yzsm16->dio_mcm_episode_0393v08,0.66325,0.667605,0.652147,0.172877,0.16388,0.177714,0.263717,0.253896,0.146814,0.191679,0.199614,0.441376,0.132544,0.127437,0.088121
dio_mcm_episode_00i7zy5,PAXG_2024_5M,1,-,dio_mcm_episode_0krixak,-,zentrum_stabil,zentrum_stabil,0,0,-->dio_mcm_episode_0krixak,0.669729,0.0,0.693899,0.156955,0.0,0.127115,0.156954,0.0,0.033773,0.342835,0.0,0.18862,0.088834,0.0,0.023728
dio_mcm_episode_00i7zy5,SOL_2024_5M,2,dio_mcm_episode_09liv43,dio_mcm_episode_0393v08,zentrum_stabil,zentrum_stabil,zentrum_stabil,0,0,dio_mcm_episode_09liv43->dio_mcm_episode_0393v08,0.688402,0.653841,0.660289,0.136888,0.178226,0.170934,0.108493,0.311679,0.275774,0.17661,0.361401,0.340398,0.052991,0.16098,0.135044
dio_mcm_episode_00yl137,BTC_2024_5M,1180,dio_mcm_episode_00er6t0,dio_mcm_episode_0ultars,offene_variante,zentrum_stabil,zentrum_stabil,0,0,dio_mcm_episode_00er6t0->dio_mcm_episode_0ultars,0.704109,0.673683,0.697816,0.11954,0.186512,0.148896,0.140799,0.136687,0.277244,0.334732,0.629538,0.348802,0.080086,0.08965,0.134561
dio_mcm_episode_00yl137,XRP_2024_5M,1180,dio_mcm_episode_00oqshz,dio_mcm_episode_00yl137,offene_variante,zentrum_stabil,zentrum_stabil,0,1,dio_mcm_episode_00oqshz->dio_mcm_episode_00yl137,0.701604,0.663834,0.706661,0.122904,0.168885,0.132016,0.172292,0.10822,0.147301,0.327381,0.610145,0.339285,0.093073,0.08,0.081408
dio_mcm_episode_00yl137,XRP_2024_5M,1181,dio_mcm_episode_00yl137,dio_mcm_episode_00dz86x,zentrum_stabil,zentrum_stabil,offene_variante,1,0,dio_mcm_episode_00yl137->dio_mcm_episode_00dz86x,0.706661,0.701604,0.664462,0.132016,0.122904,0.165176,0.147301,0.172292,0.102111,0.339285,0.327381,0.690808,0.081408,0.093073,0.081294
dio_mcm_episode_00yl137,XRP_2025_5M,5465,dio_mcm_episode_0ultars,dio_mcm_episode_0tv1tha,offene_variante,spannungsrand_kippnaehe,offene_variante,0,0,dio_mcm_episode_0ultars->dio_mcm_episode_0tv1tha,0.572982,0.664048,0.615494,0.291499,0.178169,0.230417,0.734374,0.078105,0.314289,0.454717,0.643136,0.764391,0.311249,0.070598,0.160461
dio_mcm_episode_02ujuqf,PAXG_2025_5M,8204,dio_mcm_episode_0jwgafx,dio_mcm_episode_02ujuqf,zentrum_stabil,zentrum_stabil,zentrum_stabil,0,1,dio_mcm_episode_0jwgafx->dio_mcm_episode_02ujuqf,0.742187,0.752393,0.766406,0.124297,0.13077,0.130353,0.036414,0.042118,0.036625,0.297949,0.39281,0.303133,0.028373,0.040688,0.028676
dio_mcm_episode_02ujuqf,PAXG_2025_5M,8205,dio_mcm_episode_02ujuqf,dio_mcm_episode_02ujuqf,zentrum_stabil,zentrum_stabil,zentrum_stabil,1,1,dio_mcm_episode_02ujuqf->dio_mcm_episode_02ujuqf,0.766406,0.742187,0.774034,0.130353,0.124297,0.116161,0.036625,0.036414,0.026417,0.303133,0.297949,0.189617,0.028676,0.028373,0.021052
