symbol_family,origin_present_in,origin_xrp_events,origin_multi_events,origin_xrp_field,origin_multi_field,follow_events,follow_labels,follow_field,follow_reifung,follow_status,follow_mcm
dio_18i0,xrp_only,36,0,offene_rekopplung,-,34,xrp2025_1h:2;xrp2024_1h:2,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.389/0.281/0.596
dio_02n9,xrp_only,26,0,offene_rekopplung,-,32,xrp2025_1h:1;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.430/0.254/0.622
dio_1yhs,xrp_only,50,0,tragende_rekopplung,-,32,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.485/0.170/0.683
dio_0ixk,xrp_only,22,0,tragende_rekopplung,-,30,xrp2025_1h:2;xrp2024_1h:2,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.419/0.228/0.636
dio_0l2q,xrp_only,34,0,tragende_rekopplung,-,30,xrp2024_1h:2;xrp2025_1h:2,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.430/0.224/0.632
dio_158y,xrp_only,18,0,tragende_rekopplung,-,26,xrp2024_1h:2;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.409/0.229/0.633
dio_08zr,xrp_only,18,0,offene_rekopplung,-,24,xrp2025_1h:2;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.416/0.252/0.619
dio_02a1,xrp_only,20,0,offene_rekopplung,-,20,xrp2024_1h:2;xrp2025_1h:2,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.385/0.277/0.600
dio_0lil,xrp_only,14,0,offene_rekopplung,-,20,xrp2025_1h:2;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.401/0.267/0.607
dio_0n8c,xrp_only,20,0,spannungsnahe_oeffnung,-,18,xrp2025_1h:1;xrp2024_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.357/0.339/0.558
dio_18f1,xrp_only,10,0,spannungsnahe_oeffnung,-,18,xrp2024_1h:1;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.358/0.330/0.565
dio_1grk,xrp_only,18,0,tragende_rekopplung,-,18,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.463/0.181/0.671
dio_0e70,xrp_only,6,0,offene_rekopplung,-,16,xrp2025_1h:3;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.379/0.272/0.605
dio_1an1,xrp_only,14,0,spannungsnahe_oeffnung,-,16,xrp2024_1h:2;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.369/0.308/0.580
dio_10yy,xrp_only,14,0,tragende_rekopplung,-,14,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.498/0.123/0.708
dio_00ta,xrp_only,18,0,tragende_rekopplung,-,12,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.436/0.198/0.654
