source,world,pair,ticks,mode,phase_hint,chart_zone,dominant_movement,main_return_pct,main_range_pct,before_return_pct,after_return_pct,pressure_delta_abs_avg,rekopplung_delta_abs_avg,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
LONG_ISOLATION,LONG2025_15M_SOL_STRESS_4000,183drjy->1t5bcxp,134-3979,abverkauf_mit_bruch,fallender_bruch,abverkauf_getragen,bewegungsbruch_zone,-36.805556,42.974387,0.832121,-7.491973,0.06891,0.025024,1,0,0,0,0,0,0
LONG_ISOLATION,LONG2025_5M_SOL_STRESS_4000,183drjy->1t5bcxp,473-3976,abverkauf_mit_bruch,fallender_bruch,abverkauf_getragen,bewegungsbruch_zone,-17.098858,30.533676,-1.29717,-1.697448,0.059726,0.018752,1,0,0,0,0,0,0
ASSET_ZEIT,SOL_2024_30M,183drjy->1t5bcxp,1603-1721,abverkauf_mit_bruch,offenes_familienfenster,abverkauf_getragen,offene_uebergangszone,-3.229713,5.308841,-0.492116,0.34418,0.059744,0.014851,1,0,0,0,0,0,0
ASSET_ZEIT,SOL_2024_30M,1t5bcxp->183drjy,1594-1724,abverkauf_mit_bruch,offenes_familienfenster,abverkauf_getragen,offene_uebergangszone,-5.078792,6.002208,-0.429785,0.412393,0.066932,0.017988,1,0,0,0,0,0,0
LONG_ISOLATION,LONG2024_5M_SOL_STRESS_4000,183drjy->1t5bcxp,2406-3426,abverkauf_mit_rekopplung,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-9.208984,15.273437,0.421651,-1.731555,0.069593,0.027954,1,0,0,0,0,0,0
LONG_ISOLATION,LONG2024_5M_SOL_STRESS_4000,1t5bcxp->183drjy,2404-3477,abverkauf_mit_rekopplung,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-10.795233,19.851504,-0.019533,-0.120469,0.037984,0.010437,1,0,0,0,0,0,0
LONG_ISOLATION,LONG2025_15M_BTC_QUIET_4000,1t5bcxp->183drjy,723-3816,abverkauf_mit_rekopplung,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-3.810866,10.623678,0.327889,-0.013566,0.05156,0.018723,1,0,0,0,0,0,0
LONG_ISOLATION,LONG2025_15M_BTC_STRESS_4000,1t5bcxp->183drjy,894-3647,abverkauf_mit_rekopplung,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-10.193232,22.125853,-0.318111,-0.640661,0.049321,0.016383,1,0,0,0,0,0,0
LONG_ISOLATION,LONG2025_15M_SOL_STRESS_4000,1t5bcxp->183drjy,132-3955,abverkauf_mit_rekopplung,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-36.414755,42.869996,0.921638,-0.856031,0.056836,0.025916,1,0,0,0,0,0,0
LONG_ISOLATION,LONG2025_5M_BTC_STRESS_4000,1t5bcxp->183drjy,2125-3952,abverkauf_mit_rekopplung,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-6.169117,10.763185,-0.697348,0.162612,0.044555,0.015869,1,0,0,0,0,0,0
LONG_ISOLATION,LONG2025_SOL_STRESS_4000,1t5bcxp->183drjy,322-2431,abverkauf_mit_rekopplung,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-37.809187,61.652364,1.377457,-1.034903,0.051483,0.018494,1,0,0,0,0,0,0
ASSET_ZEIT,BTC_2024_1H,183drjy->1t5bcxp,446-1767,rekopplung_nach_abverkauf,erholung_nach_abverkauf,rekopplung_nach_abverkauf,druck_uebergang,71.149405,85.091518,-2.62287,-3.792742,0.126112,0.019626,1,0,0,0,0,0,0
ASSET_ZEIT,BTC_2024_1H,1t5bcxp->183drjy,442-1766,rekopplung_nach_abverkauf,erholung_nach_abverkauf,rekopplung_nach_abverkauf,offene_uebergangszone,73.171069,85.080644,-3.147774,-4.278394,0.067919,0.016847,1,0,0,0,0,0,0
KAS_GEGENPROBE,KAS2024_1H_ASSET_PROBE,183drjy->1t5bcxp,447-1665,rekopplung_nach_abverkauf,erholung_nach_abverkauf,rekopplung_nach_abverkauf,bewegungsbruch_zone,48.426102,97.841511,-7.710043,3.31157,0.115673,0.026035,1,0,0,0,0,0,0
KAS_GEGENPROBE,KAS2024_1H_ASSET_PROBE,1t5bcxp->183drjy,444-1656,rekopplung_nach_abverkauf,erholung_nach_abverkauf,rekopplung_nach_abverkauf,rekopplungs_uebergang,46.735395,96.131566,-5.669291,-2.74376,0.055481,0.018414,1,0,0,0,0,0,0
