world,family,transition,base_total,follow_total,base_open_share,follow_open_share,base_mature_share,follow_mature_share,base_episode_count,base_raw_match_count,base_tick_start,base_tick_end,base_net_return_pct,base_avg_body_pct,base_avg_range_pct,base_avg_volume,base_avg_rekopplung,base_avg_adaptive_rekopplung,base_avg_strain,base_avg_visual_gap,base_avg_hearing_gap,base_avg_feld_coherence,base_avg_feld_tension,follow_episode_count,follow_raw_match_count,follow_tick_start,follow_tick_end,follow_net_return_pct,follow_avg_body_pct,follow_avg_range_pct,follow_avg_volume,follow_avg_rekopplung,follow_avg_adaptive_rekopplung,follow_avg_strain,follow_avg_visual_gap,follow_avg_hearing_gap,follow_avg_feld_coherence,follow_avg_feld_tension
DOGE_2025,dio_00hc,offen_und_gereift->nur_offen,4,5,0.750000,1.000000,0.250000,0.000000,4,4,456,4320,13.923938,0.646699,1.087768,20525204.500000,0.592232,0.627344,0.281664,0.336931,0.417605,0.366329,0.342208,5,5,1540,4427,-21.564940,0.729052,1.619076,52608283.000000,0.600973,0.635483,0.272096,0.316759,0.400173,0.372127,0.333146
DOGE_2025,dio_00ly,offen_und_gereift->nur_offen,83,83,0.566265,1.000000,0.433735,0.000000,83,83,61,4933,35.054279,0.161153,0.354654,3886426.409639,0.721506,0.760082,0.135910,0.145908,0.071436,0.623421,0.080347,83,83,29,4984,-32.263186,0.236397,0.448772,4116065.506024,0.722676,0.762177,0.132889,0.142126,0.064285,0.623933,0.075264
DOGE_2025,dio_01kh,offen_und_gereift->nur_gereift,8,2,0.250000,0.000000,0.750000,1.000000,8,8,502,4821,22.751748,0.209369,0.537807,13109072.625000,0.666447,0.705620,0.183673,0.359899,0.124372,0.605545,0.125705,2,2,1037,4788,-23.581913,0.397930,0.585491,7060286.000000,0.648945,0.691686,0.192899,0.353466,0.123922,0.582121,0.125207
DOGE_2025,dio_02x1,nur_gereift->offen_und_gereift,6,9,0.000000,0.444444,1.000000,0.555556,6,6,2229,4803,23.986557,0.446864,0.670699,11768846.000000,0.681945,0.725215,0.157474,0.185961,0.109312,0.523909,0.119940,9,9,25,4879,-32.859784,0.609687,0.874526,10715469.222222,0.688495,0.733086,0.154460,0.148199,0.120517,0.533368,0.126440
DOGE_2025,dio_031e,offen_und_gereift->nur_offen,4,1,0.500000,1.000000,0.500000,0.000000,4,4,500,4809,23.365319,0.160719,0.606053,7145175.750000,0.670534,0.713252,0.169443,0.335114,0.077917,0.610119,0.095893,1,1,2655,2655,0.000000,0.213106,0.658122,7340849.000000,0.655261,0.702628,0.179957,0.301901,0.061203,0.629450,0.083410
DOGE_2025,dio_033x,offen_und_gereift->nur_gereift,6,1,0.333333,0.000000,0.666667,1.000000,6,6,2004,4969,12.822860,0.649793,0.980786,15918867.833333,0.631374,0.666927,0.228430,0.385831,0.258275,0.500845,0.210371,1,1,4958,4958,0.000000,1.132864,1.275847,11207976.000000,0.612329,0.654217,0.240043,0.338255,0.250780,0.528957,0.197785
DOGE_2025,dio_03og,offen_und_gereift->nur_offen,3,3,0.333333,1.000000,0.666667,0.000000,3,3,1977,4960,15.087019,0.466320,1.031239,15198301.333333,0.629785,0.666426,0.220035,0.546122,0.128049,0.475573,0.139574,3,3,4434,4770,5.314399,1.000141,1.572265,18682274.666667,0.632281,0.669093,0.217101,0.546471,0.117391,0.479232,0.132546
DOGE_2025,dio_03uk,nur_gereift->offen_und_gereift,12,32,0.000000,0.718750,1.000000,0.281250,12,12,127,4162,12.445276,0.044111,0.215161,2010150.916667,0.715702,0.760809,0.120730,0.150350,0.037915,0.655020,0.047988,32,32,982,4146,-16.203897,0.061798,0.233538,1849611.687500,0.724234,0.765610,0.124360,0.152478,0.042167,0.658227,0.049878
DOGE_2025,dio_04q7,offen_und_gereift->nur_gereift,12,3,0.750000,0.000000,0.250000,1.000000,12,12,345,4887,23.187023,0.311124,0.437416,6978234.250000,0.727450,0.775496,0.108817,0.041112,0.038923,0.732583,0.054717,3,3,2798,4740,-15.998083,0.379008,0.523134,10069065.000000,0.712832,0.763870,0.112452,0.035730,0.037436,0.754172,0.052114
DOGE_2025,dio_058t,offen_und_gereift->nur_gereift,2,2,0.500000,0.000000,0.500000,1.000000,2,2,2173,2685,-2.291956,0.484319,0.681481,10386037.000000,0.630151,0.668935,0.211377,0.506711,0.104455,0.341962,0.121773,2,2,682,4545,-35.416780,0.791045,1.992521,46817161.000000,0.633370,0.674023,0.208359,0.438771,0.119948,0.357235,0.137277
