metric,real_a,real_b_after_sleep,delta
candles,2000.0,2000.0,0.0
episodes,1994.0,1994.0,0.0
unique_symbols,348.0,335.0,-13.0
episode_memory_written,560.0,652.0,92.0
mcm_field_episode_written,560.0,652.0,92.0
avg_mcm_carry_quality,0.511252,0.511713,0.000461
avg_mcm_rekopplung_quality,0.695582,0.693354,-0.002229
avg_mcm_strain_quality,0.154753,0.15673,0.001977
avg_mcm_sensory_coupling,0.842896,0.837436,-0.00546
avg_mini_afterimage,0.1383,0.139838,0.001538
avg_mini_neuro_load,0.095823,0.094399,-0.001423
avg_mini_neuro_balance,0.330879,0.334886,0.004007
