phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
ruhig_basis,600,0.978333,0.008333,0.001667,0.011667,0.758452,0.617437,0.120237,0.017869,0.024681,0.838368
druckaufbau,600,0.976667,0.011667,0.001667,0.01,0.757093,0.61569,0.120735,0.021252,0.028424,0.834527
laute_randphase,800,0.065,0.76125,0.02875,0.145,0.672931,0.487416,0.179191,0.164442,0.277935,0.537494
asymmetrischer_bruch,700,0.842857,0.078571,0.0,0.078571,0.729398,0.567292,0.12985,0.075119,0.123509,0.805122
gegenzerrung,700,0.947143,0.021429,0.0,0.031429,0.748425,0.599584,0.119933,0.03339,0.046284,0.824711
ueberreizter_nachhall,700,0.91,0.035714,0.001429,0.052857,0.736238,0.579204,0.126798,0.055287,0.088965,0.777074
rekopplungsversuch,700,0.992857,0.004286,0.001429,0.001429,0.759546,0.621749,0.120795,0.01961,0.026263,0.838078
ruhe_restspannung,600,0.995,0.003333,0.001667,0.0,0.759746,0.620949,0.12046,0.019134,0.026721,0.838736
zweiter_randstoss,600,0.95,0.023333,0.003333,0.023333,0.736999,0.586984,0.131102,0.073802,0.119193,0.799038
schluss_rekopplung,994,0.996982,0.003018,0.0,0.0,0.759961,0.622352,0.120218,0.017623,0.02295,0.836904
