world,block_index,base_sequence,adapted_lage,base_zentrum,base_rand,base_rekopplung,base_strain,adapted_zentrum,adapted_rand,adapted_rekopplung,adapted_strain
BTC_2024_5M_FULL,1,normale_weltspannung->offen_suchend,offen_suchend,0.68,0.005,0.709668,0.151831,0.68,0.0,0.710697,0.150424
BTC_2024_5M_FULL,2,offen_suchend->offen_suchend,offen_suchend,0.67,0.0,0.708947,0.152247,0.685,0.0,0.70982,0.151114
BTC_2024_5M_FULL,3,offen_suchend->randlastige_sinneslage,offen_suchend,0.6,0.02,0.702958,0.159928,0.605,0.01,0.704724,0.157497
BTC_2024_5M_FULL,4,randlastige_sinneslage->offen_suchend,offen_suchend,0.66,0.005,0.707124,0.155058,0.68,0.005,0.708774,0.152757
BTC_2024_5M_FULL,5,offen_suchend->randlastige_sinneslage,offen_suchend,0.61,0.015,0.704827,0.158175,0.615,0.01,0.70655,0.155785
BTC_2024_5M_FULL,6,randlastige_sinneslage->offen_suchend,offen_suchend,0.645,0.01,0.707801,0.154014,0.655,0.005,0.709118,0.152205
BTC_2024_5M_FULL,7,offen_suchend->normale_weltspannung,normale_weltspannung,0.785,0.01,0.713353,0.147038,0.79,0.005,0.714148,0.145947
BTC_2024_5M_FULL,8,normale_weltspannung->lauter_feldkontakt,normale_weltspannung,0.735,0.005,0.710527,0.150876,0.74,0.0,0.711759,0.149114
BTC_2024_5M_FULL,9,lauter_feldkontakt->normale_weltspannung,normale_weltspannung,0.755,0.005,0.712784,0.147868,0.76,0.0,0.713614,0.146687
BTC_2024_5M_FULL,10,normale_weltspannung->offen_suchend,offen_suchend,0.68,0.005,0.708578,0.153175,0.685,0.005,0.70949,0.151938
BTC_2024_5M_FULL,11,offen_suchend->offen_suchend,offen_suchend,0.64,0.005,0.707404,0.154365,0.65,0.0,0.708663,0.152674
BTC_2024_5M_FULL,12,offen_suchend->randlastige_sinneslage,randlastige_sinneslage,0.68,0.015,0.708615,0.152193,0.68,0.015,0.709762,0.150611
BTC_2024_5M_FULL,13,randlastige_sinneslage->offen_suchend,offen_suchend,0.69,0.01,0.709541,0.151348,0.69,0.0,0.710504,0.150031
BTC_2024_5M_FULL,14,offen_suchend->randlastige_sinneslage,randlastige_sinneslage,0.6,0.03,0.702648,0.160088,0.605,0.015,0.704434,0.157607
BTC_2024_5M_FULL,15,randlastige_sinneslage->offen_suchend,offen_suchend,0.59,0.005,0.705768,0.155461,0.59,0.0,0.707238,0.153589
BTC_2024_5M_FULL,16,offen_suchend->offen_suchend,offen_suchend,0.625,0.0,0.707968,0.152899,0.625,0.0,0.709154,0.151376
BTC_2024_5M_FULL,17,offen_suchend->offen_suchend,offen_suchend,0.645,0.01,0.707992,0.153291,0.645,0.005,0.708896,0.15211
BTC_2024_5M_FULL,18,offen_suchend->leise_duenn,leise_scharf_duenn,0.81,0.005,0.713489,0.146124,0.815,0.005,0.714217,0.145142
BTC_2024_5M_FULL,19,leise_duenn->normale_weltspannung,normale_weltspannung,0.76,0.005,0.710607,0.150571,0.775,0.005,0.711565,0.149235
BTC_2024_5M_FULL,20,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.73,0.0,0.711868,0.148369,0.735,0.0,0.712672,0.147302
BTC_2024_5M_FULL,21,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.77,0.0,0.712648,0.147983,0.78,0.0,0.71337,0.147002
BTC_2024_5M_FULL,22,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.715,0.01,0.710757,0.150043,0.725,0.0,0.711763,0.148678
BTC_2024_5M_FULL,23,normale_weltspannung->normale_weltspannung,ruhig_zentrumsnah,0.8,0.005,0.714304,0.14547,0.81,0.0,0.715103,0.144337
BTC_2024_5M_FULL,24,normale_weltspannung->normale_weltspannung,ruhig_zentrumsnah,0.79,0.0,0.714593,0.145152,0.805,0.0,0.715358,0.144072
BTC_2024_5M_FULL,25,normale_weltspannung->offen_suchend,offen_suchend,0.65,0.01,0.708804,0.152672,0.65,0.0,0.709815,0.151333
BTC_2024_5M_FULL,26,offen_suchend->normale_weltspannung,normale_weltspannung,0.785,0.0,0.713506,0.146783,0.795,0.0,0.714159,0.14588
BTC_2024_5M_FULL,27,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.755,0.0,0.712675,0.147711,0.765,0.0,0.713461,0.146639
BTC_2024_5M_FULL,28,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.765,0.0,0.712522,0.147802,0.78,0.0,0.713428,0.146512
BTC_2024_5M_FULL,29,normale_weltspannung->lauter_feldkontakt,lauter_feldkontakt,0.775,0.0,0.711049,0.150143,0.79,0.0,0.712043,0.148715
BTC_2024_5M_FULL,30,lauter_feldkontakt->lauter_feldkontakt,lauter_feldkontakt,0.68,0.005,0.708495,0.153938,0.68,0.0,0.709515,0.152546
BTC_2024_5M_FULL,31,lauter_feldkontakt->offen_suchend,offen_suchend,0.63,0.0,0.708246,0.15325,0.63,0.0,0.709533,0.151532
BTC_2024_5M_FULL,32,offen_suchend->offen_suchend,offen_suchend,0.665,0.0,0.708597,0.152314,0.67,0.0,0.709708,0.150885
BTC_2024_5M_FULL,33,offen_suchend->normale_weltspannung,normale_weltspannung,0.705,0.005,0.71068,0.150817,0.715,0.0,0.711568,0.149611
BTC_2024_5M_FULL,34,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.74,0.0,0.71246,0.148084,0.75,0.0,0.713198,0.147065
BTC_2024_5M_FULL,35,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.78,0.0,0.712636,0.148068,0.785,0.0,0.713267,0.147206
BTC_2024_5M_FULL,36,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.75,0.005,0.711767,0.149098,0.75,0.0,0.712448,0.148172
BTC_2024_5M_FULL,37,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.78,0.0,0.713196,0.14674,0.78,0.0,0.713877,0.145788
BTC_2024_5M_FULL,38,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.8,0.005,0.713889,0.146409,0.8,0.005,0.714469,0.145576
BTC_2024_5M_FULL,39,normale_weltspannung->lauter_feldkontakt,offen_suchend,0.69,0.01,0.708649,0.153817,0.695,0.0,0.70951,0.152631
BTC_2024_5M_FULL,40,lauter_feldkontakt->normale_weltspannung,normale_weltspannung,0.795,0.01,0.712232,0.149238,0.795,0.0,0.712989,0.148158
BTC_2024_5M_FULL,41,normale_weltspannung->randlastige_sinneslage,normale_weltspannung,0.72,0.015,0.709527,0.151773,0.725,0.01,0.710523,0.150425
BTC_2024_5M_FULL,42,randlastige_sinneslage->normale_weltspannung,normale_weltspannung,0.74,0.0,0.712769,0.147938,0.745,0.0,0.713482,0.146961
BTC_2024_5M_FULL,43,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.775,0.005,0.71207,0.149081,0.78,0.0,0.712781,0.148081
