window_reading,event_count,dominant_world,dominant_movement,dominant_phase,avg_loudness,avg_intake,avg_sharpness,avg_rekopplung,avg_strain,avg_delta_next_rekopplung,avg_delta_next_strain,avg_raw_return,avg_range_ratio,avg_expansion_ratio,avg_break_ratio,avg_direction_consistency,world_counts,phase_counts,followup_quality
lastkontakt_entlastet,811,POS_EXPANSION_10K,bewegungsbruch,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,0.688982,0.394903,0.546668,0.586287,0.279603,0.081023,-0.099246,0.001445,0.048906,3.952229,0.508833,0.085912,POS_EXPANSION_10K:129; XRP_5M_10K:124; DOGE_5M_10K:111; NEG_STRESS_10K:110; SIDEWAYS_10K:100; PAXG_5M_10K:62; BTC_1H_2K:41; SOL_1H_2K:39,zentrum_stabil->spannungsrand_kippnaehe->offene_variante:375; offene_variante->spannungsrand_kippnaehe->offene_variante:301; rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante:79; offene_variante->spannungsrand_kippnaehe->rekopplungsnaehe:19; rekopplungsnaehe->spannungsrand_kippnaehe->rekopplungsnaehe:14; offene_variante->spannungsrand_kippnaehe->zentrum_stabil:14; rekopplungsnaehe->spannungsrand_kippnaehe->zentrum_stabil:9,moderate_entlastung
rekopplung_bricht_in_last,61,SIDEWAYS_10K,bewegungsbruch,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,0.69658,0.399455,0.579569,0.603479,0.266965,0.023651,-0.044621,-0.005911,0.052532,4.233424,0.528165,0.085438,SIDEWAYS_10K:11; NEG_STRESS_10K:11; XRP_5M_10K:11; PAXG_5M_10K:9; POS_EXPANSION_10K:6; DOGE_5M_10K:5; BTC_5M_2K:3; SOL_1H_2K:2,zentrum_stabil->spannungsrand_kippnaehe->offene_variante:33; offene_variante->spannungsrand_kippnaehe->offene_variante:20; rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante:8,schwache_entlastung
gemischtes_fenster,21,DOGE_5M_10K,bewegungsbruch,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe,0.206761,0.119977,0.687976,0.718423,0.142956,-0.01404,0.00633,-0.000431,0.026963,3.657571,0.508095,0.076705,DOGE_5M_10K:6; XRP_5M_10K:6; POS_EXPANSION_10K:3; PAXG_5M_10K:3; NEG_STRESS_10K:2; BTC_1H_2K:1,spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe:21,nachlast_oder_bruch
rekopplung_vor_neuer_last,9,POS_EXPANSION_10K,bewegungsbruch,spannungsrand_kippnaehe->zentrum_stabil->spannungsrand_kippnaehe,0.187486,0.110803,0.702093,0.717442,0.138894,-0.114784,0.125653,0.007068,0.034443,3.828926,0.512291,0.059439,POS_EXPANSION_10K:3; DOGE_5M_10K:2; NEG_STRESS_10K:2; XRP_5M_10K:2,spannungsrand_kippnaehe->zentrum_stabil->spannungsrand_kippnaehe:7; spannungsrand_kippnaehe->rekopplungsnaehe->spannungsrand_kippnaehe:1; spannungsrand_kippnaehe->zentrum_stabil->rekopplungsnaehe:1,nachlast_oder_bruch
lastkontakt_bleibt,1,POS_EXPANSION_10K,bewegungsbruch,offene_variante->spannungsrand_kippnaehe->offene_variante,0.301074,0.192144,0.286672,0.599564,0.251299,0.007836,-0.006923,0.063646,0.087167,3.008475,0.538136,0.323529,POS_EXPANSION_10K:1,offene_variante->spannungsrand_kippnaehe->offene_variante:1,unklar
