preview_symbol,old_role,new_role,old_count,new_count,count_delta,old_world_count,new_world_count,world_delta,old_broad,new_broad,broad_delta,old_transition,new_transition,transition_delta,old_milieu,new_milieu,milieu_delta,follow_hits_in_top_worlds,top_worlds
dio_mcm_episode_0icnf2v,breite_grundrolle,breite_grundrolle,76574,90718,14144,32,36,4,0.905104,0.9003,-0.004804,0.369053,0.341466,-0.027587,0.2188,0.184687,-0.034113,12871,REAL_TIME_2023_SOL_ALTSEQ_A:6873;FOLLOW_DOGE_2024_5M_2000:6679;REAL_FOLLOW_DOGE_6000:6538;FOLLOW_XRP_2024_5M_2000:6192;REAL_FOLLOW_BTC_6000:5866;BTC_10K_A:5850;SOL_10K_A:5602;REAL_FOLLOW_SOL_6000:5581;REAL_FOLLOW_XRP_6000:4315;REAL_TIME_2024_BTC_5M:4261
dio_mcm_episode_12tgchq,breite_grundrolle,breite_grundrolle,18497,21382,2885,21,23,2,0.706025,0.747561,0.041536,0.225113,0.229794,0.004681,0.378792,0.325337,-0.053455,2885,SOL_10K_A:2722;REAL_FOLLOW_XRP_6000:2518;REAL_FOLLOW_SOL_6000:2256;REAL_TIME_2024_SOL_ALTSEQ_A:2172;BTC_10K_A:1848;FOLLOW_XRP_2024_5M_2000:1645;REAL_TIME_2023_SOL_ALTSEQ_A:1535;FOLLOW_DOGE_2024_5M_2000:1240;REAL_FOLLOW_DOGE_6000:1023;REAL_FOLLOW_BTC_6000:806
dio_mcm_episode_1qlxgj7,breite_grundrolle,breite_grundrolle,9019,10973,1954,34,38,4,0.885401,0.881327,-0.004074,0.406178,0.368007,-0.038171,0.208656,0.173444,-0.035212,1828,FOLLOW_DOGE_2024_5M_2000:1109;REAL_FOLLOW_SOL_6000:1032;REAL_FOLLOW_DOGE_6000:921;REAL_FOLLOW_XRP_6000:890;FOLLOW_XRP_2024_5M_2000:719;REAL_TIME_2024_XRP:700;REAL_TIME_2023_SOL_ALTSEQ_A:683;SOL_10K_A:683;REAL_TIME_2024_BTC_5M:629;QUIET_NEAR_PAXG2024_1H:386
dio_mcm_episode_1rj8742,breite_grundrolle,breite_grundrolle,15161,17014,1853,33,37,4,0.92835,0.932398,0.004048,0.614724,0.573299,-0.041425,0.193752,0.172651,-0.021101,660,REAL_FOLLOW_BTC_6000:1547;BTC_STRESS_2025_5M:870;REAL_FOLLOW_XRP_6000:838;REAL_FOLLOW_DOGE_6000:750;BTC_FIELD_QUIET_04:718;BTC_LONG_2024_5M_QUIET:694;REAL_FOLLOW_SOL_6000:682;FOLLOW_KAS_2024_5M_2000:660;PAXG_1H_A:645;BTC_FIELD_QUIET_05:571
dio_mcm_episode_0iwh9d2,breite_grundrolle,breite_grundrolle,10296,11006,710,17,20,3,0.635735,0.663972,0.028237,0.152527,0.154858,0.002331,0.428636,0.402563,-0.026073,493,REAL_FOLLOW_PAXG_6000:2831;PAXG_1846_A:2460;BTC_LONG_2025_5M_QUIET:742;QUIET_NEAR_BTC_1869:742;REAL_FOLLOW_XRP_6000:649;REAL_TIME_2024_BTC_5M:565;BTC_10K_A:545;FOLLOW_XRP_2024_5M_2000:493;QUIET_NEAR_BTC_FIELD_01:484;REAL_TIME_2024_XRP:472
dio_mcm_episode_0wo0tz1,uebergangsrolle,breite_grundrolle,4119,4661,542,24,27,3,0.763499,0.81083,0.047331,0.798987,0.768213,-0.030774,0.143612,0.127591,-0.016021,327,BTC_FIELD_QUIET_03:442;BTC_STRESS_2025_5M:419;BTC_STRESS_2024_5M:401;XRP_1H_A:330;FOLLOW_PAXG_2024_5M_2000:327;REAL_TIME_2024_PAXG:327;BTC_10K_A:313;BTC_LONG_2024_5M_QUIET:289;REAL_FOLLOW_DOGE_6000:245;BTC_SHIFT_2025_15M_16000_17000:221
dio_mcm_episode_0nu3wih,breite_grundrolle,breite_grundrolle,2458,2911,453,17,19,2,0.531817,0.594884,0.063067,0.27895,0.281202,0.002252,0.343074,0.293414,-0.04966,449,QUIET_NEAR_PAXG2025_1H:699;FOLLOW_KAS_2024_5M_2000:449;QUIET_NEAR_BTC_FIELD_01:432;SOL_10K_A:406;REAL_TIME_2024_SOL_ALTSEQ_A:219;XRP_1H_A:161;BTC_SHIFT_2025_30M_10000_11000:155;BTC_1H_B:88;BTC_STRESS_2024_5M:67;DOGE_1H_B:64
dio_mcm_episode_0tfzgic,breite_grundrolle,breite_grundrolle,7708,7966,258,24,27,3,0.608908,0.645426,0.036518,0.146674,0.156579,0.009905,0.463024,0.445464,-0.01756,223,REAL_TIME_2024_SOL_ALTSEQ_A:1804;BTC_LONG_2025_5M_QUIET:1320;QUIET_NEAR_BTC_1869:1317;QUIET_NEAR_PAXG2025_1H:723;QUIET_NEAR_PAXG2024_1H:603;BTC_FIELD_QUIET_02:503;DOGE_1H_A:297;BTC_1H_B:290;REAL_TIME_2023_SOL_ALTSEQ_A:226;FOLLOW_KAS_2024_5M_2000:223
dio_mcm_episode_1yxc2ug,breite_grundrolle,breite_grundrolle,763,958,195,18,21,3,0.514064,0.558831,0.044767,0.147259,0.15146,0.004201,0.19588,0.16068,-0.0352,170,REAL_FOLLOW_XRP_6000:168;FOLLOW_DOGE_2024_5M_2000:126;REAL_FOLLOW_DOGE_6000:115;REAL_FOLLOW_SOL_6000:113;SOL_10K_A:100;QUIET_NEAR_PAXG2024_1H:62;FOLLOW_XRP_2024_5M_2000:44;REAL_TIME_2024_XRP:44;BTC_10K_A:35;REAL_TIME_2024_BTC_5M:31
dio_mcm_episode_10r2mum,milieurolle,milieurolle,1653,1761,108,6,7,1,0.158071,0.176122,0.018051,0.016552,0.017241,0.000689,0.687607,0.68738,-0.000227,108,PAXG_1846_A:1384;REAL_TIME_2024_PAXG:109;FOLLOW_PAXG_2024_5M_2000:108;REAL_FOLLOW_PAXG_6000:101;BTC_FIELD_QUIET_04:25;BTC_FIELD_QUIET_03:18;BTC_10K_A:16
