world,family,count,share,dominant_effect,dominant_effect_share,avg_passive_inner_effect_rekopplung,avg_passive_inner_effect_carry,avg_passive_inner_effect_strain,avg_passive_inner_effect_sensory_coupling,avg_mcm_hearing_field_gap,avg_perception_felt_pressure,avg_rezeptor_contact_pressure,avg_mcm_feldwirkung_mcm_tension,avg_mini_afterimage,avg_mini_temporal_trust_support
PAXG2024_1H_YEAR,dio_104t,687,0.078264,stabil,0.992722,0.725057,0.574478,0.15075,0.850949,0.049867,0.084234,0.085942,0.085942,0.463707,0.852504
PAXG2024_1H_YEAR,dio_14wj,204,0.02324,stabil,1.0,0.733846,0.575857,0.125828,0.86924,0.008399,0.056889,0.037615,0.037615,0.290439,0.800757
PAXG2024_1H_YEAR,dio_155c,370,0.042151,stabil,0.991892,0.717026,0.560926,0.159381,0.853796,0.101059,0.11314,0.138927,0.138927,0.349821,0.819535
PAXG2025_1H_YEAR,dio_104t,778,0.088874,stabil,0.998715,0.725202,0.577151,0.15084,0.85196,0.050475,0.083204,0.085655,0.085655,0.501677,0.862389
PAXG2025_1H_YEAR,dio_14wj,242,0.027645,stabil,1.0,0.733964,0.578391,0.126437,0.869401,0.007897,0.057005,0.038186,0.038186,0.317456,0.810282
PAXG2025_1H_YEAR,dio_155c,374,0.042723,stabil,0.991979,0.716013,0.561548,0.159535,0.852616,0.102753,0.113656,0.13896,0.13896,0.355693,0.820886
PAXG2024_5M_10K,dio_104t,732,0.073244,stabil,0.998634,0.730013,0.572476,0.149251,0.856988,0.04497,0.082173,0.085971,0.085971,0.446066,0.848721
PAXG2024_5M_10K,dio_14wj,530,0.053032,stabil,1.0,0.743973,0.582428,0.130787,0.874362,0.010099,0.055095,0.038828,0.038828,0.4664,0.856297
PAXG2024_5M_10K,dio_155c,222,0.022213,stabil,0.990991,0.719567,0.553971,0.155541,0.857438,0.097066,0.108821,0.133333,0.133333,0.23888,0.786098
PAXG2025_5M_10K,dio_104t,860,0.086052,stabil,0.997674,0.730299,0.575202,0.148628,0.857558,0.043262,0.080146,0.082728,0.082728,0.470745,0.85561
PAXG2025_5M_10K,dio_14wj,708,0.070843,stabil,1.0,0.743199,0.586935,0.131257,0.873902,0.009458,0.054435,0.037322,0.037322,0.522133,0.870774
PAXG2025_5M_10K,dio_155c,345,0.034521,stabil,1.0,0.720227,0.558418,0.157133,0.856358,0.098058,0.11135,0.134395,0.134395,0.307525,0.809323
