family,transition,world,count_2024,count_2025,base_total_2023,follow_total_2023,delta_range_mid,delta_hearing_mid,delta_tension_mid,base_ticks,base_tick_start,base_tick_end,base_range_ticks,base_rekopplung,base_adaptive_rekopplung,base_strain,base_carry,base_visual_gap,base_hearing_gap,base_form_stability,base_form_change,base_tone,base_tone_shift_abs,base_felt_pressure,base_adapted_intake,base_mcm_coherence,base_mcm_tension,base_mcm_asymmetry,base_raw_rows,base_raw_net_pct,base_raw_range_pct,base_raw_body_pct,base_raw_volume,follow_ticks,follow_tick_start,follow_tick_end,follow_range_ticks,follow_rekopplung,follow_adaptive_rekopplung,follow_strain,follow_carry,follow_visual_gap,follow_hearing_gap,follow_form_stability,follow_form_change,follow_tone,follow_tone_shift_abs,follow_felt_pressure,follow_adapted_intake,follow_mcm_coherence,follow_mcm_tension,follow_mcm_asymmetry,follow_raw_rows,follow_raw_net_pct,follow_raw_range_pct,follow_raw_body_pct,follow_raw_volume,pre_ticks,pre_tick_start,pre_tick_end,pre_range_ticks,pre_rekopplung,pre_adaptive_rekopplung,pre_strain,pre_carry,pre_visual_gap,pre_hearing_gap,pre_form_stability,pre_form_change,pre_tone,pre_tone_shift_abs,pre_felt_pressure,pre_adapted_intake,pre_mcm_coherence,pre_mcm_tension,pre_mcm_asymmetry,pre_raw_rows,pre_raw_net_pct,pre_raw_range_pct,pre_raw_body_pct,pre_raw_volume
dio_1fll,nur_gereift->offen_und_gereift,MOD_NEG_2023,1,1,13,18,0.000470,0.000683,0.001409,13.000000,328.000000,4831.000000,4504.000000,0.730330,0.776568,0.107414,0.543685,0.103788,0.016496,0.377107,-0.013021,-0.011824,0.018029,0.040350,0.027384,0.762996,0.027384,0.019629,13.000000,-9.555189,0.168490,0.036787,4602.396154,18.000000,95.000000,4826.000000,4732.000000,0.733436,0.779029,0.105594,0.551206,0.110384,0.013614,0.422653,0.010884,-0.024261,0.005261,0.037783,0.023719,0.773629,0.023719,-0.014652,18.000000,-7.882883,0.146599,0.025971,4694.993333,144.000000,87.000000,4825.000000,4739.000000,0.711146,0.750603,0.147007,0.539750,0.162430,0.094004,0.040083,0.007165,-0.036999,0.210083,0.104920,0.099329,0.631780,0.099329,-0.025497,144.000000,-8.093525,0.176537,0.075692,4884.974861
dio_10dv,nur_gereift->offen_und_gereift,ALTSEQ_2023,2,2,21,24,0.001869,0.000999,0.000070,21.000000,169.000000,4994.000000,4826.000000,0.716598,0.760839,0.134055,0.531744,0.031636,0.119569,0.361678,0.011637,-0.260357,0.203755,0.102636,0.117015,0.747275,0.117015,-0.127619,21.000000,15.703870,0.199359,0.060656,5884.997619,24.000000,298.000000,4448.000000,4151.000000,0.717446,0.761272,0.135297,0.536683,0.041542,0.117070,0.350123,0.009798,-0.235842,0.225425,0.101439,0.114397,0.743383,0.114397,-0.119673,24.000000,13.552941,0.124893,0.031737,4336.290833,192.000000,290.000000,4447.000000,4158.000000,0.701550,0.741571,0.156472,0.524258,0.166041,0.116678,0.076866,-0.009640,-0.031903,0.219190,0.118620,0.115513,0.628280,0.115513,-0.011724,192.000000,13.921661,0.224982,0.099885,9611.264896
dio_1j1f,nur_gereift->offen_und_gereift,NEG_STRESS_2023,1,1,6,3,0.000432,0.001309,0.002439,6.000000,1148.000000,4772.000000,3625.000000,0.670484,0.710456,0.168298,0.476572,0.381026,0.048537,-0.233407,-0.632325,-0.012970,0.243124,0.139194,0.086363,0.403384,0.086363,-0.123466,6.000000,12.602151,0.698375,0.543972,38280.450000,3.000000,748.000000,4856.000000,4109.000000,0.662702,0.703092,0.185720,0.447927,0.474454,0.036748,-0.294435,-0.681288,-0.055312,0.182945,0.138127,0.086386,0.407633,0.086386,-0.069084,3.000000,-20.796460,0.763777,0.522570,61891.706667,24.000000,740.000000,4855.000000,4116.000000,0.659216,0.699942,0.191108,0.463947,0.264189,0.168824,0.028005,0.063784,0.044928,0.352300,0.177510,0.158919,0.512584,0.158919,-0.040346,24.000000,-21.927920,0.826426,0.523400,48773.442083
dio_1r55,nur_gereift->offen_und_gereift,ALTSEQ_2023,1,2,16,29,0.006600,0.001029,0.000827,16.000000,417.000000,4892.000000,4476.000000,0.704539,0.747606,0.143844,0.517179,0.070133,0.131071,0.082623,-0.009904,-0.220442,0.307776,0.121067,0.126051,0.633698,0.126051,-0.102709,16.000000,6.013837,0.169729,0.023748,6621.647500,29.000000,855.000000,3732.000000,2878.000000,0.709238,0.750319,0.146287,0.530948,0.079672,0.133456,0.087261,-0.004023,-0.243119,0.284917,0.121737,0.127218,0.636052,0.127218,-0.091997,29.000000,-1.478302,0.084216,0.022014,2749.261724,232.000000,847.000000,3731.000000,2885.000000,0.718245,0.756789,0.143021,0.551074,0.139041,0.093341,0.020241,-0.004831,-0.024785,0.191491,0.100558,0.096929,0.636588,0.096929,0.010682,232.000000,-0.911271,0.162517,0.067014,4268.095172
dio_0f4r,offen_und_gereift->nur_gereift,ALTSEQ_2023,1,3,9,12,0.004577,0.006376,0.004989,9.000000,143.000000,4781.000000,4639.000000,0.709293,0.757445,0.133915,0.517177,0.030829,0.125919,0.557916,0.026809,-0.215274,0.277395,0.095315,0.115446,0.840369,0.115446,-0.226427,9.000000,9.465479,0.301067,0.137385,11122.760000,12.000000,107.000000,4986.000000,4880.000000,0.710880,0.756611,0.135552,0.523043,0.027189,0.130571,0.573380,0.056915,-0.238257,0.269347,0.100405,0.120744,0.834951,0.120744,-0.222321,12.000000,15.875300,0.228237,0.075843,8173.147500,96.000000,99.000000,4985.000000,4887.000000,0.702787,0.742835,0.151008,0.527334,0.182386,0.096487,0.084173,-0.049855,0.005872,0.191699,0.113440,0.102385,0.612231,0.102385,-0.031164,96.000000,15.542802,0.351751,0.164621,13874.873646
dio_0dd2,nur_gereift->offen_und_gereift,NEG_STRESS_2023,1,1,41,43,0.015239,0.000768,0.001070,41.000000,1.000000,4291.000000,4291.000000,0.721522,0.761531,0.133697,0.550875,0.137913,0.079442,0.352724,-0.018520,-0.085629,0.168340,0.075503,0.076602,0.748655,0.076602,-0.006984,41.000000,-1.137749,0.203055,0.062768,7502.287317,43.000000,190.000000,4440.000000,4251.000000,0.723259,0.764076,0.133991,0.555028,0.131846,0.078582,0.346483,0.003788,-0.095754,0.130574,0.073347,0.076108,0.755657,0.076108,0.000169,43.000000,-21.856540,0.189671,0.059808,5450.712326,344.000000,182.000000,4439.000000,4258.000000,0.711938,0.752219,0.143574,0.538438,0.150051,0.087454,0.048330,0.002407,-0.033741,0.184434,0.097531,0.092815,0.645698,0.092815,0.001751,344.000000,-21.440678,0.247219,0.106034,7232.627093
dio_1yme,nur_gereift->offen_und_gereift,NEG_STRESS_2023,1,1,5,9,0.017286,0.000152,0.000232,5.000000,1241.000000,4543.000000,3303.000000,0.701337,0.748912,0.138395,0.499468,0.064250,0.117714,0.507222,0.070791,-0.185884,0.160398,0.090235,0.109615,0.828315,0.109615,-0.146207,5.000000,14.100346,0.222619,0.062591,8454.468000,9.000000,342.000000,4957.000000,4616.000000,0.710342,0.757232,0.136775,0.514505,0.074189,0.113638,0.530995,0.105350,-0.128577,0.236497,0.089585,0.105453,0.832123,0.105453,-0.160806,9.000000,-26.398026,0.253501,0.055534,11294.103333,72.000000,334.000000,4956.000000,4623.000000,0.698903,0.740999,0.153896,0.514353,0.158889,0.113754,0.128168,-0.015685,0.035124,0.249103,0.119851,0.113089,0.625605,0.113089,-0.061260,72.000000,-26.508002,0.341047,0.160477,12419.082917
dio_0ly7,nur_gereift->offen_und_gereift,ALTSEQ_2023,1,1,9,12,0.014439,0.002216,0.001367,9.000000,58.000000,4329.000000,4272.000000,0.724050,0.771854,0.109617,0.528913,0.077269,0.036384,0.391716,0.007443,0.018268,0.131709,0.049627,0.044008,0.783713,0.044008,0.091259,9.000000,20.635838,0.263759,0.106216,7546.687778,12.000000,18.000000,3715.000000,3698.000000,0.730032,0.777359,0.113538,0.534909,0.076841,0.043201,0.462395,0.052428,0.043361,0.065823,0.054776,0.049639,0.782809,0.049639,0.093658,12.000000,1.130777,0.194509,0.097042,5933.680000,96.000000,10.000000,3714.000000,3705.000000,0.710464,0.750543,0.145651,0.538879,0.165814,0.087520,0.067683,0.021015,-0.020128,0.174537,0.099120,0.092257,0.639802,0.092257,-0.025000,96.000000,0.636008,0.226572,0.093880,6162.190937
dio_01hu,nur_gereift->offen_und_gereift,MOD_NEG_2023,2,1,7,10,0.014205,0.003266,0.000984,7.000000,219.000000,4578.000000,4360.000000,0.702498,0.748782,0.134545,0.503531,0.153628,0.077033,0.035087,-0.005418,-0.103709,0.177117,0.076496,0.073662,0.675353,0.073662,-0.020857,7.000000,-8.046454,0.182033,0.050848,4869.021429,10.000000,118.000000,4776.000000,4659.000000,0.706263,0.751257,0.134485,0.513771,0.147108,0.078516,-0.066979,0.006869,-0.087110,0.170737,0.078717,0.076177,0.654131,0.076177,-0.005942,10.000000,-8.584270,0.150109,0.023193,2802.778000,80.000000,110.000000,4775.000000,4666.000000,0.706121,0.747386,0.148859,0.526523,0.163962,0.097080,0.007400,-0.003286,-0.055907,0.198328,0.105972,0.101017,0.625639,0.101017,-0.010099,80.000000,-8.830121,0.181502,0.074308,4615.490875
dio_0ioc,nur_gereift->offen_und_gereift,NEG_STRESS_2023,1,1,1,3,0.024700,0.000468,0.001932,1.000000,644.000000,644.000000,1.000000,0.628502,0.676306,0.223004,0.404220,0.217341,0.226150,0.635816,-0.263178,0.423313,0.440121,0.201295,0.204222,0.608108,0.204222,-0.069229,1.000000,0.000000,0.565217,0.434783,41928.380000,3.000000,1975.000000,3698.000000,1724.000000,0.652475,0.695716,0.197197,0.443408,0.194460,0.215637,0.521370,-0.176750,-0.078457,0.487311,0.194792,0.193644,0.591777,0.193644,-0.077217,3.000000,-6.681716,0.272399,0.164936,6175.723333,24.000000,1967.000000,3697.000000,1731.000000,0.708079,0.747282,0.151165,0.537034,0.137626,0.125667,0.235176,0.008239,0.017344,0.246512,0.121439,0.119876,0.653766,0.119876,0.036482,24.000000,-5.662100,0.290472,0.143924,7284.808750
