reading,side,mode,world,pair,phase_hint,chart_zone,dominant_movement,return_pct,range_pct,pressure_abs,rekopplung_abs,direction_pair,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
mixed_axis_state,bull,gerichtete_bewegung_mit_bruch,LONG2024_15M_SOL_QUIET_4000,183drjy->1t5bcxp,steigender_bruch,gerichtete_uebergangsbewegung,bewegungsbruch_zone,20.07336,31.890104,0.066661,0.021382,183drjy->1t5bcxp,1,0,0,0,0,0,0
open_transition,bull,gerichtete_bewegung_mit_bruch,LONG2024_5M_BTC_QUIET_4000,183drjy->1t5bcxp,offenes_bull_fenster,gerichtete_uebergangsbewegung,bewegungsbruch_zone,1.115271,5.874207,0.069925,0.019541,183drjy->1t5bcxp,1,0,0,0,0,0,0
bull_open_bruch_risk,bull,gerichtete_bewegung_mit_bruch,LONG2025_5M_BTC_STRESS_4000,183drjy->1t5bcxp,offenes_bull_fenster,gerichtete_uebergangsbewegung,bewegungsbruch_zone,-5.889823,8.950316,0.061348,0.017117,183drjy->1t5bcxp,1,0,0,0,0,0,0
bull_open_bruch_risk,bull,gerichtete_bewegung_mit_bruch,LONG2025_SOL_STRESS_4000,183drjy->1t5bcxp,offenes_bull_fenster,gerichtete_uebergangsbewegung,bewegungsbruch_zone,-43.321558,61.636807,0.055054,0.015846,183drjy->1t5bcxp,1,0,0,0,0,0,0
quiet_rekopplung,bull,gerichtete_bewegung_mit_rekopplung,LONG2024_15M_SOL_QUIET_4000,1t5bcxp->183drjy,steigende_rekopplung,gerichtete_uebergangsbewegung,rekopplungs_uebergang,19.822883,30.038966,0.052709,0.017809,1t5bcxp->183drjy,1,0,0,0,0,0,0
quiet_rekopplung,bull,gerichtete_bewegung_mit_rekopplung,LONG2025_15M_BTC_QUIET_4000,183drjy->1t5bcxp,offenes_bull_fenster,gerichtete_uebergangsbewegung,rekopplungs_uebergang,-4.169846,10.629993,0.049909,0.018408,183drjy->1t5bcxp,1,0,0,0,0,0,0
quiet_rekopplung,bull,gerichtete_bewegung_mit_rekopplung,LONG2025_5M_BTC_QUIET_4000,183drjy->1t5bcxp,offenes_bull_fenster,gerichtete_uebergangsbewegung,rekopplungs_uebergang,1.593614,5.054458,0.056887,0.017738,183drjy->1t5bcxp,1,0,0,0,0,0,0
quiet_rekopplung,bull,gerichtete_bewegung_mit_rekopplung,LONG2025_5M_BTC_QUIET_4000,1t5bcxp->183drjy,offenes_bull_fenster,gerichtete_uebergangsbewegung,rekopplungs_uebergang,1.703952,5.055021,0.050822,0.022635,1t5bcxp->183drjy,1,0,0,0,0,0,0
bull_expansion,bull,getragene_expansion,KAS_2024_30M,183drjy->1t5bcxp,steigende_expansion_mit_bruch,expansion_getragen,bewegungsbruch_zone,33.575069,39.063113,0.138771,0.029117,183drjy->1t5bcxp,1,0,0,0,0,0,0
bull_expansion,bull,getragene_expansion,LONG2024_15M_BTC_STRESS_4000,183drjy->1t5bcxp,getragene_expansion,expansion_getragen,druck_uebergang,30.262088,36.633409,0.06968,0.025041,183drjy->1t5bcxp,1,0,0,0,0,0,0
