world,family,count,share,dominant_effect,dominant_effect_share,avg_passive_inner_effect_rekopplung,avg_passive_inner_effect_carry,avg_passive_inner_effect_strain,avg_passive_inner_effect_sensory_coupling,avg_mcm_hearing_field_gap,avg_perception_felt_pressure,avg_rezeptor_contact_pressure,avg_mcm_feldwirkung_mcm_tension,avg_mini_afterimage,avg_mini_temporal_trust_support,avg_perception_visual_sharpness,avg_perception_auditory_loudness,ruhe_rekopplung_score,rank
BTC_2024_5M,dio_1fll,12,0.006018,stabil,1.0,0.726401,0.538389,0.110144,0.902318,0.016778,0.044359,0.028492,0.028492,0.105757,0.632468,0.79978,0.04527,0.797333,1
BTC_2024_5M,dio_0ly7,10,0.005015,stabil,1.0,0.724963,0.533554,0.112576,0.912116,0.041869,0.051734,0.048004,0.048004,0.091775,0.613919,0.810735,0.089873,0.79437,2
BTC_2024_5M,dio_0nlj,20,0.01003,stabil,1.0,0.726489,0.547329,0.116248,0.898194,0.039614,0.063648,0.050847,0.050847,0.118,0.674574,0.784641,0.090461,0.793478,3
BTC_2024_5M,dio_14wj,50,0.025075,stabil,1.0,0.727446,0.561839,0.122479,0.869906,0.009849,0.057782,0.033317,0.033317,0.232934,0.749718,0.683263,0.041285,0.792676,4
BTC_2024_5M,dio_06er,23,0.011535,stabil,1.0,0.725924,0.548334,0.118884,0.892702,0.041927,0.055666,0.04772,0.04772,0.117588,0.683151,0.800137,0.089646,0.792044,5
BTC_2024_5M,dio_0kx9,15,0.007523,stabil,1.0,0.722473,0.537854,0.113571,0.885223,0.012657,0.061201,0.033049,0.033049,0.091689,0.647207,0.707781,0.044029,0.79162,6
BTC_2024_5M,dio_1jc2,12,0.006018,stabil,1.0,0.720953,0.532761,0.11365,0.886177,0.011056,0.05808,0.032708,0.032708,0.091371,0.629388,0.703946,0.043764,0.790605,7
BTC_2024_5M,dio_1kpz,32,0.016048,stabil,1.0,0.724829,0.552451,0.121913,0.880782,0.039328,0.069576,0.053593,0.053593,0.169051,0.713288,0.703394,0.092921,0.78894,8
BTC_2024_5M,dio_087m,10,0.005015,stabil,1.0,0.720295,0.529005,0.117534,0.910645,0.071581,0.080922,0.077412,0.077412,0.062852,0.602041,0.782556,0.148992,0.786404,9
BTC_2024_5M,dio_06s7,23,0.011535,stabil,1.0,0.722118,0.543497,0.123143,0.877579,0.037012,0.070178,0.051352,0.051352,0.144443,0.689138,0.702631,0.088364,0.786031,10
BTC_2024_5M,dio_0l7p,83,0.041625,stabil,1.0,0.724404,0.56631,0.135383,0.859035,0.035287,0.070167,0.053167,0.053167,0.344708,0.794301,0.674092,0.088454,0.784661,11
BTC_2024_5M,dio_0pz6,27,0.013541,stabil,1.0,0.72174,0.545743,0.128546,0.885899,0.07448,0.077814,0.076803,0.076803,0.127354,0.694974,0.742941,0.151284,0.782502,12
SOL_2024_5M,dio_0kx9,18,0.009027,stabil,1.0,0.725631,0.543529,0.11236,0.888622,0.010458,0.060753,0.032467,0.032467,0.104267,0.662211,0.721332,0.042819,0.794657,1
SOL_2024_5M,dio_0nlj,22,0.011033,stabil,1.0,0.727516,0.550124,0.11752,0.898566,0.038758,0.06568,0.051833,0.051833,0.14428,0.686299,0.781524,0.090591,0.794099,2
SOL_2024_5M,dio_1jc2,21,0.010532,stabil,1.0,0.725997,0.548198,0.115924,0.884574,0.011599,0.06008,0.032697,0.032697,0.177935,0.690922,0.711791,0.041526,0.794048,3
SOL_2024_5M,dio_1492,20,0.01003,stabil,1.0,0.725488,0.546588,0.117493,0.895296,0.03774,0.066671,0.050766,0.050766,0.116981,0.674144,0.786236,0.088506,0.792348,4
SOL_2024_5M,dio_1kpz,29,0.014544,stabil,1.0,0.723891,0.550145,0.121775,0.879637,0.037085,0.070071,0.051946,0.051946,0.158618,0.707028,0.700504,0.089031,0.788332,5
