world,family,count,share,dominant_effect,dominant_effect_share,avg_passive_inner_effect_rekopplung,avg_passive_inner_effect_carry,avg_passive_inner_effect_strain,avg_passive_inner_effect_sensory_coupling,avg_mcm_hearing_field_gap,avg_perception_felt_pressure,avg_rezeptor_contact_pressure,avg_mcm_feldwirkung_mcm_tension,avg_mini_afterimage,avg_mini_temporal_trust_support,avg_perception_visual_sharpness,avg_perception_auditory_loudness,ruhe_rekopplung_score,rank
SOL_2024_5M,dio_06s7,30,0.015045,stabil,1.0,0.723289,0.550375,0.122372,0.877081,0.034296,0.072142,0.052116,0.052116,0.16133,0.709856,0.692419,0.086412,0.787697,6
SOL_2024_5M,dio_14wj,31,0.015547,stabil,1.0,0.722582,0.550603,0.125499,0.863187,0.010007,0.060694,0.034156,0.034156,0.218346,0.725261,0.662405,0.038942,0.787237,7
SOL_2024_5M,dio_06er,10,0.005015,stabil,1.0,0.72055,0.52443,0.119816,0.896516,0.044801,0.05613,0.049543,0.049543,0.036515,0.598387,0.804951,0.094344,0.786572,8
SOL_2024_5M,dio_087m,13,0.00652,stabil,1.0,0.721058,0.534718,0.118714,0.905686,0.073165,0.079226,0.07809,0.07809,0.069445,0.63049,0.766431,0.151255,0.786203,9
SOL_2024_5M,dio_0pz6,36,0.018054,stabil,1.0,0.722161,0.554993,0.131456,0.882288,0.07339,0.081798,0.077434,0.077434,0.215432,0.730649,0.758302,0.150823,0.783027,10
SOL_2024_5M,dio_0l7p,57,0.028586,stabil,1.0,0.72088,0.558429,0.135479,0.855872,0.035578,0.071261,0.053193,0.053193,0.276865,0.766471,0.669917,0.08877,0.781525,11
SOL_2024_5M,dio_09bn,14,0.007021,stabil,1.0,0.715529,0.530251,0.126644,0.887932,0.074221,0.076278,0.076504,0.076504,0.056041,0.632536,0.744872,0.150725,0.778772,12
KAS_2024_5M,dio_1492,15,0.007523,stabil,1.0,0.724306,0.540612,0.115025,0.901743,0.041278,0.06639,0.052735,0.052735,0.080616,0.644072,0.802989,0.094013,0.792345,1
KAS_2024_5M,dio_0nlj,18,0.009027,stabil,1.0,0.724387,0.545003,0.118963,0.894667,0.042271,0.065665,0.053032,0.053032,0.154338,0.676089,0.777596,0.095303,0.790882,2
KAS_2024_5M,dio_0kx9,16,0.008024,stabil,1.0,0.721885,0.537526,0.114324,0.883212,0.012562,0.061744,0.035657,0.035657,0.064834,0.646317,0.682986,0.046495,0.790578,3
KAS_2024_5M,dio_14wj,41,0.020562,stabil,1.0,0.725265,0.557212,0.123504,0.867425,0.009502,0.057761,0.033157,0.033157,0.216996,0.737978,0.675584,0.039042,0.790559,4
KAS_2024_5M,dio_06s7,33,0.01655,stabil,1.0,0.724245,0.553219,0.123016,0.877617,0.036028,0.072318,0.052623,0.052623,0.182513,0.719415,0.705513,0.088651,0.788337,5
KAS_2024_5M,dio_1kpz,23,0.011535,stabil,1.0,0.722527,0.545995,0.121499,0.879874,0.033761,0.070232,0.050662,0.050662,0.163692,0.694152,0.703376,0.084423,0.787627,6
KAS_2024_5M,dio_06er,13,0.00652,stabil,1.0,0.721506,0.532492,0.122413,0.890953,0.044686,0.057702,0.049769,0.049769,0.110047,0.640587,0.795642,0.094455,0.786636,7
KAS_2024_5M,dio_0l7p,59,0.029589,stabil,1.0,0.722626,0.560124,0.134172,0.859538,0.035327,0.069821,0.053305,0.053305,0.292664,0.770801,0.67106,0.088632,0.783338,8
KAS_2024_5M,dio_0pz6,32,0.016048,stabil,1.0,0.722161,0.552493,0.130575,0.883921,0.075829,0.080311,0.078147,0.078147,0.21271,0.72439,0.752278,0.153975,0.78286,9
KAS_2024_5M,dio_09bn,20,0.01003,stabil,1.0,0.718249,0.541194,0.129891,0.884758,0.074325,0.080693,0.077355,0.077355,0.154286,0.682251,0.76526,0.15168,0.780194,10
KAS_2024_5M,dio_1u5i,16,0.008024,stabil,1.0,0.712117,0.527558,0.127401,0.856078,0.00717,0.070604,0.043313,0.043313,0.065924,0.645869,0.604106,0.043292,0.777545,11
KAS_2024_5M,dio_00ly,45,0.022568,stabil,1.0,0.718945,0.552685,0.136815,0.864225,0.067987,0.088434,0.077986,0.077986,0.250189,0.748781,0.674966,0.145974,0.777149,12
PAXG_2024_5M,dio_1fll,29,0.014544,stabil,1.0,0.743818,0.563354,0.109832,0.913747,0.01245,0.036646,0.022224,0.022224,0.249737,0.732437,0.819295,0.032273,0.810155,1
PAXG_2024_5M,dio_0g3b,11,0.005517,stabil,1.0,0.733154,0.543475,0.101999,0.920435,0.007656,0.039847,0.021569,0.021569,0.131822,0.632659,0.821114,0.027974,0.806668,2
PAXG_2024_5M,dio_13o0,10,0.005015,stabil,1.0,0.727218,0.535453,0.106302,0.910081,0.010586,0.052328,0.027704,0.027704,0.069533,0.607679,0.815095,0.0363,0.799807,3
PAXG_2024_5M,dio_05ap,11,0.005517,stabil,1.0,0.733457,0.532286,0.112804,0.917914,0.039285,0.052048,0.04641,0.04641,0.08809,0.622406,0.815452,0.085695,0.798074,4
PAXG_2024_5M,dio_06er,36,0.018054,stabil,1.0,0.736906,0.559087,0.12327,0.901052,0.044717,0.05086,0.048947,0.048947,0.236972,0.740282,0.811177,0.093663,0.7979,5
PAXG_2024_5M,dio_14wj,109,0.054664,stabil,1.0,0.739869,0.573728,0.129651,0.874041,0.009467,0.055515,0.035119,0.035119,0.456388,0.830778,0.671618,0.034074,0.797899,6
PAXG_2024_5M,dio_1mjc,10,0.005015,stabil,1.0,0.726264,0.532626,0.112493,0.899879,0.01,0.046415,0.022586,0.022586,0.100302,0.615258,0.799275,0.0264,0.796343,7
PAXG_2024_5M,dio_1jc2,22,0.011033,stabil,1.0,0.728349,0.545886,0.113347,0.882748,0.009846,0.057157,0.026506,0.026506,0.124952,0.684438,0.695312,0.027839,0.795025,8
PAXG_2024_5M,dio_0nlj,12,0.006018,stabil,1.0,0.724795,0.53752,0.112989,0.907955,0.037619,0.061765,0.050151,0.050151,0.077294,0.626639,0.801708,0.087771,0.794096,9
PAXG_2024_5M,dio_0kx9,19,0.009529,stabil,1.0,0.727911,0.541711,0.114643,0.882696,0.007946,0.057057,0.02785,0.02785,0.124854,0.677105,0.692633,0.030799,0.793912,10
PAXG_2024_5M,dio_1492,15,0.007523,stabil,1.0,0.728345,0.540241,0.118004,0.902877,0.039544,0.064453,0.051145,0.051145,0.138293,0.659721,0.801624,0.090688,0.793445,11
PAXG_2024_5M,dio_06s7,33,0.01655,stabil,1.0,0.727225,0.550977,0.127474,0.875896,0.037901,0.07241,0.054543,0.054543,0.239982,0.736061,0.683629,0.092444,0.787372,12
PAXG_2024_5M_10K,dio_1fll,229,0.022914,stabil,1.0,0.75555,0.591956,0.114208,0.91418,0.010246,0.036697,0.024031,0.024031,0.402824,0.833067,0.818682,0.03151,0.817935,1
PAXG_2024_5M_10K,dio_0g3b,44,0.004403,stabil,1.0,0.748735,0.569578,0.101739,0.922945,0.007644,0.039621,0.023013,0.023013,0.139656,0.726407,0.821065,0.02671,0.81618,2
PAXG_2024_5M_10K,dio_1ygx,44,0.004403,stabil,1.0,0.74813,0.567562,0.100215,0.922621,0.007499,0.039383,0.022851,0.022851,0.08077,0.712946,0.82016,0.026452,0.815845,3
PAXG_2024_5M_10K,dio_0n0i,34,0.003402,stabil,1.0,0.739895,0.560767,0.105298,0.910656,0.008811,0.053209,0.030661,0.030661,0.075156,0.696574,0.809506,0.035789,0.808011,4
PAXG_2024_5M_10K,dio_13o0,39,0.003902,stabil,1.0,0.737652,0.565017,0.108488,0.906232,0.009999,0.053935,0.032377,0.032377,0.129432,0.715713,0.805706,0.03945,0.806421,5
PAXG_2024_5M_10K,dio_1mjc,45,0.004503,stabil,1.0,0.739287,0.563894,0.110865,0.899186,0.009246,0.046151,0.02282,0.02282,0.114827,0.719427,0.799165,0.022068,0.805747,6
PAXG_2024_5M_10K,dio_06er,154,0.015409,stabil,1.0,0.745984,0.57868,0.121143,0.904783,0.034502,0.048364,0.049067,0.049067,0.262347,0.793044,0.812407,0.083569,0.80573,7
PAXG_2024_5M_10K,dio_0ly7,31,0.003102,stabil,1.0,0.740199,0.555995,0.109187,0.918413,0.033186,0.051045,0.049926,0.049926,0.06192,0.690416,0.815475,0.083112,0.804932,8
PAXG_2024_5M_10K,dio_05ap,24,0.002401,stabil,1.0,0.739574,0.550633,0.110572,0.918976,0.032833,0.050748,0.049445,0.049445,0.077867,0.679632,0.816414,0.082278,0.803763,9
PAXG_2024_5M_10K,dio_1jc2,124,0.012407,stabil,1.0,0.738582,0.572741,0.115376,0.882528,0.008454,0.057973,0.029969,0.029969,0.188597,0.768785,0.697236,0.028147,0.802088,10
PAXG_2024_5M_10K,dio_0kx9,99,0.009906,stabil,1.0,0.738179,0.570666,0.116806,0.882369,0.007784,0.058425,0.031221,0.031221,0.209848,0.769312,0.696633,0.030686,0.801253,11
PAXG_2024_5M_10K,dio_1492,57,0.005703,stabil,1.0,0.738041,0.566899,0.118563,0.90284,0.031302,0.06309,0.053976,0.053976,0.187755,0.746593,0.801503,0.085278,0.801072,12
PAXG_2025_5M_10K,dio_1fll,364,0.036422,stabil,1.0,0.75686,0.59653,0.114847,0.915226,0.010037,0.035843,0.023858,0.023858,0.451974,0.849175,0.820223,0.031688,0.819282,1
PAXG_2025_5M_10K,dio_0g3b,40,0.004002,stabil,1.0,0.746843,0.567311,0.100074,0.923128,0.008212,0.038482,0.022644,0.022644,0.094666,0.711085,0.831911,0.027135,0.815551,2
PAXG_2025_5M_10K,dio_1ygx,41,0.004102,stabil,1.0,0.746903,0.56607,0.100721,0.922926,0.009696,0.039783,0.024866,0.024866,0.075771,0.707597,0.831503,0.031728,0.814885,3
PAXG_2025_5M_10K,dio_13o0,31,0.003102,stabil,1.0,0.741524,0.562435,0.105107,0.914259,0.008642,0.051493,0.02748,0.02748,0.143681,0.708234,0.820027,0.029772,0.809918,4
PAXG_2025_5M_10K,dio_0n0i,37,0.003702,stabil,1.0,0.738935,0.562955,0.107918,0.905905,0.006789,0.053395,0.028451,0.028451,0.116863,0.71073,0.806647,0.030599,0.807013,5
PAXG_2025_5M_10K,dio_06er,220,0.022013,stabil,1.0,0.74731,0.582588,0.123125,0.905236,0.036606,0.047987,0.050123,0.050123,0.316229,0.811123,0.816473,0.086729,0.806356,6
PAXG_2025_5M_10K,dio_05ap,38,0.003802,stabil,1.0,0.741436,0.55987,0.113416,0.915393,0.035792,0.051867,0.052147,0.052147,0.124868,0.716391,0.813667,0.08794,0.804256,7
PAXG_2025_5M_10K,dio_0ly7,26,0.002602,stabil,1.0,0.739217,0.552587,0.109797,0.919251,0.034574,0.049801,0.05004,0.05004,0.066441,0.682574,0.816699,0.084613,0.804036,8
PAXG_2025_5M_10K,dio_0kx9,101,0.010106,stabil,1.0,0.738308,0.56892,0.115685,0.883975,0.007782,0.058388,0.033101,0.033101,0.158675,0.756682,0.698238,0.035461,0.80132,9
PAXG_2025_5M_10K,dio_1jc2,104,0.010406,stabil,1.0,0.737753,0.56933,0.11584,0.883595,0.008084,0.058021,0.034056,0.034056,0.159828,0.757874,0.6939,0.037576,0.801016,10
PAXG_2025_5M_10K,dio_14wj,708,0.070843,stabil,1.0,0.743199,0.586935,0.131257,0.873902,0.009458,0.054435,0.037322,0.037322,0.522133,0.870774,0.675764,0.032667,0.800702,11
PAXG_2025_5M_10K,dio_1492,36,0.003602,stabil,1.0,0.735897,0.558589,0.117175,0.903392,0.027988,0.063741,0.05249,0.05249,0.150067,0.717475,0.795488,0.080478,0.799667,12
