base_sequence,scale,count,dominant_raw_class,raw_class_counts,avg_price_move_pct,avg_abs_body_pct,avg_range_pct,avg_auditory,avg_visual_sharpness,avg_field_pressure
ueberstabil_extrem_leise_scharf->ueberstabil_extrem_leise_scharf,100,152,scharf_ruhige_rohwelt,scharf_ruhige_rohwelt:77;bewegungsreiche_rohwelt:75,-0.59528,0.026579,0.757675,0.021917,0.839656,0.013676
ueberstabil_extrem_leise_scharf->ueberstabil_extrem_leise_scharf,200,75,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:49;scharf_ruhige_rohwelt:26,-1.203969,0.02635,0.82174,0.022721,0.839671,0.013828
ruhig_zentrumsnah->ruhig_zentrumsnah,100,43,gemischte_rohwelt,gemischte_rohwelt:42;bewegungsreiche_rohwelt:1,-0.218763,0.07091,0.202496,0.374611,0.692794,0.096618
normale_weltspannung->ruhig_zentrumsnah,100,42,gemischte_rohwelt,gemischte_rohwelt:40;bewegungsreiche_rohwelt:2,0.301372,0.10869,0.216807,0.381877,0.685933,0.096929
ueberstabil_extrem_leise_scharf->ueberstabil_extrem_leise_scharf,400,33,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:24;scharf_ruhige_rohwelt:9,-3.222609,0.027844,0.859188,0.023179,0.839545,0.014056
normale_weltspannung->ruhig_zentrumsnah,200,20,gemischte_rohwelt,gemischte_rohwelt:17;bewegungsreiche_rohwelt:3,0.143944,0.08939,0.17713,0.382078,0.682968,0.098219
ruhig_zentrumsnah->ruhig_zentrumsnah,200,15,gemischte_rohwelt,gemischte_rohwelt:13;bewegungsreiche_rohwelt:2,-1.025329,0.07487,0.487092,0.382464,0.705958,0.098166
ruhig_zentrumsnah->lauter_feldkontakt,100,14,gemischte_rohwelt,gemischte_rohwelt:10;laute_oder_druckvolle_rohwelt:3;bewegungsreiche_rohwelt:1,-0.403884,0.076847,0.148416,0.488238,0.672048,0.121769
lauter_feldkontakt->ruhig_zentrumsnah,100,9,gemischte_rohwelt,gemischte_rohwelt:9,0.823586,0.084166,0.162781,0.35762,0.683046,0.093846
offen_suchend->ruhig_zentrumsnah,100,9,gemischte_rohwelt,gemischte_rohwelt:9,0.357138,0.081838,0.164915,0.374841,0.681985,0.096154
leise_duenn->ruhig_zentrumsnah,100,8,gemischte_rohwelt,gemischte_rohwelt:8,0.119112,0.049145,0.108385,0.313412,0.656936,0.086659
normale_weltspannung->ruhig_zentrumsnah,400,8,gemischte_rohwelt,gemischte_rohwelt:8,-0.207894,0.079799,0.164383,0.370269,0.677316,0.096537
ueberstabil_leise_scharf->ueberstabil_extrem_leise_scharf,100,7,scharf_ruhige_rohwelt,scharf_ruhige_rohwelt:4;bewegungsreiche_rohwelt:3,1.674792,0.016498,1.074531,0.019299,0.841796,0.012281
leise_duenn->offen_suchend,100,6,gemischte_rohwelt,gemischte_rohwelt:6,-0.096086,0.133853,0.26999,0.405356,0.643507,0.104468
normale_weltspannung->leise_duenn,100,6,gemischte_rohwelt,gemischte_rohwelt:6,0.115328,0.089361,0.191284,0.324734,0.637169,0.088346
offen_suchend->leise_duenn,100,6,gemischte_rohwelt,gemischte_rohwelt:5;bewegungsreiche_rohwelt:1,0.425535,0.16898,0.330659,0.353545,0.644884,0.092389
ruhig_zentrumsnah->leise_duenn,100,6,gemischte_rohwelt,gemischte_rohwelt:6,-0.026578,0.062591,0.136998,0.335185,0.642216,0.090868
randlastige_sinneslage->lauter_feldkontakt,100,5,gemischte_rohwelt,gemischte_rohwelt:3;bewegungsreiche_rohwelt:1;laute_oder_druckvolle_rohwelt:1,0.479746,0.09087,0.160654,0.496652,0.648636,0.123639
leise_duenn->normale_weltspannung,100,4,gemischte_rohwelt,gemischte_rohwelt:4,-0.558516,0.096983,0.191031,0.397102,0.662783,0.102764
leise_duenn->ruhig_zentrumsnah,200,4,gemischte_rohwelt,gemischte_rohwelt:4,0.075095,0.045386,0.103136,0.307989,0.66245,0.085176
