welt,ticks,static_rekopplung,adaptive_rekopplung,role_experience,path_experience,milieu_offen,milieu_rollennah,milieu_pfadnah,milieu_rolle_und_pfad_getragen,milieu_untrained,effect_stabil,effect_tragend_unruhig,effect_kippend,effect_gespannt
DOGE,4994,0.697275,0.737187,0.514167,0.158766,2319,1832,359,472,12,3587,1362,44,1
XRP,4994,0.691239,0.731611,0.516370,0.206948,2322,1604,412,650,6,3306,1621,64,3
PAXG,4994,0.706663,0.747072,0.590058,0.218712,2134,1695,234,925,6,4026,939,26,3
Stress,1994,0.688442,0.730818,0.588599,0.298646,834,537,109,507,7,1403,563,28,0
