world,source_file,axis,axis_reading,both_present,reciprocal_top_links,adjacent_refs_a,adjacent_refs_b,a_present,a_class,a_zone,a_role,a_observations,a_neighbors,a_rekopplung,a_strain,a_sensory,a_center_share,a_open_share,a_rand_share,a_top_previous,a_top_next,b_present,b_class,b_zone,b_role,b_observations,b_neighbors,b_rekopplung,b_strain,b_sensory,b_center_share,b_open_share,b_rand_share,b_top_previous,b_top_next,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
SIEBTE_WELT,958_MCM_NICHTBRUECKEN_ORDNUNG_SIEBTE_WELT.csv,183drjy<->1t5bcxp,beziehung_nicht_sichtbar,0,0,0,0,0,-,-,-,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,1,0,0,0,0,0,0
ACHTE_WELT,969_MCM_NICHTBRUECKEN_ORDNUNG_ACHTE_WELT.csv,183drjy<->1t5bcxp,beziehung_nicht_sichtbar,0,0,0,0,0,-,-,-,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0,-,-,-,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,1,0,0,0,0,0,0
NEUNTE_WELT,974_MCM_NICHTBRUECKEN_ORDNUNG_NEUNTE_WELT.csv,183drjy<->1t5bcxp,beziehung_erhalten,1,1,16,7,1,nichtbruecke_rekopplungsfeld,rekopplungszone,zentrum_stabil,6107,17,0.658442,0.171057,0.868561,0.849844,0.112658,0.037498,1t5bcxp,1t5bcxp,1,nichtbruecke_zentrum_schwach,stabile_bedeutungsinsel,zentrum_stabil,2599,8,0.648933,0.184893,0.8662,0.802232,0.156214,0.041554,183drjy,183drjy,1,0,0,0,0,0,0
ZEHNTE_STRESSWELT,978_MCM_NICHTBRUECKEN_ORDNUNG_ZEHNTE_STRESSWELT.csv,183drjy<->1t5bcxp,beziehung_erhalten,1,1,13,13,1,nichtbruecke_rekopplungsfeld,rekopplungszone,zentrum_stabil,5933,17,0.658572,0.169046,0.86739,0.865161,0.107197,0.027642,1t5bcxp,1t5bcxp,1,nichtbruecke_zentrum_schwach,rekopplungszone,zentrum_stabil,2960,15,0.648979,0.182718,0.865204,0.813514,0.146284,0.040203,183drjy,183drjy,1,0,0,0,0,0,0
